"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453083108202313107.ret"
""
"Cadastrado título novo: 9000007618 1598 - ARTEC PISOS E REVEST 29/09/2023 RG 249,08 0"
"Pago título: 2230005338 2740 - EUCATEX INDUSTRIA E 31/08/2023 LQ 1406,44 1406,44"
"Pago título: 2230005344 2745 - CONDOMINIO DO SHOPPI 31/08/2023 LQ 380,85 380,85"
"Pago título: 2230005350 2747 - SINTO BRASIL PRODUTO 31/08/2023 LQ 1041,76 1041,76"
"Pago título: 2230005362 2750 - SERVICO AUTONOMO DE 31/08/2023 LQ 1664,01 1664,01"
"Pago título: 2230005374 2752 - PREFEITURA DO MUNICI 31/08/2023 LQ 950,85 950,85"
"Pago título: 2230005380 2773 - SOCIEDADE DE ARMAZEN 31/08/2023 LQ 470,18 470,18"
"Pago título: 2230005386 2776 - KARINA PISOS E REVES 31/08/2023 LQ 351,32 351,32"
"Pago título: 2230005404 2814 - REAL INDUSTRIA E COM 31/08/2023 LQ 339,32 339,32"
"Pago título: 2230005410 2861 - KORIN AGROPECUARIA L 31/08/2023 LQ 2407,52 2407,52"
"Pago título: 2230005416 2881 - SERVICO DE AGUA E ES 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230005422 2889 - I & M PAPEIS E EMBAL 31/08/2023 LQ 617,93 617,93"
"Pago título: 2230005428 2897 - REQUIPH METALURGICA 31/08/2023 LQ 336,88 336,88"
"Pago título: 2230005458 2935 - CERAMICA ALMEIDA LTD 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230005464 2943 - VTR VETOR EQUIPAMENT 31/08/2023 LQ 202,93 202,93"
"Pago título: 2230005476 2952 - EXTRACAO E COMERCIO 31/08/2023 LQ 593,92 593,92"
"Pago título: 2230005482 2956 - CENTER GIRO TRANSPOR 31/08/2023 LQ 287,24 287,24"
"Pago título: 2230005506 2981 - VIVA PISOS E REVESTI 31/08/2023 LQ 512,34 512,34"
"Pago título: 2230005512 2988 - K & G INDUSTRIA E CO 31/08/2023 LQ 268,63 268,63"
"Pago título: 2230005530 3032 - CONDOMINIO VILLAGE S 31/08/2023 LQ 717,28 717,28"
"Pago título: 2230005548 3059 - VIC 01 SBO EMPREENDI 31/08/2023 LQ 243,15 243,15"
"Pago título: 2230005566 3091 - KARCHER INDUSTRIA E 31/08/2023 LQ 302,03 302,03"
"Pago título: 2230005572 3094 - RENATO PASSARIN & FI 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230005578 3097 - CISOL DO BRASIL EXPO 31/08/2023 LQ 268,98 268,98"
"Pago título: 2230005584 3107 - RUY R. DA ROCHA PROD 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230005590 3111 - BRASWELL PAPEL E CEL 31/08/2023 LQ 1319,79 1319,79"
"Pago título: 2230005620 3160 - VIA APPIA FESTAS E E 31/08/2023 LQ 219,57 219,57"
"Pago título: 2230005626 3163 - RESIDENCIAL FAZENDA 31/08/2023 LQ 473,62 473,62"
"Pago título: 2230005638 3196 - CEDASA INDUSTRIA E C 31/08/2023 LQ 951,49 951,49"
"Pago título: 2230005644 3212 - PEDREIRA NOGUEIRENSE 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230005656 3221 - LIMEIRENSE FERTILIZA 31/08/2023 LQ 485,72 485,72"
"Pago título: 2230005668 3253 - COPASIL QUIMICA INDU 31/08/2023 LQ 517,02 517,02"
"Pago título: 2230005686 3310 - ELDER COSTA RODRIGUE 31/08/2023 LQ 1083,71 1083,71"
"Pago título: 2230005716 3345 - SAO PAULO SECRETARIA 31/08/2023 LQ 909,99 909,99"
"Pago título: 2230005722 3352 - CP KELCO BRASIL S/A 31/08/2023 LQ 338,34 338,34"
"Pago título: 2230005728 3365 - MALIBER INDUSTRIA E 31/08/2023 LQ 555,63 555,63"
"Pago título: 2230005734 3366 - TECHIMPORT TECNOLOGI 31/08/2023 LQ 386,59 386,59"
"Pago título: 2230005770 3384 - FRIGODELISS LTDA 31/08/2023 LQ 2735,94 2735,94"
"Pago título: 2230005782 3397 - PREFEITURA MUNICIPAL 31/08/2023 LQ 332,66 332,66"
"Pago título: 2230005794 3413 - TUIUTI ECO PARK EMPR 31/08/2023 LQ 603,33 603,33"
"Pago título: 2230005800 3423 - A. A. DE MELO & CIA 31/08/2023 LQ 240,52 240,52"
"Pago título: 2230005806 3439 - CSHG REAL ESTATE FUN 31/08/2023 LQ 439,15 439,15"
"Pago título: 2230005824 3453 - CERAMICA SAVANE LTDA 31/08/2023 LQ 534,01 534,01"
"Pago título: 2230005848 3480 - MEDI HOUSE IND E COM 31/08/2023 LQ 388,09 388,09"
"Pago título: 2230005854 3491 - H2ORA DISTRIBUIDORA 31/08/2023 LQ 1232,15 1232,15"
"Pago título: 2230005860 3514 - CERAMICA GRESCA G3 L 31/08/2023 LQ 351,32 351,32"
"Pago título: 2230005872 3535 - JOFEGE FIACAO E TECE 31/08/2023 LQ 1778,71 1778,71"
"Pago título: 2230005902 3594 - CPM CONCRETO DE PRE 31/08/2023 LQ 218,04 218,04"
"Pago título: 2230005908 3600 - RENAN SOUZA SPINA ME 31/08/2023 LQ 231,73 231,73"
"Pago título: 2230005920 3616 - CONCREMIX S/A 31/08/2023 LQ 230,44 230,44"
"Pago título: 2230005926 3622 - CONDOMINIO CAPELA DO 31/08/2023 LQ 977,8 977,8"
"Pago título: 2230005956 3662 - ASSOCIACAO RESIDENCI 31/08/2023 LQ 822,19 822,19"
"Pago título: 2230005962 3666 - RAUL FERREIRA LEITE 31/08/2023 LQ 561,14 561,14"
"Pago título: 2230005968 3670 - TRANS KOTHE TRANSPOR 31/08/2023 LQ 200,3 200,3"
"Pago título: 2230005980 3679 - CMR INDUSTRIA E COME 31/08/2023 LQ 343,79 343,79"
"Pago título: 2230005986 3683 - NOVAPORCELANATO INDU 31/08/2023 LQ 1317,45 1317,45"
"Pago título: 2230005998 3701 - ASSOCIACAO DE SOCIOS 31/08/2023 LQ 1610,22 1610,22"
"Pago título: 2230006010 3704 - I.S. COMERCIO DE AGU 31/08/2023 LQ 373,28 373,28"
"Pago título: 2230006016 3720 - J.L. PAULO & CIA LTD 31/08/2023 LQ 295,84 295,84"
"Pago título: 2230006046 3851 - USINA GRANELLI LTDA. 31/08/2023 LQ 2124,89 2124,89"
"Pago título: 2230006052 3853 - MONTE COR PROTECAO D 31/08/2023 LQ 221,25 221,25"
"Pago título: 2230006058 3857 - CRS MINERACAO INDUST 31/08/2023 LQ 1329,49 1329,49"
"Pago título: 2230006100 3954 - MARCO ANTONIO TONOLI 31/08/2023 LQ 487,95 487,95"
"Pago título: 2230006118 3992 - HOTEL FAZENDA HARAS 31/08/2023 LQ 570,9 570,9"
"Pago título: 2230006130 4014 - ASSOC DOS PROPRIETAR 31/08/2023 LQ 878,3 878,3"
"Pago título: 2230006136 4059 - ATI GEL FRUTAS CONGE 31/08/2023 LQ 274,1 274,1"
"Pago título: 2230006142 4116 - TARTALIA EMPREENDIME 31/08/2023 LQ 634,33 634,33"
"Pago título: 2230006184 4288 - PTM AGRICOLA E PARTI 31/08/2023 LQ 629,04 629,04"
"Pago título: 2230006202 4356 - CONDOMINIO RESIDENCI 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230006214 4361 - RAUL FERREIRA LEITE 31/08/2023 LQ 536,74 536,74"
"Pago título: 2230006226 4477 - LAZARO FERNANDES PER 31/08/2023 LQ 207,88 207,88"
"Pago título: 2230006232 4479 - PERFORM PARTICIPACOE 31/08/2023 LQ 263,24 263,24"
"Pago título: 2230006238 4481 - CLARIPEL INDUSTRIA D 31/08/2023 LQ 1621,71 1621,71"
"Pago título: 2230006244 4485 - PARQUE DOS EUCALIPTO 31/08/2023 LQ 287,64 287,64"
"Pago título: 2230006256 4512 - INSTITUTO DE ENSINO 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230006262 4519 - IVO ZARZUR ADMINISTR 31/08/2023 LQ 11083,45 11083,45"
"Pago título: 2230006286 4600 - ALMEIDA PISOS E REVE 31/08/2023 LQ 365,96 365,96"
"Pago título: 2230006298 4631 - AGROPECUARIA CAPUAVA 31/08/2023 LQ 487,95 487,95"
"Pago título: 2230006334 4697 - MARFRIG GLOBAL FOODS 31/08/2023 LQ 592,16 592,16"
"Pago título: 2230006346 4762 - MINERACAO ANGICO LTD 31/08/2023 LQ 475,24 475,24"
"Pago título: 2230006358 4779 - FUNDACAO CENTRO DE A 31/08/2023 LQ 501,12 501,12"
"Pago título: 2230006382 4827 - BOM PEIXE INDUSTRIA 31/08/2023 LQ 312,29 312,29"
"Pago título: 2230006388 4829 - CLUBE RECREATIVO SUM 31/08/2023 LQ 222,02 222,02"
"Pago título: 2230006400 4840 - CIALENE INDUSTRIA E 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230006406 4862 - PSS DE CAMARGO SERVI 31/08/2023 LQ 585,53 585,53"
"Pago título: 2230006412 4869 - ASSOCIACAO DOS MORAD 31/08/2023 LQ 395,24 395,24"
"Pago título: 2230006418 4870 - ASSOCIACAO MELHORES 31/08/2023 LQ 417,19 417,19"
"Pago título: 2230006430 4891 - LOTEAMENTO IMPERIAL 31/08/2023 LQ 975,89 975,89"
"Pago título: 2230006442 4916 - CLUBE ATLETICO VALIN 31/08/2023 LQ 288,01 288,01"
"Pago título: 2230006484 5050 - CIA DE SANEAMENTO BA 31/08/2023 LQ 6052,06 6052,06"
"Pago título: 2230006508 5161 - MISTER GELO IND. DE 31/08/2023 LQ 360,37 360,37"
"Pago título: 2230006520 5260 - MRGM PARTICIPACOES E 31/08/2023 LQ 1044,2 1044,2"
"Pago título: 2230006544 5303 - ASSOCIACAO DOS MORAD 31/08/2023 LQ 263,49 263,49"
"Pago título: 2230006562 5323 - ERCA INDUSTRIA E COM 31/08/2023 LQ 397,94 397,94"
"Pago título: 2230006574 5355 - CIA DE SANEAMENTO BA 31/08/2023 LQ 9396,35 9396,35"
"Pago título: 2230006610 5416 - ZARAPLAST S.A 31/08/2023 LQ 795,36 795,36"
"Pago título: 2230006664 5486 - ASSOCIACAO DO BRAGAN 31/08/2023 LQ 225,9 225,9"
"Pago título: 2230006676 5491 - BREW CENTER CERVEJAS 31/08/2023 LQ 240,94 240,94"
"Pago título: 2230006682 5492 - BUONO GEL INDUSTRIA 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230006718 5553 - ASSOCIACAO MASTER DA 31/08/2023 LQ 1616,37 1616,37"
"Pago título: 2230006736 5575 - FONTE GELO LTDA 31/08/2023 LQ 243,72 243,72"
"Pago título: 2230006742 5601 - ASSOCIACAO DOS PROPR 31/08/2023 LQ 2586,11 2586,11"
"Pago título: 2230006748 5606 - AROMA BIOENERGIA LTD 31/08/2023 LQ 281,36 281,36"
"Pago título: 2230006766 5622 - CLEUSA TERESINHA PIO 31/08/2023 LQ 223,53 223,53"
"Pago título: 2230006772 5628 - SAFRA INDUSTRIA E CO 31/08/2023 LQ 1268,66 1268,66"
"Pago título: 2230006778 5643 - MARCELO ALVES PEREIR 31/08/2023 LQ 285,45 285,45"
"Pago título: 2230006784 5646 - MRV ENGENHARIA E PAR 31/08/2023 LQ 524,81 524,81"
"Pago título: 2230006790 5652 - CONDOMINIO D. PEDRO 31/08/2023 LQ 439,15 439,15"
"Pago título: 2230006796 5654 - FUNDICAO REGALI BRAS 31/08/2023 LQ 639,62 639,62"
"Pago título: 2230006820 5803 - ASSOCIACAO DOS AMIGO 31/08/2023 LQ 365,96 365,96"
"Pago título: 2230006826 5805 - QUIBRITA MINERADORA 31/08/2023 LQ 350,92 350,92"
"Pago título: 2230006874 6366 - SOCIEDADE AGOSTINIAN 31/08/2023 LQ 336,99 336,99"
"Pago título: 2230006880 6490 - USINA IRB S.A. 31/08/2023 LQ 7219,82 7219,82"
"Pago título: 2230006892 6600 - TERRA AZUL MARKETING 31/08/2023 LQ 206,35 206,35"
"Pago título: 2230006916 6849 - ASSOCIACAO DOS MORAD 31/08/2023 LQ 707,52 707,52"
"Pago título: 2230006928 6918 - RAMOS & RIBEIRO EMPR 31/08/2023 LQ 342,54 342,54"
"Pago título: 2230006940 6966 - TONINPAR EMPREENDIME 31/08/2023 LQ 482,57 482,57"
"Pago título: 2230006952 7002 - RAPIDO LUXO CAMPINAS 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230006964 7129 - POUSADA CHALES DO TH 31/08/2023 LQ 487,95 487,95"
"Pago título: 2230006970 7159 - FLAVOUR MIX INDUSTRI 31/08/2023 LQ 481,12 481,12"
"Pago título: 2230006976 7194 - EMBAVI - EMPRESA BRA 31/08/2023 LQ 365,96 365,96"
"Pago título: 2230006988 7226 - ASSOCIACAO DE MORADO 31/08/2023 LQ 1228,4 1228,4"
"Pago título: 2230006994 7252 - CRJP LOTEAMENTOS SPE 31/08/2023 LQ 536,74 536,74"
"Pago título: 2230007022 7321 - COMPANHIA DE SANEAME 22/12/2023 LQ 995,41 995,41"
"Pago título: 2230007024 7322 - CAMARGO COMPANHIA DE 31/08/2023 LQ 390,36 390,36"
"Pago título: 2230007048 7342 - WATER PARK SAO PEDRO 31/08/2023 LQ 975,89 975,89"
"Pago título: 2230007060 7351 - COMPANHIA DE SANEAME 31/08/2023 LQ 3205,79 3205,79"
"Pago título: 2230007072 7367 - CONDOMINIO RESIDENCI 31/08/2023 LQ 487,95 487,95"
"Pago título: 2230007090 7379 - AGROPLANTAS FLORES L 31/08/2023 LQ 336,42 336,42"
"Pago título: 2230007096 7659 - LUIZ BASILIO REANI 31/08/2023 LQ 214,17 214,17"
"Pago título: 2230007102 7689 - WICKBOLD & NOSSO PAO 31/08/2023 LQ 986,59 986,59"
"Pago título: 2230007108 7704 - ASS DOS PROPRIETARIO 31/08/2023 LQ 381,34 381,34"
"Pago título: 2230007114 7707 - SORVETES JUNDIA INDU 31/08/2023 LQ 847,37 847,37"
"Pago título: 2230007192 7740 - ASSOC. DOS MORADORES 31/08/2023 LQ 248,3 248,3"
"Pago título: 2230007204 7744 - RHODIA BRASIL S.A. 31/08/2023 LQ 943,73 943,73"
"Pago título: 2230007210 7745 - AGUAS DE TUIUTI SPE 31/08/2023 LQ 5537,64 5537,64"
"Pago título: 9000007371 951 - SERVICO AUTONOMO DE A 31/08/2023 LQ 10000 10000"
"Pago título: 9000007437 1134 - MUNICIPIO DE SUMARE 31/08/2023 LQ 220417,23 220417,23"
"Pago título: 9000007477 7752 - CONDOMINIO RESIDENCI 31/08/2023 LQ 219,57 219,57"
"Pago título: 9000007483 3787 - PEDRA DA MATA EMPREE 31/08/2023 LQ 481,75 481,75"
"Pago título: 9000007533 2444 - TNT MERCURIO CARGAS 31/08/2023 LQ 226,23 226,23"
"Pago título: 9000007550 7754 - MAT EQUIPAMENTOS PAR 31/08/2023 LQ 569,61 569,61"
"Pago título: 9000007556 2392 - NEW PARQUE TENIS 31/08/2023 LQ 310,07 310,07"
"Pago título: 9000007558 3910 - R. C. A. SERVICOS DE 31/08/2023 LQ 59,15 59,15"
"Pago título: 9000007569 7757 - COPA ENERGIA DSITRIB 31/08/2023 LQ 260,56 260,56"
"Pago título: 9000007570 1052 - DEPARTAMENTO DE AGUA 31/08/2023 LQ 66810,62 66810,62"
"Pago título: 9000007589 826 - DEPARTAMENTO AUTONOMO 31/08/2023 LQ 50000 50000"
"Pago título: 9000007599 1170 - ASSOCIACAO BENEDITIN 31/08/2023 LQ 362,55 362,55"
"Pago título: 9000007601 3086 - SEW EURODRIVE BRASIL 31/08/2023 LQ 1045,09 1045,09"
"Pago título: 9000007607 941 - RAIZEN ENERGIA S/A 31/08/2023 LQ 17982,58 17982,58"
