"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448573108202222900.ret"
""
"Cadastrado título novo: 9000007058 2492 - PRENSA JUNDIAI S/A 30/09/2022 RG 465,02 0"
"Cadastrado título novo: 9000007059 302 - TEXTIL IRINEU MENEGHE 30/09/2022 RG 490,03 0"
"Pago título: 2220007395 5606 - AROMA BIOENERGIA LTD 31/08/2022 LQ 241,16 241,16"
"Pago título: 2220007402 1885 - A PRESS TRANSPORTES 31/08/2022 LQ 240,9 240,9"
"Pago título: 2220007423 6889 - EXTRAMIX CONCRETO LT 31/08/2022 LQ 236,58 236,58"
"Pago título: 2220007430 7717 - ASSOCIACAO DO CONJUN 31/08/2022 LQ 235,45 235,45"
"Pago título: 2220007437 4059 - ATI GEL FRUTAS CONGE 31/08/2022 LQ 234,94 234,94"
"Pago título: 2220007458 5614 - ATIBAIA SANEAMENTO S 31/08/2022 LQ 230,89 230,89"
"Pago título: 2220007465 3097 - CISOL DO BRASIL EXPO 31/08/2022 LQ 230,55 230,55"
"Pago título: 2220007472 2988 - K & G INDUSTRIA E CO 31/08/2022 LQ 230,26 230,26"
"Pago título: 2220007479 3119 - FDC - EMPREENDIMENTO 31/08/2022 LQ 230,23 230,23"
"Pago título: 2220007486 2168 - EMEPE INDUSTRIA GRAF 31/08/2022 LQ 230,03 230,03"
"Pago título: 2220007493 1137 - SICAD DO BRASIL FITA 31/08/2022 LQ 227,84 227,84"
"Pago título: 2220007514 5303 - ASSOCIACAO DOS MORAD 31/08/2022 LQ 225,85 225,85"
"Pago título: 2220007521 1742 - CONDOMINIO SERANILA 31/08/2022 LQ 225,85 225,85"
"Pago título: 2220007528 4479 - PERFORM PARTICIPACOE 31/08/2022 LQ 225,63 225,63"
"Pago título: 2220007542 5409 - TATIANA CRISTINA DE 31/08/2022 LQ 225,32 225,32"
"Pago título: 2220007549 2229 - AUDAX QUIMICA IND E 31/08/2022 LQ 225,03 225,03"
"Pago título: 2220007556 202 - NOVA PLAST IND E COM 31/08/2022 LQ 224,64 224,64"
"Pago título: 2220007570 2196 - ASSOCIACAO CIVIL PAR 31/08/2022 LQ 223,22 223,22"
"Pago título: 2220007584 3214 - S.ZANARDI EMPREENDIM 31/08/2022 LQ 222,92 222,92"
"Pago título: 2220007612 1993 - CABLENA DO BRASIL LT 31/08/2022 LQ 220 220"
"Pago título: 2220007619 2082 - COLORFLEX ESTAMPARIA 31/08/2022 LQ 219,63 219,63"
"Pago título: 2220007633 7027 - ETIQUETTA BRANCA IND 31/08/2022 LQ 218,85 218,85"
"Pago título: 2220007640 5575 - FONTE GELO LTDA 31/08/2022 LQ 218,83 218,83"
"Pago título: 2220007647 5350 - CONDOMINIO RESERVA D 31/08/2022 LQ 218,42 218,42"
"Pago título: 2220007654 1130 - BRASALIMENT INDUSTRI 31/08/2022 LQ 218,23 218,23"
"Pago título: 2220007675 1077 - DP & LF TRANSPORTES 31/08/2022 LQ 214,56 214,56"
"Pago título: 2220007682 1870 - MALIBER INDUSTRIA E 31/08/2022 LQ 213,3 213,3"
"Pago título: 2220007689 1652 - RICLAN S/A 31/08/2022 LQ 212,81 212,81"
"Pago título: 2220007703 1750 - PREFEITURA MUNICIPAL 31/08/2022 LQ 210,7 210,7"
"Pago título: 2220007738 680 - JOSE EDUARDO ANNICCHI 31/08/2022 LQ 209,12 209,12"
"Pago título: 2220007752 3212 - PEDREIRA NOGUEIRENSE 31/08/2022 LQ 209,12 209,12"
"Pago título: 2220007759 5436 - ANSELMO AGUAS E TRAN 31/08/2022 LQ 209,12 209,12"
"Pago título: 2220007766 2881 - SERVICO DE AGUA E ES 31/08/2022 LQ 209,12 209,12"
"Pago título: 2220007773 4512 - INSTITUTO DE ENSINO 31/08/2022 LQ 209,12 209,12"
"Pago título: 2220007794 2028 - TERMOTECNICA LTDA 31/08/2022 LQ 209,12 209,12"
"Pago título: 2220007808 3094 - RENATO PASSARIN & FI 31/08/2022 LQ 209,12 209,12"
"Pago título: 2220007815 3592 - CONDOMINIO LAGOS SHA 31/08/2022 LQ 208,91 208,91"
"Pago título: 2220007836 3059 - VIC 01 SBO EMPREENDI 31/08/2022 LQ 208,41 208,41"
"Pago título: 2220007843 1426 - WEIDMANN TECNOLOGIA 31/08/2022 LQ 208,41 208,41"
"Pago título: 2220007864 5491 - BREW CENTER CERVEJAS 31/08/2022 LQ 206,52 206,52"
"Pago título: 2220007871 7051 - IRMAOS SEGEREN AGROP 31/08/2022 LQ 206,52 206,52"
"Pago título: 2220007885 3423 - A. A. DE MELO & CIA 31/08/2022 LQ 206,16 206,16"
"Pago título: 2220007899 7331 - KOLIBRI ADMINISTRACA 31/08/2022 LQ 204,94 204,94"
"Pago título: 2220007920 4132 - MRGM PARTICIPACOES E 31/08/2022 LQ 203,26 203,26"
"Pago título: 2220007934 1936 - IVO ZARZUR ADMINISTR 31/08/2022 LQ 202,8 202,8"
"Pago título: 2220007941 2407 - FERRASPARI S/A INDUS 31/08/2022 LQ 201,64 201,64"
"Pago título: 2220007955 4315 - AGE DO BRASIL INDUST 31/08/2022 LQ 200,75 200,75"
"Pago título: 2220007962 5449 - CONDOMINIO HOTEL INT 31/08/2022 LQ 200,75 200,75"
"Pago título: 2220007969 4674 - L'OCCITANE OPERA IND 31/08/2022 LQ 200,75 200,75"
"Pago título: 2220007976 2069 - TRANSPORTES  21 LTDA 31/08/2022 LQ 200,75 200,75"
"Pago título: 9000006749 3947 - A. FRIEDBERG DO BRAS 31/08/2022 LQ 301,24 301,24"
"Pago título: 9000006766 3486 - ASSOCIACAO DOS PROP 31/08/2022 LQ 298,85 298,85"
"Pago título: 9000006871 943 - RAIZEN ENERGIA S/A 31/08/2022 LQ 10581,41 10581,41"
"Pago título: 9000006894 1112 - CIA SANEAMENTO BASIC 31/08/2022 LQ 17306,52 17306,52"
"Pago título: 9000006919 896 - PREFEITURA MUNICIPAL 31/08/2022 LQ 5498,83 5498,83"
"Pago título: 9000006926 6935 - ALTO DO SION EMPREEN 31/08/2022 LQ 376,41 376,41"
"Pago título: 9000006932 1313 - KIKKOMAN DO BRASIL I 31/08/2022 LQ 350,36 350,36"
"Pago título: 9000006970 2070 - CTEEP CIA DE TRANSMI 31/08/2022 LQ 609,25 609,25"
"Pago título: 9000006971 2073 - CTEEP CIA DE TRANSMI 31/08/2022 LQ 411,23 411,23"
"Pago título: 9000006973 2444 - TNT MERCURIO CARGAS 31/08/2022 LQ 673,26 673,26"
"Pago título: 9000006974 1585 - HORTEL HOTELARIA LTD 31/08/2022 LQ 469,22 469,22"
"Pago título: 9000006976 1408 - ARCOR DO BRASIL LTDA 31/08/2022 LQ 3083,19 3083,19"
"Pago título: 9000006977 521 - SPG PRINTS BRASIL LTD 31/08/2022 LQ 237,31 237,31"
"Pago título: 9000006981 5417 - TCP SALTO INDUSTRIAL 31/08/2022 LQ 700,64 700,64"
"Pago título: 9000006982 2239 - CERAMICA RAMOS LTDA 31/08/2022 LQ 467,14 467,14"
"Pago título: 9000006987 2691 - PAULO LUCIO FILHO ME 31/08/2022 LQ 531,37 531,37"
"Pago título: 9000006991 1033 - CCS TECNOLOGIA E SER 31/08/2022 LQ 528,96 528,96"
"Pago título: 9000006993 1108 - GREINER BIO-ONE BRAS 31/08/2022 LQ 721,55 721,55"
"Pago título: 9000006998 7331 - KOLIBRI ADMINISTRACA 31/08/2022 LQ 424,35 424,35"
"Pago título: 9000007001 4280 - YARA BRASIL FERTILIZ 31/08/2022 LQ 387,77 387,77"
"Pago título: 9000007003 5582 - RESTAURANTE E CHURRA 31/08/2022 LQ 424,36 424,36"
"Pago título: 9000007008 3532 - CONTERPA CONSERVACAO 31/08/2022 LQ 550,59 550,59"
"Pago título: 9000007012 874 - ZF AUTOMOTIVE BRASIL 31/08/2022 LQ 5998,43 5998,43"
"Pago título: 9000007013 824 - UNIVERSIDADE DE SAO P 31/08/2022 LQ 2243,12 2243,12"
"Pago título: 9000007014 2141 - SEARA ALIMENTOS S/A 31/08/2022 LQ 2261,83 2261,83"
"Pago título: 9000007015 5424 - SOLDI INCORPORADORA 31/08/2022 LQ 365,55 365,55"
"Pago título: 9000007017 1881 - EMPREENDIMENTOS RODO 31/08/2022 LQ 186,93 186,93"
"Pago título: 9000007025 3661 - BRIDGESTONE DO BRASI 31/08/2022 LQ 1057,59 1057,59"
"Pago título: 9000007026 2381 - LEROY MERLIN CIA BRA 31/08/2022 LQ 1188,02 1188,02"
"Pago título: 9000007029 94 - SERVICO SOCIAL DA INDU 31/08/2022 LQ 866,04 866,04"
"Pago título: 9000007030 2426 - EMPREENDIMENTOS RODO 31/08/2022 LQ 255,02 255,02"
"Pago título: 9000007031 5613 - AMPHENOL TFC DO BRAS 31/08/2022 LQ 761,56 761,56"
"Pago título: 9000007032 3951 - ARCELORMITTAL S.A. 31/08/2022 LQ 5465,03 5465,03"
"Pago título: 9000007050 3460 - DONGWON BRASIL FABRI 31/08/2022 LQ 357,7 357,7"
"Pago título: 9000007057 3210 - PAVAN ZANETTI INDUST 31/08/2022 LQ 373,17 373,17"
"Ignorado cancelamento automático título: 9000006941 3460 - DONGWON BRASIL FABRI 28/07/2022 BX 249,5 0"
