"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453903110202314331.ret"
""
"Cadastrado título novo: 9000007778 1148 - ARCELOR MITTAL GONVA 30/11/2023 RG 557,79 0"
"Cadastrado título novo: 9000007779 2796 - BASALTO PEDREIRA E P 30/11/2023 RG 582,81 0"
"Cadastrado título novo: 9000007780 1303 - GALVANI MINERACAO E 30/11/2023 RG 1249,44 0"
"Cadastrado título novo: 9000007781 7769 - ASSUNCAO EMPREENDIME 30/11/2023 RG 543,07 0"
"Cadastrado título novo: 9000007782 39 - VPJ EVENTOS E COMERCIO 30/11/2023 RG 763,1 0"
"Cadastrado título novo: 9000007783 4169 - JEAF INCORP PART E E 30/11/2023 RG 1120,55 0"
"Cadastrado título novo: 9000007784 2089 - POSTO TROPICOS LTDA 30/11/2023 RG 618,42 0"
"Cadastrado título novo: 9000007785 3044 - ACAO EDUCACIONAL CLA 30/11/2023 RG 803,91 0"
"Cadastrado título novo: 9000007786 7320 - ASSOCIACAO SHOPPING 30/11/2023 RG 691,27 0"
"Cadastrado título novo: 9000007787 1565 - MANCHESTER QUIMICA D 30/11/2023 RG 784,57 0"
"Cadastrado título novo: 9000007788 2936 - RIO NEGRO PARTICIPAC 01/11/2023 RG 657,84 0"
"Cadastrado título novo: 9000007789 4653 - MUNICIPIO DE HOLAMBR 30/11/2023 RG 6349,7 0"
"Cadastrado título novo: 9000007790 4653 - MUNICIPIO DE HOLAMBR 30/11/2023 RG 565,96 0"
"Cadastrado título novo: 9000007791 4653 - MUNICIPIO DE HOLAMBR 22/12/2023 RG 565,96 0"
"Pago título: 9000007552 7754 - MAT EQUIPAMENTOS PAR 31/10/2023 LQ 569,6 569,6"
"Pago título: 9000007572 1052 - DEPARTAMENTO DE AGUA 31/10/2023 LQ 66810,61 66810,61"
"Pago título: 9000007581 5260 - MRGM PARTICIPACOES E 31/10/2023 LQ 846,8 846,8"
"Pago título: 9000007591 826 - DEPARTAMENTO AUTONOMO 31/10/2023 LQ 50000 50000"
"Pago título: 9000007659 72 - ANTENOR MAXIMIANO PART 31/10/2023 LQ 1750,17 1750,17"
"Pago título: 9000007661 4791 - ASSOC DOS MORADORES 31/10/2023 LQ 536,36 536,36"
"Pago título: 9000007666 2583 - FRESENIUS MEDICAL CA 31/10/2023 LQ 3376,16 3376,16"
"Pago título: 9000007672 7320 - ASSOCIACAO SHOPPING 31/10/2023 LQ 684,53 684,53"
"Pago título: 9000007677 2538 - APTAR DO BRASIL EMBA 31/10/2023 LQ 3575,11 3575,11"
"Pago título: 9000007678 6034 - ESPACO GAIA EMPREEND 31/10/2023 LQ 803,86 803,86"
"Pago título: 9000007679 6035 - ESPACO GAIA EMPREEND 31/10/2023 LQ 887,98 887,98"
"Pago título: 9000007680 7329 - ESPACO GAIA EMPREEND 31/10/2023 LQ 887,98 887,98"
"Pago título: 9000007683 7298 - J. ANDRADE EMPREENDI 31/10/2023 LQ 4067,16 4067,16"
"Pago título: 9000007689 7329 - ESPACO GAIA EMPREEND 31/10/2023 LQ 1916,94 1916,94"
"Pago título: 9000007690 6035 - ESPACO GAIA EMPREEND 31/10/2023 LQ 1916,94 1916,94"
"Pago título: 9000007691 6034 - ESPACO GAIA EMPREEND 31/10/2023 LQ 1916,94 1916,94"
"Pago título: 9000007692 941 - RAIZEN ENERGIA S/A 31/10/2023 LQ 17982,57 17982,57"
"Pago título: 9000007694 2583 - FRESENIUS MEDICAL CA 31/10/2023 LQ 1663,04 1663,04"
"Pago título: 9000007697 244 - CONFIBRA INDUSTRIA E 31/10/2023 LQ 2164,27 2164,27"
"Pago título: 9000007699 851 - KROMBERG e SCHUBERT D 31/10/2023 LQ 380,28 380,28"
"Pago título: 9000007700 377 - XERIUM TECHNOLOGIES B 31/10/2023 LQ 1675,54 1675,54"
"Pago título: 9000007702 2267 - KSB BOMBAS HIDRAULIC 31/10/2023 LQ 1200,68 1200,68"
"Pago título: 9000007703 2679 - KSB BOMBAS HIDRAULIC 31/10/2023 LQ 738,41 738,41"
"Pago título: 9000007704 5418 - SAMUEL SAMPAIO TOCAL 31/10/2023 LQ 1885,94 1885,94"
"Pago título: 9000007707 1246 - CLUBE JUNDIAIENSE 31/10/2023 LQ 4900,35 4900,35"
"Pago título: 9000007708 3222 - SUPERMIX CONCRETO S/ 31/10/2023 LQ 1167,35 1167,35"
"Pago título: 9000007709 5560 - WT NEGOCIOS IMOBILIA 31/10/2023 LQ 2004,5 2004,5"
"Pago título: 9000007711 4483 - SUPERMIX CONCRETO S/ 31/10/2023 LQ 345,88 345,88"
"Pago título: 9000007713 1922 - TING INDUSTRIA E COM 31/10/2023 LQ 1231,5 1231,5"
"Pago título: 9000007715 3327 - INPAR PROJETO 86 SPE 31/10/2023 LQ 1223,55 1223,55"
"Pago título: 9000007717 7739 - SENPAR TERRAS DE SAO 31/10/2023 LQ 2132,44 2132,44"
"Pago título: 9000007718 33 - CONDOMINIO SHOPPING CE 31/10/2023 LQ 1366,42 1366,42"
"Pago título: 9000007722 349 - SOBAM CENTRO MEDICO H 31/10/2023 LQ 1114,26 1114,26"
"Pago título: 9000007725 3661 - BRIDGESTONE DO BRASI 31/10/2023 LQ 1068,16 1068,16"
"Pago título: 9000007726 1223 - FERROVIA CENTRO ATLA 31/10/2023 LQ 896,08 896,08"
"Pago título: 9000007727 342 - IPE AGRO AVICOLA LTDA 31/10/2023 LQ 1302,07 1302,07"
"Pago título: 9000007731 2458 - SENPAR TERRAS DE SAO 31/10/2023 LQ 1341,91 1341,91"
"Pago título: 9000007732 5490 - CARMONA CERVEJARIA A 31/10/2023 LQ 911,69 911,69"
"Pago título: 9000007736 7306 - TRANSPORTADORA FREZZ 31/10/2023 LQ 1196,66 1196,66"
"Pago título: 9000007737 3060 - ASSOCIACAO DOS PROPR 31/10/2023 LQ 2970,17 2970,17"
"Pago título: 9000007738 2513 - LAVAPANO TEXTIL LTDA 31/10/2023 LQ 354,33 354,33"
"Pago título: 9000007739 3492 - AUTO POSTO NC LTDA E 31/10/2023 LQ 841,23 841,23"
"Pago título: 9000007749 4594 - MYOUNG SHIN FABRICAN 31/10/2023 LQ 624,21 624,21"
"Pago título: 9000007750 5263 - ANHANGUERA EDUCACION 31/10/2023 LQ 625,47 625,47"
"Pago título: 9000007769 5625 - CONDOMINIO EDIFICIO 31/10/2023 LQ 581,79 581,79"
"Pago título: 9000007777 1860 - LEAL ROSA INDUSTRIA 31/10/2023 LQ 598,82 598,82"
