"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452623107202325548.ret"
""
"Cadastrado título novo: 9000007535 3579 - ADM ARMAZENS GERAIS 07/08/2023 RG 196,79 0"
"Pago título: 2230001622 1871 - PREFEITURA MUNICIPAL 31/07/2023 LQ 234,22 234,22"
"Pago título: 2230001625 1905 - ITUPEVA HOTEIS, CONV 31/07/2023 LQ 238,18 238,18"
"Pago título: 2230001628 1935 - MINERGUITA MINERACAO 31/07/2023 LQ 237,12 237,12"
"Pago título: 2230001643 2076 - PH FIT - FITAS E INO 31/07/2023 LQ 260,43 260,43"
"Pago título: 2230001646 2169 - ASSOCIACAO DE PROPRI 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001649 2184 - CABLENA DO BRASIL LT 31/07/2023 LQ 261,81 261,81"
"Pago título: 2230001652 2209 - AUTO POSTO 1500 DO S 31/07/2023 LQ 204,94 204,94"
"Pago título: 2230001655 2219 - IRMAOS PARAZZI LTDA 31/07/2023 LQ 218,46 218,46"
"Pago título: 2230001661 2372 - BELENUS DO BRASIL LT 31/07/2023 LQ 241,6 241,6"
"Pago título: 2230001667 2435 - ASSOCIACAO DO SENHOR 31/07/2023 LQ 214,52 214,52"
"Pago título: 2230001670 2439 - GRAMADO MALL 31/07/2023 LQ 226,4 226,4"
"Pago título: 2230001676 2492 - PRENSA JUNDIAI S/A 31/07/2023 LQ 222,35 222,35"
"Pago título: 2230001682 2517 - M. TORETI 31/07/2023 LQ 237,74 237,74"
"Pago título: 2230001685 2582 - TEXTIL OMBORGO LTDA 31/07/2023 LQ 213,6 213,6"
"Pago título: 2230001688 2597 - TATU PREMOLDADOS LTD 31/07/2023 LQ 248,85 248,85"
"Pago título: 2230001697 2666 - FUCHS GEWURZE DO BRA 31/07/2023 LQ 226,48 226,48"
"Pago título: 2230001700 2696 - ASSOCIACAO BOTHANICA 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001709 2866 - CELSO LUIS BELLINI E 31/07/2023 LQ 203,41 203,41"
"Pago título: 2230001712 2875 - ASSOCIACAO DE MORADO 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001730 3065 - ELETROMEI INDUSTRIA 31/07/2023 LQ 240,56 240,56"
"Pago título: 2230001736 3159 - RESIDENCIAL CLUBE CO 31/07/2023 LQ 205,97 205,97"
"Pago título: 2230001739 3171 - ANDORINHA COMERCIO E 31/07/2023 LQ 210,14 210,14"
"Pago título: 2230001757 3315 - ASSOCIACAO DOS PROP 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001760 3328 - EXPRESSO CAMPIBUS LT 31/07/2023 LQ 264,68 264,68"
"Pago título: 2230001763 3448 - CONDOMINIO CENTER LO 31/07/2023 LQ 202,43 202,43"
"Pago título: 2230001772 3527 - CARFAM EMPREENDIMENT 31/07/2023 LQ 238,55 238,55"
"Pago título: 2230001775 3541 - ASSOCIACAO DE AMIGOS 31/07/2023 LQ 256,49 256,49"
"Pago título: 2230001776 3541 - ASSOCIACAO DE AMIGOS 31/08/2023 LQ 256,49 256,49"
"Pago título: 2230001777 3541 - ASSOCIACAO DE AMIGOS 29/09/2023 LQ 256,49 256,49"
"Pago título: 2230001790 3678 - ASSOC DOS PROPR DO L 31/07/2023 LQ 234,74 234,74"
"Pago título: 2230001793 3684 - SOCIEDADE REGIONAL D 31/07/2023 LQ 230,92 230,92"
"Pago título: 2230001811 3882 - SOCIEDADE MELHORAMEN 31/07/2023 LQ 229,15 229,15"
"Pago título: 2230001817 3931 - MARCOS ANTONIO POLET 31/07/2023 LQ 213,2 213,2"
"Pago título: 2230001820 3969 - CONDOMINIO DAS MARGA 31/07/2023 LQ 257,9 257,9"
"Pago título: 2230001826 4034 - LUCI AREIA LTDA. ME 31/07/2023 LQ 226,61 226,61"
"Pago título: 2230001829 4056 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 204,94 204,94"
"Pago título: 2230001838 4137 - ALBERT SABIN HOSPITA 31/07/2023 LQ 264,24 264,24"
"Pago título: 2230001844 4254 - NTA NOVAS TECNICAS D 31/07/2023 LQ 206,88 206,88"
"Pago título: 2230001847 4404 - S. A. PELEGRINO - ME 31/07/2023 LQ 212,71 212,71"
"Pago título: 2230001850 4419 - MIDAS INCORPORADORA 31/07/2023 LQ 237,77 237,77"
"Pago título: 2230001853 4507 - CONDOMINIO DAS AZALE 31/07/2023 LQ 200,63 200,63"
"Pago título: 2230001859 4582 - CAMPEAO 80 POSTOS DE 31/07/2023 LQ 243,97 243,97"
"Pago título: 2230001865 4668 - IDEIA NOVA EMPREENDI 31/07/2023 LQ 239 239"
"Pago título: 2230001868 4694 - WALDIR PARISE E OUTR 31/07/2023 LQ 233,09 233,09"
"Pago título: 2230001874 4777 - ASSOCIACAO DOS FUNCI 31/07/2023 LQ 225,44 225,44"
"Pago título: 2230001880 4826 - ATACADAO S.A. 31/07/2023 LQ 243,97 243,97"
"Pago título: 2230001886 4875 - HIDROALL DO BRASIL L 31/07/2023 LQ 220,58 220,58"
"Pago título: 2230001901 5283 - ARTHI COMERCIAL LTDA 31/07/2023 LQ 239,44 239,44"
"Pago título: 2230001904 5350 - CONDOMINIO RESERVA D 31/07/2023 LQ 244,77 244,77"
"Pago título: 2230001916 5439 - ASSOCIACAO DOS MORAD 31/07/2023 LQ 243,97 243,97"
"Pago título: 2230001931 5611 - ASSOCIACAO DOS FUNCI 31/07/2023 LQ 231,57 231,57"
"Pago título: 2230001940 6791 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 231,61 231,61"
"Pago título: 2230001946 6912 - CPE PLASTICOS LTDA 31/07/2023 LQ 202,71 202,71"
"Pago título: 2230001955 7344 - ASSOCIACAO DISTRIBUT 31/07/2023 LQ 201,23 201,23"
"Pago título: 2230001965 7712 - JORGE DA FONSECA OSO 31/08/2023 LQ 249,13 249,13"
"Pago título: 2230001973 7734 - UNIVERSO DO GELO COM 31/07/2023 LQ 207,67 207,67"
"Pago título: 2230001984 239 - AMCOR PACKAGING DO BR 31/07/2023 LQ 201,27 201,27"
"Pago título: 2230001996 450 - CONDOMINIO CHACARAS D 31/07/2023 LQ 229,09 229,09"
"Pago título: 2230002000 480 - PAPIRUS INDUSTRIA DE 31/07/2023 LQ 218,46 218,46"
"Pago título: 2230002004 522 - CONDOMINIO RESIDENCIA 31/07/2023 LQ 241,14 241,14"
"Pago título: 2230002012 579 - CPQ BRASIL S/A 31/07/2023 LQ 215,09 215,09"
"Pago título: 2230002032 974 - WHITE MARTINS GASES I 31/07/2023 LQ 249,24 249,24"
"Pago título: 2230002036 996 - AGROCERES MULTIMIX NU 31/07/2023 LQ 229,75 229,75"
"Pago título: 2230002040 997 - CEDASA INDUSTRIA E CO 31/07/2023 LQ 230,56 230,56"
"Pago título: 2230002044 1020 - CONDOMINIO RESIDENCI 31/07/2023 LQ 236,4 236,4"
"Pago título: 2230002048 1039 - BRAGA COMERCIO E IND 31/07/2023 LQ 210,22 210,22"
"Pago título: 2230002064 1228 - FERNANDES TEXTIL LTD 31/07/2023 LQ 207,49 207,49"
"Pago título: 2230002080 1445 - SOCIEDADE DOS AMIGOS 31/07/2023 LQ 209,24 209,24"
"Pago título: 2230002096 1678 - JATOBA S/A 31/07/2023 LQ 213,77 213,77"
"Pago título: 2230002104 1817 - TECITEX TINTURARIA E 31/07/2023 LQ 201,03 201,03"
"Pago título: 2230002108 1850 - DP & LF TRANSPORTES 31/07/2023 LQ 204,93 204,93"
"Pago título: 2230002116 1892 - INBRA INDUSTRIAS QUI 31/07/2023 LQ 238,55 238,55"
"Pago título: 2230002120 1945 - G-KT DO BRASIL LTDA 31/07/2023 LQ 219,56 219,56"
"Pago título: 2230002121 1945 - G-KT DO BRASIL LTDA 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230002122 1945 - G-KT DO BRASIL LTDA 29/09/2023 LQ 219,58 219,58"
"Pago título: 2230002123 1945 - G-KT DO BRASIL LTDA 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230002124 1967 - PLASTICOS SANTANA LT 31/07/2023 LQ 214,07 214,07"
"Pago título: 2230002128 2051 - BISCOITONE INDUSTRIA 31/07/2023 LQ 244,2 244,2"
"Pago título: 2230002140 2438 - ASSOCIACAO SAO MIGUE 31/07/2023 LQ 222,65 222,65"
"Pago título: 2230002148 2594 - A A DE MELO & CIA LT 31/07/2023 LQ 226,23 226,23"
"Pago título: 2230002168 2926 - R M DE BARROS TEXTIL 31/07/2023 LQ 226,68 226,68"
"Pago título: 2230002180 3162 - CONGE FRUTAS LTDA EP 31/07/2023 LQ 234,64 234,64"
"Pago título: 2230002184 3288 - SELIAL IND E COM, IM 31/07/2023 LQ 201,16 201,16"
"Pago título: 2230002188 3298 - ASSOC DO CONJUNTO RE 31/07/2023 LQ 219,56 219,56"
"Pago título: 2230002192 3325 - GOODMAN ITUPEVA EMPR 31/07/2023 LQ 215,82 215,82"
"Pago título: 2230002200 3340 - FRIGOGIL INDUSTRIAL 31/07/2023 LQ 219,56 219,56"
"Pago título: 2230002208 3400 - S.ZANARDI EMPREENDIM 31/07/2023 LQ 216,63 216,63"
"Pago título: 2230002216 3459 - JOFEGE CONCRETO LTDA 31/07/2023 LQ 215,37 215,37"
"Pago título: 2230002232 3663 - ASSOCIACAO DOS ADQ L 31/07/2023 LQ 219,56 219,56"
"Pago título: 2230002236 3726 - SATOSHI ITO E OUTROS 31/07/2023 LQ 219,56 219,56"
"Pago título: 2230002240 3733 - ASSOC PROPRIETARIOS 31/07/2023 LQ 219,56 219,56"
"Pago título: 2230002244 3771 - INDUSTRIA E COMERCIO 31/07/2023 LQ 233,04 233,04"
"Pago título: 2230002256 3856 - BRASPARK ADMINISTRAD 31/07/2023 LQ 201,02 201,02"
"Pago título: 2230002264 3927 - FLAMBOIA ALIMENTOS L 31/07/2023 LQ 230,56 230,56"
"Pago título: 2230002268 3946 - CAMPEAO 68 POSTO DE 31/07/2023 LQ 210,34 210,34"
"Pago título: 2230002280 4148 - CHRISTEYNS BRASIL PR 31/07/2023 LQ 236,05 236,05"
"Pago título: 2230002292 4409 - RODOPOSTO BANDEIRANT 31/07/2023 LQ 238,63 238,63"
"Pago título: 2230002300 4534 - CONDOMINIO CIVIL CEN 31/07/2023 LQ 215,1 215,1"
"Pago título: 2230002304 4650 - ABATEDOURO DE AVES I 31/07/2023 LQ 219,56 219,56"
"Pago título: 2230002312 4793 - AZS INDUSTRIA E COME 31/07/2023 LQ 225,23 225,23"
"Pago título: 2230002316 4820 - TRANSPEDROSA S/A 31/07/2023 LQ 234,22 234,22"
"Pago título: 2230002324 4895 - VYLLA EMPREENDIMENTO 31/07/2023 LQ 204,93 204,93"
"Pago título: 2230002328 4976 - ASTRA S/A INDUSTRIA 31/07/2023 LQ 219,56 219,56"
"Pago título: 2230002344 5390 - LOLLY BABY PRODUTOS 31/07/2023 LQ 219,56 219,56"
"Pago título: 2230002352 5468 - LUCIANO TORELLI E CI 31/07/2023 LQ 211,74 211,74"
"Pago título: 2230002380 5635 - RECAP CONSTRUTORA E 31/07/2023 LQ 216,56 216,56"
"Pago título: 2230002388 5907 - TSI - EMPREENDIMENTO 31/07/2023 LQ 248,85 248,85"
"Pago título: 2230002396 6982 - ASSOCIACAO DOS MORAD 31/07/2023 LQ 219,56 219,56"
"Pago título: 2230002404 7150 - VIDA SAO DOMINGOS IN 31/07/2023 LQ 207,02 207,02"
"Pago título: 2230002420 7710 - WLM PART E COMERCIO 31/07/2023 LQ 201,27 201,27"
"Pago título: 2230002438 155 - AUTO POSTO AMIGAO DA 31/07/2023 LQ 204,92 204,92"
"Pago título: 2230002463 769 - LUIZ CARLOS SCARPONI 31/07/2023 LQ 210,8 210,8"
"Pago título: 2230002478 875 - RICHARD KLINGER INDUS 31/07/2023 LQ 234,74 234,74"
"Pago título: 2230002483 890 - LABORATORIO TAYUYNA L 31/07/2023 LQ 224,44 224,44"
"Pago título: 2230002488 894 - DAUNE TRAVESSEIROS DE 31/07/2023 LQ 230,76 230,76"
"Pago título: 2230002493 953 - MAHLE COMPRESSORES DO 31/07/2023 LQ 206,83 206,83"
"Pago título: 2230002498 969 - PRALANA INDUSTRIA E C 31/07/2023 LQ 217,77 217,77"
"Pago título: 2230002508 1430 - ASSOCIACAO DOS MORAD 31/07/2023 LQ 222,51 222,51"
"Pago título: 2230002513 1572 - ETAPA EDUCACIONAL LT 31/07/2023 LQ 204,84 204,84"
"Pago título: 2230002518 1774 - MINERACAO SAARA EXTR 31/07/2023 LQ 237,47 237,47"
"Pago título: 2230002523 1832 - LANMAR INDUSTRIA MET 31/07/2023 LQ 219,32 219,32"
"Pago título: 2230002528 2137 - PREFEITURA MUNICIPAL 31/07/2023 LQ 209,95 209,95"
"Pago título: 2230002538 2360 - ORION COMERCIO DE MI 31/07/2023 LQ 213,46 213,46"
"Pago título: 2230002543 2367 - INDUSTRIA DE FRIOS X 31/07/2023 LQ 202,64 202,64"
"Pago título: 2230002548 2389 - JOFEGE CONCRETO LTDA 31/07/2023 LQ 215,71 215,71"
"Pago título: 2230002568 2832 - THERMAS DAS AGUAS DE 31/07/2023 LQ 234,23 234,23"
"Pago título: 2230002573 3098 - ASSOC DOS PROPR E MO 31/07/2023 LQ 239,48 239,48"
"Pago título: 2230002583 3259 - BAG CLEANER COMERCIO 31/07/2023 LQ 202,3 202,3"
"Pago título: 2230002598 3424 - ASSOCIACAO DOS PROP. 31/07/2023 LQ 204,92 204,92"
"Pago título: 2230002608 3468 - VOTORANTIM CIMENTOS 31/07/2023 LQ 233,62 233,62"
"Pago título: 2230002613 3529 - TECELAGEM JOLITEX LT 31/07/2023 LQ 209,54 209,54"
"Pago título: 2230002618 3608 - BIONOVIS S.A. - CIA 31/07/2023 LQ 220,13 220,13"
"Pago título: 2230002623 3615 - IMOBILIARIA HELVETIA 31/07/2023 LQ 234,22 234,22"
"Pago título: 2230002628 3656 - FAZENDA TOZAN DO BRA 31/07/2023 LQ 204,95 204,95"
"Pago título: 2230002638 3729 - NP EMPREENDIMENTOS L 31/07/2023 LQ 210,8 210,8"
"Pago título: 2230002648 3803 - ASSOCIACAO ALPHAVILL 31/07/2023 LQ 235,2 235,2"
"Pago título: 2230002658 3945 - BRASA BURGER IND E C 31/07/2023 LQ 206,29 206,29"
"Pago título: 2230002668 3991 - HIGIBRAG TRANSPORTE 31/07/2023 LQ 234,23 234,23"
"Pago título: 2230002678 4053 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 237,13 237,13"
"Pago título: 2230002683 4136 - STORAGE ADMINISTRACA 31/07/2023 LQ 210,8 210,8"
"Pago título: 2230002688 4327 - CEETEPS-CENTRO ESTAD 31/07/2023 LQ 216,64 216,64"
"Pago título: 2230002693 4396 - VIVENDA ASSOCIACAO L 31/07/2023 LQ 213,72 213,72"
"Pago título: 2230002763 7011 - JS ESPUMAS FLEXIVEIS 31/07/2023 LQ 221,17 221,17"
"Pago título: 2230002768 7294 - ASSOCIACAO DE PROPRI 31/07/2023 LQ 234,23 234,23"
"Pago título: 2230002773 7330 - LA VITA ALIMENTOS AG 31/07/2023 LQ 210,8 210,8"
"Pago título: 2230002783 7741 - ASSOCIACAO DOS PROP 31/07/2023 LQ 221,87 221,87"
"Pago título: 2230002788 7749 - CONCREPAV PARTICIPAC 31/07/2023 LQ 200,22 200,22"
"Pago título: 2230002793 3 - CONDOMINIO RESIDENCIAL 31/07/2023 LQ 328,26 328,26"
"Pago título: 2230002811 12 - AGUAJATO TRANSPORTES L 31/07/2023 LQ 2545,03 2545,03"
"Pago título: 2230002829 22 - HONDA AUTOMOVEIS DO BR 31/07/2023 LQ 1634,42 1634,42"
"Pago título: 2230002835 24 - ASSOCIACAO DOS PROPRIE 31/07/2023 LQ 601,72 601,72"
"Pago título: 2230002841 25 - EXTRACAO E COMERCIO DE 31/07/2023 LQ 737,67 737,67"
"Pago título: 2230002847 26 - CERAMICA FORMIGRES LTD 31/07/2023 LQ 3109,49 3109,49"
"Pago título: 2230002877 43 - CONDOMINIO RESIDENCIAL 31/07/2023 LQ 1976,18 1976,18"
"Pago título: 2230002889 46 - ASSOCIACAO DE MORADORE 31/07/2023 LQ 414,76 414,76"
"Pago título: 2230002919 68 - ASSOCIACAO GREEN VILLA 31/07/2023 LQ 342,89 342,89"
"Pago título: 2230002925 69 - PLASTEK DO BRASIL INDU 31/07/2023 LQ 423,8 423,8"
"Pago título: 2230002937 73 - NARDINI PISOS E REVEST 31/07/2023 LQ 292,75 292,75"
"Pago título: 2230002949 94 - SERVICO SOCIAL DA INDU 31/07/2023 LQ 487,92 487,92"
"Pago título: 2230002955 96 - TAGMA BRASIL INDUSTRIA 31/07/2023 LQ 707,51 707,51"
"Pago título: 2230002961 98 - SOCIEDADE RESIDENCIAL 31/07/2023 LQ 2925,71 2925,71"
"Pago título: 2230002973 112 - LUME CERAMICA LTDA 31/07/2023 LQ 292,75 292,75"
"Pago título: 2230002985 135 - CONDOMINIO RESIDENCIA 31/07/2023 LQ 209,31 209,31"
"Pago título: 2230002997 142 - SOCIEDADE DE MELHORAM 31/07/2023 LQ 606,49 606,49"
"Pago título: 2230003003 149 - GREEN GOLF CLUB 31/07/2023 LQ 297,32 297,32"
"Pago título: 2230003015 157 - CONDOMINIO TECH TOWN 31/07/2023 LQ 1177,73 1177,73"
"Pago título: 2230003021 160 - ASSOCIACAO RESIDENCIA 31/07/2023 LQ 3278,96 3278,96"
"Pago título: 2230003027 163 - SABARA QUIMICOS E ING 31/07/2023 LQ 601,52 601,52"
"Pago título: 2230003033 166 - BRF - BRASIL FOODS S/ 31/07/2023 LQ 346,16 346,16"
"Pago título: 2230003034 166 - BRF - BRASIL FOODS S/ 31/08/2023 LQ 346,14 346,14"
"Pago título: 2230003035 166 - BRF - BRASIL FOODS S/ 29/09/2023 LQ 346,14 346,14"
"Pago título: 2230003037 166 - BRF - BRASIL FOODS S/ 30/11/2023 LQ 346,14 346,14"
"Pago título: 2230003038 166 - BRF - BRASIL FOODS S/ 22/12/2023 LQ 346,14 346,14"
"Pago título: 2230003039 182 - UNIPEL INDUSTRIA E CO 31/07/2023 LQ 403,6 403,6"
"Pago título: 2230003045 183 - TEXTIL BASSETO LTDA 31/07/2023 LQ 290,29 290,29"
"Pago título: 2230003051 184 - TECELAGEM JOLITEX LTD 31/07/2023 LQ 1904,97 1904,97"
"Pago título: 2230003057 186 - OBER S/A INDUSTRIA E 31/07/2023 LQ 213,23 213,23"
"Pago título: 2230003063 191 - COOPERATIVA NOVA ESPE 31/07/2023 LQ 1081,18 1081,18"
"Pago título: 2230003069 202 - NOVA PLAST IND E COM 31/07/2023 LQ 262,09 262,09"
"Pago título: 2230003075 203 - TINTURARIA E ESTAMPAR 31/07/2023 LQ 1343,06 1343,06"
"Pago título: 2230003081 206 - ROUSSELOT GELATINAS D 31/07/2023 LQ 2597,4 2597,4"
"Pago título: 2230003087 211 - FERNANDEZ S.A. INDUST 31/07/2023 LQ 517,12 517,12"
"Pago título: 2230003099 219 - SI GROUP CRIOS RESINA 31/07/2023 LQ 2443,08 2443,08"
"Pago título: 2230003105 223 - VIVA PISOS E REVESTIM 31/07/2023 LQ 862,67 862,67"
"Pago título: 2230003129 237 - IPLASA - INDUSTRIA E 31/07/2023 LQ 585,55 585,55"
"Pago título: 2230003147 246 - 3M DO BRASIL LTDA 31/07/2023 LQ 1958,58 1958,58"
"Pago título: 2230003159 257 - PASTIFICIO SELMI S/A 31/07/2023 LQ 2004,05 2004,05"
"Pago título: 2230003171 265 - ADERE PRODUTOS AUTO-A 31/07/2023 LQ 315,19 315,19"
"Pago título: 2230003195 293 - OMAMORI INDUSTRIA DE 31/07/2023 LQ 402,33 402,33"
"Pago título: 2230003201 297 - CERAMICA CRISTOFOLETT 31/07/2023 LQ 585,55 585,55"
"Pago título: 2230003213 312 - FIACAO ALPINA LTDA 31/07/2023 LQ 1061,84 1061,84"
"Pago título: 2230003225 324 - DEDINI S/A INDUSTRIAS 31/07/2023 LQ 858,56 858,56"
"Pago título: 2230003231 332 - CRS BRANDS INDUSTRIA 31/07/2023 LQ 4783,79 4783,79"
"Pago título: 2230003237 335 - ANTONIO BORIN SA IND 31/07/2023 LQ 428,33 428,33"
"Pago título: 2230003255 356 - ESTANCIA ARVORE DA VI 31/07/2023 LQ 740,18 740,18"
"Pago título: 2230003285 375 - CAPUAVA S/A INDUSTRIA 31/07/2023 LQ 1088,45 1088,45"
"Pago título: 2230003291 383 - EATON LTDA 31/07/2023 LQ 1263,47 1263,47"
"Pago título: 2230003297 390 - TOYOBO DO BRASIL LTDA 31/07/2023 LQ 841,64 841,64"
"Pago título: 2230003303 391 - CONDOMINIO EDIFICIO E 31/07/2023 LQ 232,35 232,35"
"Pago título: 2230003309 392 - CONDOMINIO SHOPPING C 31/07/2023 LQ 843,66 843,66"
"Pago título: 2230003315 400 - FRICOCK FRIGORIFICACA 31/07/2023 LQ 962,67 962,67"
"Pago título: 2230003333 417 - EMBRAMACO EMPRESA BRA 31/07/2023 LQ 4044,81 4044,81"
"Pago título: 2230003345 426 - RUY R. DA ROCHA PRODU 31/07/2023 LQ 439,15 439,15"
"Pago título: 2230003363 448 - INDUSTRIA DE PAPEL R. 31/07/2023 LQ 3352,19 3352,19"
"Pago título: 2230003381 455 - TBK MINERACAO LTDA 31/07/2023 LQ 754,85 754,85"
"Pago título: 2230003387 461 - J.R.M. - PARTICIPACOE 31/07/2023 LQ 994,47 994,47"
"Pago título: 2230003393 462 - AD ORO S/A 31/07/2023 LQ 4632,7 4632,7"
"Pago título: 2230003411 474 - VINGI INDUSTRIA TEXTI 31/07/2023 LQ 227,94 227,94"
"Pago título: 2230003417 476 - CLUBE DE CAMPO VALINH 31/07/2023 LQ 2607,36 2607,36"
"Pago título: 2230003429 482 - TAVARES PINHEIRO INDU 31/07/2023 LQ 707,51 707,51"
"Pago título: 2230003435 487 - USINA ACUCAREIRA ESTE 31/07/2023 LQ 27234,25 27234,25"
"Pago título: 2230003441 490 - SAINT-GOBAIN DO BRASI 31/07/2023 LQ 1388,18 1388,18"
"Pago título: 2230003453 495 - NEUMAYER TEKFOR AUTOM 31/07/2023 LQ 226,19 226,19"
"Pago título: 2230003459 497 - ALCOOL FERREIRA S/A 31/07/2023 LQ 698,48 698,48"
"Pago título: 2230003465 499 - SPAL INDUSTRIA BRASIL 31/07/2023 LQ 3889,63 3889,63"
"Pago título: 2230003471 500 - BIGNARDI IND E COM DE 31/07/2023 LQ 7070,25 7070,25"
"Pago título: 2230003477 503 - FLAMBOIA ALIMENTOS LT 31/07/2023 LQ 855,61 855,61"
"Pago título: 2230003483 505 - ASSOCIACAO AMIGOS DO 31/07/2023 LQ 1493,99 1493,99"
"Pago título: 2230003489 507 - TINTURARIA UNIVERSO L 31/07/2023 LQ 1430,69 1430,69"
"Pago título: 2230003495 521 - SPG PRINTS BRASIL LTD 31/07/2023 LQ 228,08 228,08"
"Pago título: 2230003531 559 - BENEFICIADORA DE TECI 31/07/2023 LQ 2642 2642"
"Pago título: 2230003537 563 - PLAZA INDUSTRIA E COM 31/07/2023 LQ 271,33 271,33"
"Pago título: 2230003543 585 - TEKA - TECELAGEM KUEN 31/07/2023 LQ 2158,28 2158,28"
"Pago título: 2230003549 604 - ASSOCIACAO RESIDENCIA 31/07/2023 LQ 268,36 268,36"
"Pago título: 2230003561 680 - JOSE EDUARDO ANNICCHI 31/07/2023 LQ 243,98 243,98"
"Pago título: 2230003579 822 - AGUAS DE HOLAMBRA SAN 31/07/2023 LQ 21719 21719"
"Pago título: 2230003580 822 - AGUAS DE HOLAMBRA SAN 31/08/2023 LQ 21718,99 21718,99"
"Pago título: 2230003581 822 - AGUAS DE HOLAMBRA SAN 29/09/2023 LQ 21718,99 21718,99"
"Pago título: 2230003582 822 - AGUAS DE HOLAMBRA SAN 31/10/2023 LQ 21718,99 21718,99"
"Pago título: 2230003583 822 - AGUAS DE HOLAMBRA SAN 30/11/2023 LQ 21718,99 21718,99"
"Pago título: 2230003584 822 - AGUAS DE HOLAMBRA SAN 22/12/2023 LQ 21718,99 21718,99"
"Pago título: 2230003585 824 - UNIVERSIDADE DE SAO P 31/07/2023 LQ 1263,84 1263,84"
"Pago título: 2230003591 826 - DEPARTAMENTO AUTONOMO 31/07/2023 LQ 118046,62 118046,62"
"Pago título: 2230003597 828 - SERVICO AUTONOMO DE A 31/07/2023 LQ 66566,14 66566,14"
"Pago título: 2230003609 831 - DEPARTAMENTO DE AGUAS 31/07/2023 LQ 45502,61 45502,61"
"Pago título: 2230003615 832 - SANEAMENTO BASICO VIN 31/07/2023 LQ 38330,28 38330,28"
"Pago título: 2230003621 839 - BUTILAMIL INDUSTRIAS 31/07/2023 LQ 4792,59 4792,59"
"Pago título: 2230003633 842 - REGIMAR COMERCIAL S/A 31/07/2023 LQ 2609,62 2609,62"
"Pago título: 2230003639 844 - COIM BRASIL LTDA 31/07/2023 LQ 557,09 557,09"
"Pago título: 2230003645 845 - THYSSENKRUPP METALURG 31/07/2023 LQ 6626,36 6626,36"
"Pago título: 2230003651 851 - KROMBERG & SCHUBERT D 31/07/2023 LQ 369,1 369,1"
"Pago título: 2230003657 852 - ECOFABRIL INDUSTRIA E 31/07/2023 LQ 370,98 370,98"
"Pago título: 2230003663 855 - LOG & PRINT GRAFICA E 31/07/2023 LQ 283,47 283,47"
"Pago título: 2230003669 856 - PREFEITURA MUNICIPAL 31/07/2023 LQ 5972 5972"
"Pago título: 2230003693 867 - EUCATEX INDUSTRIA E C 31/07/2023 LQ 53008,85 53008,85"
"Pago título: 2230003699 868 - PREFEITURA MUNICIPAL 31/07/2023 LQ 5625,49 5625,49"
"Pago título: 2230003705 878 - PREFEITURA MUNICIPAL 31/07/2023 LQ 4949,71 4949,71"
"Pago título: 2230003711 880 - MD PAPEIS LTDA 31/07/2023 LQ 5132,01 5132,01"
"Pago título: 2230003717 882 - SERVICO AUTONOMO DE A 31/07/2023 LQ 115892,58 115892,58"
"Pago título: 2230003723 885 - CP KELCO BRASIL S/A 31/07/2023 LQ 7191,08 7191,08"
"Pago título: 2230003735 888 - INCOPISOS INDUSTRIA E 31/07/2023 LQ 1200,36 1200,36"
"Pago título: 2230003741 891 - TIMAVO DO BRASIL S/A 31/07/2023 LQ 4167,38 4167,38"
"Pago título: 2230003747 892 - A. AZEVEDO INDUSTRIA 31/07/2023 LQ 1743,78 1743,78"
"Pago título: 2230003753 895 - FRIGORIFICO ANGELELLI 31/07/2023 LQ 2147,82 2147,82"
"Pago título: 2230003759 896 - PREFEITURA MUNICIPAL 31/07/2023 LQ 1728,96 1728,96"
"Pago título: 2230003765 898 - SERVICO MUNICIPAL DE 31/07/2023 LQ 332002,15 332002,15"
"Pago título: 2230003777 903 - MINASA TRADING INTERN 31/07/2023 LQ 1557,16 1557,16"
"Pago título: 2230003783 906 - TINTURARIA E ESTAMPAR 31/07/2023 LQ 2311,52 2311,52"
"Pago título: 2230003789 907 - SERRA AZUL WATER PARK 31/07/2023 LQ 2060,95 2060,95"
"Pago título: 2230003795 908 - PREFEITURA MUNICIPAL 31/07/2023 LQ 1556,02 1556,02"
"Pago título: 2230003801 909 - FLEX PARQUE EMPRESARI 31/07/2023 LQ 934,42 934,42"
"Pago título: 2230003813 917 - BMB BELGO MINEIRA BEK 31/07/2023 LQ 1419,29 1419,29"
"Pago título: 2230003819 919 - COMPANHIA DE DESENVOL 31/07/2023 LQ 57073,67 57073,67"
"Pago título: 2230003825 920 - ELEKEIROZ S/A 31/07/2023 LQ 11137,5 11137,5"
"Pago título: 2230003855 932 - GREMIO RECR EMPREGADO 31/07/2023 LQ 461,62 461,62"
"Pago título: 2230003861 938 - MIRACEMA NUODEX INDUS 31/07/2023 LQ 474,85 474,85"
