"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458203110202421250.ret"
""
"Cadastrado título novo: 9000008352 4280 - YARA BRASIL FERTILIZ 29/11/2024 RG 685,39 0"
"Cadastrado título novo: 9000008353 497 - ALCOOL FERREIRA S/A 29/11/2024 RG 1090,17 0"
"Cadastrado título novo: 9000008354 3857 - CRS MINERACAO INDUST 29/11/2024 RG 2074,99 0"
"Pago título: 2400005079 2687 - ROTOCROM INDUSTRIA E 31/10/2024 LQ 305,65 305,65"
"Pago título: 2400005083 2943 - VTR VETOR EQUIPAMENT 31/10/2024 LQ 304,4 304,4"
"Pago título: 2400005087 975 - BANN QUIMICA LTDA 31/10/2024 LQ 304,08 304,08"
"Pago título: 2400005115 3670 - TRANS KOTHE TRANSPOR 31/10/2024 LQ 300,45 300,45"
"Pago título: 2400005123 3098 - ASSOC DOS PROPR E MO 31/10/2024 LQ 299,35 299,35"
"Pago título: 2400005135 301 - CRIA SIM PRODUTOS DE 31/10/2024 LQ 298,23 298,23"
"Pago título: 2400005139 1774 - MINERACAO SAARA EXTR 31/10/2024 LQ 296,82 296,82"
"Pago título: 2400005143 4053 - ASSOCIACAO DOS PROPR 31/10/2024 LQ 296,42 296,42"
"Pago título: 2400005151 3803 - ASSOCIACAO ALPHAVILL 31/10/2024 LQ 294,01 294,01"
"Pago título: 2400005155 875 - RICHARD KLINGER INDUS 31/10/2024 LQ 293,42 293,42"
"Pago título: 2400005159 7824 - IBIRAPUERA TEXTIL LT 31/10/2024 LQ 293,2 293,2"
"Pago título: 2400005175 86 - PROMOCAO DO ENSINO DE 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400005183 3991 - HIGIBRAG TRANSPORTE 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400005191 3615 - IMOBILIARIA HELVETIA 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400005203 894 - DAUNE TRAVESSEIROS DE 31/10/2024 LQ 288,45 288,45"
"Pago título: 2400005207 3285 - ASSOCIACAO VILLAGE L 31/10/2024 LQ 287,83 287,83"
"Pago título: 2400005215 4016 - ITA - AREIA COMERCIO 31/10/2024 LQ 285,45 285,45"
"Pago título: 2400005231 890 - LABORATORIO TAYUYNA L 31/10/2024 LQ 280,57 280,57"
"Pago título: 2400005251 7741 - ASSOCIACAO DOS PROP 31/10/2024 LQ 277,34 277,34"
"Pago título: 2400005259 7011 - JS ESPUMAS FLEXIVEIS 31/10/2024 LQ 276,46 276,46"
"Pago título: 2400005263 3608 - BIONOVIS S.A. - CIA 31/10/2024 LQ 275,15 275,15"
"Pago título: 2400005267 1832 - LANMAR INDUSTRIA MET 31/10/2024 LQ 274,16 274,16"
"Pago título: 2400005279 969 - PRALANA INDUSTRIA E C 31/10/2024 LQ 272,19 272,19"
"Pago título: 2400005283 4327 - CEETEPS-CENTRO ESTAD 31/10/2024 LQ 270,81 270,81"
"Pago título: 2400005291 2389 - JOFEGE CONCRETO LTDA 31/10/2024 LQ 269,63 269,63"
"Pago título: 2400005299 7868 - LINCOLN ELECTRIC DO 31/10/2024 LQ 269,28 269,28"
"Pago título: 2400005307 4396 - VIVENDA ASSOCIACAO L 31/10/2024 LQ 267,15 267,15"
"Pago título: 2400005315 7844 - L.A. FERRETTI EIRELI 31/10/2024 LQ 264,7 264,7"
"Pago título: 2400005327 7330 - LA VITA ALIMENTOS AG 31/10/2024 LQ 263,49 263,49"
"Pago título: 2400005331 4136 - STORAGE ADMINISTRACA 31/10/2024 LQ 263,49 263,49"
"Pago título: 2400005335 3729 - NP EMPREENDIMENTOS L 31/10/2024 LQ 263,49 263,49"
"Pago título: 2400005339 2137 - PREFEITURA MUNICIPAL 31/10/2024 LQ 262,45 262,45"
"Pago título: 2400005347 953 - MAHLE COMPRESSORES DO 31/10/2024 LQ 258,53 258,53"
"Pago título: 2400005351 3945 - BRASA BURGER IND E C 31/10/2024 LQ 257,84 257,84"
"Pago título: 2400005355 617 - JOAO BOZZA JUNIOR 31/10/2024 LQ 256,17 256,17"
"Pago título: 2400005375 3656 - FAZENDA TOZAN DO BRA 31/10/2024 LQ 256,17 256,17"
"Pago título: 2400005379 1572 - ETAPA EDUCACIONAL LT 31/10/2024 LQ 256,03 256,03"
"Pago título: 2400005387 853 - TAKASAGO FRANGANCIAS 31/10/2024 LQ 255,34 255,34"
"Pago título: 2400005395 413 - INDUSTRIAS ROMI S/A 31/10/2024 LQ 253,59 253,59"
"Pago título: 2400005399 2367 - INDUSTRIA DE FRIOS X 31/10/2024 LQ 253,3 253,3"
"Pago título: 2400005403 3259 - BAG CLEANER COMERCIO 31/10/2024 LQ 252,9 252,9"
"Pago título: 2400005407 153 - CONDOMINIO BOSQUE DOS 31/10/2024 LQ 251,34 251,34"
"Pago título: 2400005415 7749 - CONCREPAV PARTICIPAC 31/10/2024 LQ 250,26 250,26"
"Pago título: 2400005431 2959 - ALIMENTOS DALLAS IND 31/10/2024 LQ 248,53 248,53"
"Pago título: 2400005443 2051 - BISCOITONE INDUSTRIA 31/10/2024 LQ 244,19 244,19"
"Pago título: 2400005455 522 - CONDOMINIO RESIDENCIA 31/10/2024 LQ 241,13 241,13"
"Pago título: 2400005459 1598 - ARTEC PISOS E REVEST 31/10/2024 LQ 239,4 239,4"
"Pago título: 2400005467 1892 - INBRA INDUSTRIAS QUI 31/10/2024 LQ 238,55 238,55"
"Pago título: 2400005471 1020 - CONDOMINIO RESIDENCI 31/10/2024 LQ 236,42 236,42"
"Pago título: 2400005475 4148 - CHRISTEYNS BRASIL PR 31/10/2024 LQ 236,04 236,04"
"Pago título: 2400005479 3162 - CONGE FRUTAS LTDA EP 31/10/2024 LQ 234,65 234,65"
"Pago título: 2400005499 3771 - INDUSTRIA E COMERCIO 31/10/2024 LQ 233,04 233,04"
"Pago título: 2400005503 4093 - UNIVERSAL INDUSTRIAS 31/10/2024 LQ 232,92 232,92"
"Pago título: 2400005507 3288 - SELIAL IND E COM, IM 31/10/2024 LQ 231,87 231,87"
"Pago título: 2400005519 3927 - FLAMBOIA ALIMENTOS L 31/10/2024 LQ 230,55 230,55"
"Pago título: 2400005539 450 - CONDOMINIO CHACARAS D 31/10/2024 LQ 229,09 229,09"
"Pago título: 2400005551 2594 - A A DE MELO & CIA LT 31/10/2024 LQ 226,23 226,23"
"Pago título: 2400005575 260 - SERVICO DE SAUDE DR. 31/10/2024 LQ 223,97 223,97"
"Pago título: 2400005607 6890 - SP TINTAS E COMERCIO 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400005627 5390 - LOLLY BABY PRODUTOS 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400005631 3726 - SATOSHI ITO E OUTROS 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400005639 4164 - SERELLO RECICLAGEM 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400005643 1945 - G-KT DO BRASIL LTDA 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400005663 4976 - ASTRA S/A INDUSTRIA 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400005667 6982 - ASSOCIACAO DOS MORAD 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400005675 3340 - FRIGOGIL INDUSTRIAL 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400005699 5635 - RECAP CONSTRUTORA E 31/10/2024 LQ 216,57 216,57"
"Pago título: 2400005707 3819 - ASSOCIACAO ADMINISTR 31/10/2024 LQ 215,39 215,39"
"Pago título: 2400005711 3459 - JOFEGE CONCRETO LTDA 31/10/2024 LQ 215,36 215,36"
"Pago título: 2400005723 7775 - SYMRISE AROMAS E FRA 31/10/2024 LQ 214,76 214,76"
"Pago título: 2400005727 2833 - CONDAT LUBRIFICANTES 31/10/2024 LQ 214,4 214,4"
"Pago título: 2400005731 1967 - PLASTICOS SANTANA LT 31/10/2024 LQ 214,09 214,09"
"Pago título: 2400005771 5633 - IBIS AGRARIA LTDA 31/10/2024 LQ 210,79 210,79"
"Pago título: 2400005779 3946 - CAMPEAO 68 POSTO DE 31/10/2024 LQ 210,33 210,33"
"Pago título: 2400005787 1445 - SOCIEDADE DOS AMIGOS 31/10/2024 LQ 209,25 209,25"
"Pago título: 2400005791 7669 - ASSOCIACAO DA INSTIT 31/10/2024 LQ 208,6 208,6"
"Pago título: 2400005795 7837 - CONDOMINIO PORTOFINO 31/10/2024 LQ 208,29 208,29"
"Pago título: 2400005831 4895 - VYLLA EMPREENDIMENTO 31/10/2024 LQ 204,94 204,94"
"Pago título: 2400005847 7092 - VF 11 PALMAS DO PAIO 31/10/2024 LQ 202,19 202,19"
"Pago título: 2400005855 7710 - WLM PART E COMERCIO 31/10/2024 LQ 201,28 201,28"
"Pago título: 2400005863 3856 - BRASPARK ADMINISTRAD 31/10/2024 LQ 201,02 201,02"
"Pago título: 9000008079 4197 - ASSOCIACAO DOS PROPR 31/10/2024 LQ 606,38 606,38"
"Pago título: 9000008097 826 - DEPARTAMENTO AUTONOMO 31/10/2024 LQ 80000 80000"
"Pago título: 9000008103 951 - SERVICO AUTONOMO DE A 31/10/2024 LQ 19704,64 19704,64"
"Pago título: 9000008112 1105 - RECAM RC LTDA 31/10/2024 LQ 2012,77 2012,77"
"Pago título: 9000008132 3696 - AGUAS DE CAMPINAS TR 31/10/2024 LQ 578,31 578,31"
"Pago título: 9000008183 7766 - AGROPECUARIA TUIUTI 31/10/2024 LQ 3712,5 3712,5"
"Pago título: 9000008200 372 - ASSOCIACAO MORAD PROP 31/10/2024 LQ 363,03 363,03"
"Pago título: 9000008204 377 - ANDRITZ FABRICS AND R 31/10/2024 LQ 251,04 251,04"
"Pago título: 9000008211 7883 - ASSOCIACAO NOVA DIST 31/10/2024 LQ 201,23 201,23"
"Pago título: 9000008237 7885 - ASSOC DOS PROPRIETAR 31/10/2024 LQ 505,76 505,76"
"Pago título: 9000008241 1099 - EQUIPESCA EQUIPAMENT 31/10/2024 LQ 297,57 297,57"
"Pago título: 9000008242 4809 - MANETONI DISTRIBUIDO 31/10/2024 LQ 741,29 741,29"
"Pago título: 9000008243 4641 - DYNATECH INDUSTRIAS 31/10/2024 LQ 3645,33 3645,33"
"Pago título: 9000008246 5565 - WHITE MARTINS GASES 31/10/2024 LQ 590,29 590,29"
"Pago título: 9000008254 2943 - VTR VETOR EQUIPAMENT 31/10/2024 LQ 1600,88 1600,88"
"Pago título: 9000008259 7845 - KLABIN S.A. 31/10/2024 LQ 3296,59 3296,59"
"Pago título: 9000008261 4668 - IDEIA NOVA EMPREENDI 31/10/2024 LQ 165,01 165,01"
"Pago título: 9000008263 2812 - CONDOMINIO PRO-INDIV 31/10/2024 LQ 692,24 692,24"
"Pago título: 9000008264 5419 - TECTEXTIL EMBALAGENS 31/10/2024 LQ 1229,6 1229,6"
"Pago título: 9000008266 1124 - JOYSON SAFETY SYSTEM 31/10/2024 LQ 418,71 418,71"
"Pago título: 9000008271 583 - HOTEL BOURBON DE FOZ 31/10/2024 LQ 5943,35 5943,35"
"Pago título: 9000008280 3318 - CONCESSIONARIA  DO S 31/10/2024 LQ 282,01 282,01"
"Pago título: 9000008281 2381 - LEROY MERLIN CIA BRA 31/10/2024 LQ 1176,26 1176,26"
"Pago título: 9000008282 1427 - CONCESSIONARIA  DO S 31/10/2024 LQ 674,81 674,81"
"Pago título: 9000008283 3316 - CONCESSIONARIA  DO S 31/10/2024 LQ 619,96 619,96"
"Pago título: 9000008284 3317 - CONCESSIONARIA  DO S 31/10/2024 LQ 557,57 557,57"
"Pago título: 9000008285 2170 - ISOTERM INDUSTRIA E 31/10/2024 LQ 784,09 784,09"
"Pago título: 9000008296 3646 - MAGAZINE LUIZA S.A. 31/10/2024 LQ 1180,79 1180,79"
"Pago título: 9000008298 5168 - NEWPOP INDUSTRIA QUI 31/10/2024 LQ 530,35 530,35"
"Pago título: 9000008315 914 - IC TRANSPORTES LTDA 31/10/2024 LQ 217,03 217,03"
"Pago título: 9000008317 499 - SPAL INDUSTRIA BRASIL 31/10/2024 LQ 6010,69 6010,69"
"Pago título: 9000008318 6995 - SPAL INDUSTRIA BRASI 31/10/2024 LQ 901,8 901,8"
"Pago título: 9000008321 3961 - INSTITUTO EDUCACIONA 31/10/2024 LQ 7028,45 7028,45"
"Pago título: 9000008322 1003 - ANTIBIOTICOS DO BRAS 31/10/2024 LQ 2390,31 2390,31"
"Pago título: 9000008323 3058 - CORPAK INDUSTRIA E C 31/10/2024 LQ 540,54 540,54"
"Pago título: 9000008328 7865 - ZANARDI EMPREENDIMEN 31/10/2024 LQ 2243,95 2243,95"
"Pago título: 9000008330 7731 - ASSOC DOS MORADORES 31/10/2024 LQ 1359,61 1359,61"
"Pago título: 9000008348 5643 - MARCELO ALVES PEREIR 31/10/2024 LQ 441,11 441,11"
"Pago título: 9000008350 7324 - THEIA EMPREENDIMENTO 31/10/2024 LQ 228,65 228,65"
