"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442073004202112930.ret"
""
"Cadastrado título novo: 9000005985 2249 - ASSOCIACAO CONDOMINI 31/05/2021 RG 590,05 0"
"Cadastrado título novo: 9000005986 5426 - SUPERMERCADOS CAVICC 30/06/2021 RG 205,87 0"
"Pago título: 2118002553 2170 - ISOTERM INDUSTRIA E 30/04/2021 LQ 811,58 811,58"
"Pago título: 2118002569 2173 - CTC CENTRO DE TECNO 30/04/2021 LQ 605,7 605,7"
"Pago título: 2118002570 2173 - CTC CENTRO DE TECNO 31/05/2021 LQ 605,69 605,69"
"Pago título: 2118002571 2173 - CTC CENTRO DE TECNO 30/06/2021 LQ 605,69 605,69"
"Pago título: 2118002572 2173 - CTC CENTRO DE TECNO 30/07/2021 LQ 605,69 605,69"
"Pago título: 2118002573 2173 - CTC CENTRO DE TECNO 31/08/2021 LQ 605,69 605,69"
"Pago título: 2118002574 2173 - CTC CENTRO DE TECNO 30/09/2021 LQ 605,69 605,69"
"Pago título: 2118002575 2173 - CTC CENTRO DE TECNO 29/10/2021 LQ 605,69 605,69"
"Pago título: 2118002577 2175 - INDUSTRIA E COMERCI 30/04/2021 LQ 685,48 685,48"
"Pago título: 2118002585 2176 - EVONIK BRASIL LTDA 30/04/2021 LQ 2600,5 2600,5"
"Pago título: 2118002609 2239 - CERAMICA RAMOS LTDA 30/04/2021 LQ 457,99 457,99"
"Pago título: 2118002633 2284 -  GUA VIDA TRANSPORT 30/04/2021 LQ 585,55 585,55"
"Pago título: 2118002641 2289 - ADVANCE IND STRIA T 30/04/2021 LQ 2623,94 2623,94"
"Pago título: 2118002649 2293 - BRUNO NICOLETTI TEC 30/04/2021 LQ 212,29 212,29"
"Pago título: 2118002657 2304 - LAZARO MELLO BRANDA 30/04/2021 LQ 214,47 214,47"
"Pago título: 2118002697 2337 - CERAMICA CARMELO FI 30/04/2021 LQ 791,73 791,73"
"Pago título: 2118002705 2348 - RAUL FERREIRA LEITE 30/04/2021 LQ 475,72 475,72"
"Pago título: 2118002721 2361 - TECELAGEM JOLITEX L 30/04/2021 LQ 496,73 496,73"
"Pago título: 2118002761 2457 - HYUNDAI MOTOR BRASI 30/04/2021 LQ 920,25 920,25"
"Pago título: 2118002777 2464 - SPARTAN DO BRASIL P 30/04/2021 LQ 629,23 629,23"
"Pago título: 2118002785 2474 - DE MARCHI INDUSTRIA 30/04/2021 LQ 501,51 501,51"
"Pago título: 2118002793 2478 - ASSOC DOS PROPRIET 30/04/2021 LQ 320,42 320,42"
"Pago título: 2118002825 2559 - CONDOMINIO RESIDENC 30/04/2021 LQ 265,32 265,32"
"Pago título: 2118002833 2575 - LUBRASIL LUBRIFICAN 30/04/2021 LQ 224,26 224,26"
"Pago título: 2118002849 2590 - DIERBERGER  LEOS ES 30/04/2021 LQ 480,33 480,33"
"Pago título: 2118002913 2740 - EUCATEX IND STRIA E 30/04/2021 LQ 1027,78 1027,78"
"Pago título: 2118002921 2743 - SORVETES JUNDI  IND 30/04/2021 LQ 1027,98 1027,98"
"Pago título: 2118002929 2745 - CONDOM NIO DO SHOPP 30/04/2021 LQ 429,65 429,65"
"Pago título: 2118002937 2747 - SINTO BRASIL PRODUT 30/04/2021 LQ 761,63 761,63"
"Pago título: 2118002953 2750 - SERVICO AUTONOMO DE 30/04/2021 LQ 1165,24 1165,24"
"Pago título: 2118002969 2752 - PREFEITURA DO MUNIC 30/04/2021 LQ 713,13 713,13"
"Pago título: 2118002977 2757 - CARAVITA EMPRESA DE 30/04/2021 LQ 847,19 847,19"
"Pago título: 2118002985 2773 - SOCIEDADE DE ARMAZE 30/04/2021 LQ 352,64 352,64"
"Pago título: 2118002993 2776 - KARINA PISOS E REVE 30/04/2021 LQ 263,49 263,49"
"Pago título: 2118003017 2814 - REAL INDUSTRIA E CO 30/04/2021 LQ 254,5 254,5"
"Pago título: 2118003025 2845 - SIND DO EMPREGADOS 30/04/2021 LQ 264,03 264,03"
"Pago título: 2118003033 2846 - AGUAS DAS TERRAS SO 30/04/2021 LQ 512,35 512,35"
"Pago título: 2118003041 2861 - KORIN AGROPECU RIA 30/04/2021 LQ 2011,04 2011,04"
"Pago título: 2118003049 2889 - I & M PAP IS E EMBA 30/04/2021 LQ 463,42 463,42"
"Pago título: 2118003065 2901 - A D RICARDO  GUA - 30/04/2021 LQ 427,68 427,68"
"Pago título: 2118003097 2952 - EXTRA  O E COM RCIO 30/04/2021 LQ 890,89 890,89"
"Pago título: 2118003105 2956 - CENTER GIRO TRANSPO 30/04/2021 LQ 215,44 215,44"
"Pago título: 2118003121 2965 - JAGUARI COMERCIAL E 30/04/2021 LQ 938,77 938,77"
"Pago título: 2118003137 2981 - VIVA PISOS E REVEST 30/04/2021 LQ 384,28 384,28"
"Pago título: 2118003145 2988 - K & G IND STRIA E C 30/04/2021 LQ 201,5 201,5"
"Pago título: 2118003201 3091 - KARCHER IND STRIA E 30/04/2021 LQ 226,53 226,53"
"Pago título: 2118003202 3091 - KARCHER IND STRIA E 31/05/2021 LQ 226,52 226,52"
"Pago título: 2118003203 3091 - KARCHER IND STRIA E 30/06/2021 LQ 226,52 226,52"
"Pago título: 2118003204 3091 - KARCHER IND STRIA E 30/07/2021 LQ 226,52 226,52"
"Pago título: 2118003205 3091 - KARCHER IND STRIA E 31/08/2021 LQ 226,52 226,52"
"Pago título: 2118003206 3091 - KARCHER IND STRIA E 30/09/2021 LQ 226,52 226,52"
"Pago título: 2118003207 3091 - KARCHER IND STRIA E 29/10/2021 LQ 226,52 226,52"
"Pago título: 2118003208 3091 - KARCHER IND STRIA E 30/11/2021 LQ 226,52 226,52"
"Pago título: 2118003217 3097 - CISOL DO BRASIL EXP 30/04/2021 LQ 201,65 201,65"
"Pago título: 2118003225 3107 - RUY R. DA ROCHA PRO 30/04/2021 LQ 219,54 219,54"
"Pago título: 2118003233 3111 - BRASWELL PAPEL E CE 30/04/2021 LQ 989,86 989,86"
"Pago título: 2118003289 3163 - RESIDENCIAL FAZENDA 30/04/2021 LQ 355,24 355,24"
"Pago título: 2118003305 3196 - CEDASA IND STRIA E 30/04/2021 LQ 713,62 713,62"
"Pago título: 2118003329 3253 - COPASIL QUIMICA IND 30/04/2021 LQ 387,73 387,73"
"Pago título: 2118003353 3310 - ELDER COSTA RODRIGU 30/04/2021 LQ 866,18 866,18"
"Pago título: 2118003361 3328 - EXPRESSO CAMPIBUS L 30/04/2021 LQ 452,42 452,42"
"Pago título: 2118003377 3336 - CONDOM NIO RESIDENC 30/04/2021 LQ 438,47 438,47"
"Pago título: 2118003401 3365 - MALIBER INDUSTRIA E 30/04/2021 LQ 505,3 505,3"
"Pago título: 2118003409 3366 - TECHIMPORT TECNOLOG 30/04/2021 LQ 337,12 337,12"
"Pago título: 2118003425 3377 - COMERCIO DE  GUAS E 30/04/2021 LQ 274,45 274,45"
"Pago título: 2118003465 3384 - FRIGODELISS LTDA 30/04/2021 LQ 3168,09 3168,09"
"Pago título: 2118003473 3389 - CONDOM NIO RESIDENC 30/04/2021 LQ 618,13 618,13"
"Pago título: 2118003489 3413 - TUIUTI ECO PARK EMP 30/04/2021 LQ 294,94 294,94"
"Pago título: 2118003497 3423 - A. A. DE MELO & CIA 30/04/2021 LQ 224,07 224,07"
"Pago título: 2118003529 3449 - CER MICA CARMELO FI 30/04/2021 LQ 829,19 829,19"
"Pago título: 2118003537 3453 - CER MICA SAVANE LTD 30/04/2021 LQ 453,74 453,74"
"Pago título: 2118003553 3471 - ALTO DA COLINA VERD 30/04/2021 LQ 252,86 252,86"
"Pago título: 2118003561 3480 - MEDI HOUSE IND E CO 30/04/2021 LQ 343,27 343,27"
"Pago título: 2118003585 3514 - CER MICA GRESCA G3 30/04/2021 LQ 263,49 263,49"
"Pago título: 2118003593 3535 - JOFEGE FIA  O E TEC 30/04/2021 LQ 1142,2 1142,2"
"Pago título: 2118003609 3590 -  GUA DO CAMPO TRANS 30/04/2021 LQ 411,44 411,44"
"Pago título: 2118003633 3622 - CONDOM NIO CAPELA D 30/04/2021 LQ 733,35 733,35"
"Pago título: 2118003657 3644 - IBG CRYO IND STRIA 30/04/2021 LQ 304,91 304,91"
"Pago título: 2118003665 3660 - SO AGUA COMERCIAL E 30/04/2021 LQ 351,32 351,32"
"Pago título: 2118003681 3666 - RAUL FERREIRA LEITE 30/04/2021 LQ 420,85 420,85"
"Pago título: 2118003689 3673 - PLATLOG IMPORTA  O, 30/04/2021 LQ 2143,99 2143,99"
"Pago título: 2118003697 3679 - CMR IND STRIA E COM 30/04/2021 LQ 392,95 392,95"
"Pago título: 2118003705 3683 - NOVAPORCELANATO IND 30/04/2021 LQ 988,07 988,07"
"Pago título: 2118003793 3851 - USINA GRANELLI LTDA 30/04/2021 LQ 1587,98 1587,98"
"Pago título: 2118003801 3857 - CRS MINERA  O IND S 30/04/2021 LQ 997,14 997,14"
"Pago título: 2118003817 3899 - ASSOCIA  O RESIDENC 30/04/2021 LQ 761,7 761,7"
"Pago título: 2118003825 3908 - TANSAN IND STRIA QU 30/04/2021 LQ 856,78 856,78"
"Pago título: 2118003889 3992 - HOTEL FAZENDA HARAS 30/04/2021 LQ 428,18 428,18"
"Pago título: 2118003905 4059 - ATI GEL FRUTAS CONG 30/04/2021 LQ 205,55 205,55"
"Pago título: 2118003913 4116 - TARTALIA EMPREENDIM 30/04/2021 LQ 475,71 475,71"
"Pago título: 2118003937 4131 - ASSOCIACAO DE AMIGO 30/04/2021 LQ 241,34 241,34"
"Pago título: 2118003945 4197 - ASSOCIA  O DOS PROP 30/04/2021 LQ 365,94 365,94"
"Pago título: 2118003969 4288 - PTM AGRICOLA E PART 30/04/2021 LQ 471,79 471,79"
"Pago título: 2118003985 4315 - AGE DO BRASIL INDUS 30/04/2021 LQ 219,54 219,54"
"Pago título: 2118004001 4330 - CPD LOCADORA DE VEI 30/04/2021 LQ 1097,84 1097,84"
"Pago título: 2118004025 4361 - RAUL FERREIRA LEITE 30/04/2021 LQ 402,58 402,58"
"Pago título: 2118004041 4385 - MATEUS CAVALCANTI I 30/04/2021 LQ 237,84 237,84"
"Pago título: 2118004057 4481 - CLARIPEL INDUSTRIA 30/04/2021 LQ 1308,94 1308,94"
"Pago título: 2118004097 4600 - ALMEIDA PISOS E REV 30/04/2021 LQ 274,46 274,46"
"Pago título: 2118004105 4631 - AGROPECU RIA CAPUAV 30/04/2021 LQ 365,95 365,95"
"Pago título: 2118004113 4641 - DYNATECH IND STRIAS 30/04/2021 LQ 394,45 394,45"
"Pago título: 2118004129 4654 - ASSOC DOS PROP DE L 30/04/2021 LQ 365,95 365,95"
"Pago título: 2118004137 4697 - MARFRIG GLOBAL FOOD 30/04/2021 LQ 326,64 326,64"
"Pago título: 2118004161 4779 - FUNDACAO CENTRO DE 30/04/2021 LQ 375,83 375,83"
"Pago título: 2118004177 4784 - ASSOCIA  O DOS PROP 30/04/2021 LQ 394,32 394,32"
"Pago título: 2118004193 4827 - BOM PEIXE INDUSTRIA 30/04/2021 LQ 234,24 234,24"
"Pago título: 2118004201 4830 - CONDOMINIO RESIDENC 30/04/2021 LQ 256,18 256,18"
"Pago título: 2118004217 4869 - ASSOCIA  O DOS MORA 30/04/2021 LQ 296,39 296,39"
"Pago título: 2118004233 4891 - LOTEAMENTO IMPERIAL 30/04/2021 LQ 731,89 731,89"
"Pago título: 2118004361 5161 - MISTER GELO IND. DE 30/04/2021 LQ 454,11 454,11"
"Pago título: 2118004369 5168 - NEMPOP IND STRIA QU 30/04/2021 LQ 496,77 496,77"
"Pago título: 2118004385 5261 - CIA DE SANEAMENTO B 30/04/2021 LQ 11345,17 11345,17"
"Pago título: 2118004401 5306 - ASSOCIACAO DE AMIGO 30/04/2021 LQ 274,46 274,46"
"Pago título: 2118004409 5323 - ERCA IND STRIA E CO 30/04/2021 LQ 463,56 463,56"
"Pago título: 2118004425 5355 - CIA DE SANEAMENTO B 30/04/2021 LQ 182812,92 182812,92"
"Pago título: 2118004449 5404 - ASSOC DE CONGRESSOS 30/04/2021 LQ 539,49 539,49"
"Pago título: 2118004457 5409 - TATIANA CRISTINA DE 30/04/2021 LQ 212,06 212,06"
"Pago título: 2118004473 5416 - ZARAPLAST S.A 30/04/2021 LQ 561,78 561,78"
"Pago título: 2118004537 5487 - ASSOC DOS PROPR DE 30/04/2021 LQ 329,38 329,38"
"Pago título: 2118004559 5514 -  GUAS DO MIRANTE 29/10/2021 LQ 294,6 294,6"
"Pago título: 2118004577 5539 - SPEEDY INCORPORA  E 30/04/2021 LQ 315,88 315,88"
"Pago título: 2118004585 5545 - COOPERATIVA VEILING 30/04/2021 LQ 319,5 319,5"
"Pago título: 2118004593 5553 - ASSOCIA  O MASTER D 30/04/2021 LQ 1212,3 1212,3"
"Pago título: 2118004609 5560 - WT NEG CIOS IMOBILI 30/04/2021 LQ 481,6 481,6"
"Pago título: 2118004633 5599 - COOPERATIVA PECU RI 30/04/2021 LQ 3716,02 3716,02"
"Pago título: 2118004657 5628 - SAFRA INDUSTRIA E C 30/04/2021 LQ 1600,47 1600,47"
"Pago título: 2118004681 5652 - CONDOM NIO D. PEDRO 30/04/2021 LQ 527,3 527,3"
"Pago título: 2118004745 5803 - ASSOCIA  O DOS AMIG 30/04/2021 LQ 488,78 488,78"
"Pago título: 2118004793 5907 - TSI - EMPREENDIMENT 30/04/2021 LQ 248,85 248,85"
"Pago título: 2118004841 6490 - USINA IRB S.A. 30/04/2021 LQ 10793,41 10793,41"
"Pago título: 2118004897 6889 - EXTRAMIX CONCRETO L 30/04/2021 LQ 376,46 376,46"
"Pago título: 2118004929 6923 - PAULO CASTEJON GUER 30/04/2021 LQ 2788,6 2788,6"
"Pago título: 2118004937 6935 - ALTO DO SION EMPREE 30/04/2021 LQ 485,48 485,48"
"Pago título: 2118004953 6966 - TONINPAR EMPREENDIM 30/04/2021 LQ 564,2 564,2"
"Pago título: 2118005001 7051 - IRM OS SEGEREN AGRO 30/04/2021 LQ 307,78 307,78"
"Pago título: 2118005009 7129 - POUSADA CHALES DO T 30/04/2021 LQ 588,28 588,28"
"Pago título: 2118005073 7294 - ASSOCIA  O DE PROPR 30/04/2021 LQ 249,82 249,82"
"Pago título: 2118005081 7298 - J. ANDRADE EMPREEND 30/04/2021 LQ 470,59 470,59"
"Pago título: 2118005241 7669 - ASSOCIA  O DA INSTI 30/04/2021 LQ 208,58 208,58"
"Pago título: 9000005807 5346 - CINTRATOR - COM DE P 30/04/2021 LQ 470,98 470,98"
"Pago título: 9000005863 3984 - BELEM TRANSPORTES E 30/04/2021 LQ 359,9 359,9"
"Pago título: 9000005924 2391 - DURATEX S/A 30/04/2021 LQ 3665,63 3665,63"
"Cadastrado título pago: 9000005946 942 - RAIZEN ENERGIA S/A 30/04/2021 LQ 45159,46 45159,46"
"Cadastrado título pago: 9000005976 3592 - CONDOMINIO LAGOS SHA 30/04/2021 LQ 1627,58 1627,58"
"Cancelado título: 2111000604 3440 - POSTO DE SERVI OS P 30/06/2021 BX 116,71 0"
"Cancelado título: 2112000265 3224 - VALENTIN MONTEZELLI 30/04/2021 BX 280,87 0"
"Cancelado título: 2112000266 3224 - VALENTIN MONTEZELLI 31/05/2021 BX 280,88 0"
"Cancelado título: 2114000385 5493 - COMPANHIA SANEAMENT 30/04/2021 BX 230,98 0"
"Cancelado título: 2114000386 5493 - COMPANHIA SANEAMENT 31/05/2021 BX 230,98 0"
"Cancelado título: 2114000387 5493 - COMPANHIA SANEAMENT 30/06/2021 BX 230,98 0"
"Cancelado título: 2114000388 5493 - COMPANHIA SANEAMENT 30/07/2021 BX 230,98 0"
"Cancelado título: 2114000417 6277 - PATRICIA PIRES DE A 30/04/2021 BX 210,78 0"
"Cancelado título: 2114000418 6277 - PATRICIA PIRES DE A 31/05/2021 BX 210,8 0"
"Cancelado título: 2114000419 6277 - PATRICIA PIRES DE A 30/06/2021 BX 210,8 0"
"Cancelado título: 2114000420 6277 - PATRICIA PIRES DE A 30/07/2021 BX 210,8 0"
"Cancelado título: 2116000481 7318 - ANDERSON LOMBARDI E 30/04/2021 BX 231,39 0"
"Cancelado título: 2116000482 7318 - ANDERSON LOMBARDI E 31/05/2021 BX 231,41 0"
"Cancelado título: 2116000483 7318 - ANDERSON LOMBARDI E 30/06/2021 BX 231,41 0"
"Cancelado título: 2116000484 7318 - ANDERSON LOMBARDI E 30/07/2021 BX 231,41 0"
"Cancelado título: 2117000036 674 - JOSE GREGORIO PESTAN 30/04/2021 BX 205,09 0"
"Cancelado título: 2117000037 674 - JOSE GREGORIO PESTAN 31/05/2021 BX 205,07 0"
"Cancelado título: 2117000038 674 - JOSE GREGORIO PESTAN 30/06/2021 BX 205,07 0"
"Cancelado título: 2117000039 674 - JOSE GREGORIO PESTAN 30/07/2021 BX 205,07 0"
"Cancelado título: 2117000040 674 - JOSE GREGORIO PESTAN 31/08/2021 BX 205,07 0"
"Cancelado título: 2117000041 674 - JOSE GREGORIO PESTAN 30/09/2021 BX 205,07 0"
"Cancelado título: 2117000042 674 - JOSE GREGORIO PESTAN 29/10/2021 BX 205,07 0"
"Cancelado título: 2118002242 1692 - F+T DO BRASIL NUTRI 31/05/2021 BX 1160,56 0"
"Cancelado título: 2118002243 1692 - F+T DO BRASIL NUTRI 30/06/2021 BX 1160,56 0"
"Cancelado título: 2118002244 1692 - F+T DO BRASIL NUTRI 30/07/2021 BX 1160,56 0"
"Cancelado título: 2118002245 1692 - F+T DO BRASIL NUTRI 31/08/2021 BX 1160,56 0"
"Cancelado título: 2118002246 1692 - F+T DO BRASIL NUTRI 30/09/2021 BX 1160,56 0"
"Cancelado título: 2118002247 1692 - F+T DO BRASIL NUTRI 29/10/2021 BX 1160,56 0"
"Cancelado título: 2118002248 1692 - F+T DO BRASIL NUTRI 30/11/2021 BX 1160,56 0"
"Cancelado título: 2118002713 2359 - AGROPECUARIA TUIUTI 30/04/2021 BX 5346,55 0"
"Cancelado título: 2118002714 2359 - AGROPECUARIA TUIUTI 31/05/2021 BX 5346,52 0"
"Cancelado título: 2118002715 2359 - AGROPECUARIA TUIUTI 30/06/2021 BX 5346,52 0"
"Cancelado título: 2118002716 2359 - AGROPECUARIA TUIUTI 30/07/2021 BX 5346,52 0"
"Cancelado título: 2118002717 2359 - AGROPECUARIA TUIUTI 31/08/2021 BX 5346,52 0"
"Cancelado título: 2118002718 2359 - AGROPECUARIA TUIUTI 30/09/2021 BX 5346,52 0"
"Cancelado título: 2118002719 2359 - AGROPECUARIA TUIUTI 29/10/2021 BX 5346,52 0"
"Cancelado título: 2118002720 2359 - AGROPECUARIA TUIUTI 30/11/2021 BX 5346,52 0"
