"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442913006202114245.ret"
""
"Cadastrado título novo: 9000006225 4046 - PAULO CESAR RODRIGUE 30/07/2021 RG 1031,89 0"
"Cadastrado título novo: 9000006226 6793 - SUPERMERCADOS DALBEN 30/07/2021 RG 451,11 0"
"Cadastrado título novo: 9000006227 1028 - CONDOMINIO EDIFICIO 30/07/2021 RG 457,55 0"
"Cadastrado título novo: 9000006228 3991 - HIGIBRAG TRANSPORTE 30/07/2021 RG 731,14 0"
"Cadastrado título novo: 9000006229 2688 - ARYZTA DO BRASIL ALI 30/07/2021 RG 334,93 0"
"Cadastrado título novo: 9000006230 3701 - ASSOCIACAO DE SOCIOS 30/07/2021 RG 1256,58 0"
"Cadastrado título novo: 9000006231 1935 - MINERGUITA MINERACAO 30/07/2021 RG 495,9 0"
"Cadastrado título novo: 9000006232 3229 - PLASTCOR DO BRASIL L 30/07/2021 RG 319,67 0"
"Pago título: 2113000225 2666 - FUCHS GEWURZE DO BR 30/06/2021 LQ 210,41 210,41"
"Pago título: 2113000228 2685 - INDUSTRIA MECANICA 30/06/2021 LQ 217,49 217,49"
"Pago título: 2113000231 2696 - ASSOCIA  O BOTHANIC 30/06/2021 LQ 219,58 219,58"
"Pago título: 2113000234 2770 - VINGI INDUSTRIA TEX 30/06/2021 LQ 219,23 219,23"
"Pago título: 2113000243 2875 - ASSOCIA  O DE MORAD 30/06/2021 LQ 219,58 219,58"
"Pago título: 2113000261 3171 - ANDORINHA COM RCIO 30/06/2021 LQ 210,15 210,15"
"Pago título: 2113000264 3177 - CONCREVIP CONCRETAR 30/06/2021 LQ 239,99 239,99"
"Pago título: 2113000270 3211 - DENILSON BISPO 30/06/2021 LQ 234,21 234,21"
"Pago título: 2113000279 3320 - SAVEGNAGO SUPERMERC 30/06/2021 LQ 209,21 209,21"
"Pago título: 2113000285 3342 - XERIUM TECHNOLOGIES 30/06/2021 LQ 208,26 208,26"
"Pago título: 2113000297 3459 - JOFEGE CONCRETO LTD 30/06/2021 LQ 265,21 265,21"
"Pago título: 2113000306 3511 - CONDOM NIO RESIDENC 30/06/2021 LQ 238,66 238,66"
"Pago título: 2113000312 3527 - CARFAM EMPREENDIMEN 30/06/2021 LQ 238,54 238,54"
"Pago título: 2113000315 3545 - TEXTIL CARUARU LTDA 30/06/2021 LQ 227,38 227,38"
"Pago título: 2113000318 3558 - ASSOCIA  O ATL TICA 30/06/2021 LQ 258,79 258,79"
"Pago título: 2113000321 3561 - CONDOM NIO RESIDENC 30/06/2021 LQ 243,97 243,97"
"Pago título: 2113000327 3583 - ALISUL ALIMENTOS S/ 30/06/2021 LQ 240,63 240,63"
"Pago título: 2113000351 3812 - CONDOM NIO SIDE 30/06/2021 LQ 206,4 206,4"
"Pago título: 2113000354 3815 - CONDOM NIO AMABILIS 30/06/2021 LQ 231,57 231,57"
"Pago título: 2113000357 3882 - SOCIEDADE MELHORAME 30/06/2021 LQ 229,15 229,15"
"Pago título: 2113000369 3969 - CONDOM NIO DAS MARG 30/06/2021 LQ 257,9 257,9"
"Pago título: 2113000375 4034 - LUCI AREIA LTDA. ME 30/06/2021 LQ 226,6 226,6"
"Pago título: 2113000378 4056 - ASSOCIA  O DOS PROP 30/06/2021 LQ 204,93 204,93"
"Pago título: 2113000387 4137 - ALBERT SABIN HOSPIT 30/06/2021 LQ 264,23 264,23"
"Pago título: 2113000393 4223 - CONCREBASE SERVI OS 30/06/2021 LQ 218,97 218,97"
"Pago título: 2113000405 4474 - JOS  RICARDO PENTEA 30/06/2021 LQ 207,58 207,58"
"Pago título: 2113000411 4523 - ASSOCIA  O DOS PROP 30/06/2021 LQ 223,97 223,97"
"Pago título: 2113000414 4582 - CAMPE O 80 POSTOS D 30/06/2021 LQ 243,97 243,97"
"Pago título: 2113000420 4694 - WALDIR PARISE E OUT 30/06/2021 LQ 230,75 230,75"
"Pago título: 2113000426 4777 - ASSOCIA  O DOS FUNC 30/06/2021 LQ 225,43 225,43"
"Pago título: 2113000432 4817 - MAT S.A. 30/06/2021 LQ 219,58 219,58"
"Pago título: 2113000435 4826 - ATACADAO S.A. 30/06/2021 LQ 243,97 243,97"
"Pago título: 2113000441 4875 - HIDROALL DO BRASIL 30/06/2021 LQ 220,58 220,58"
"Pago título: 2113000453 5048 - CR2 EMPREENDIMENTOS 30/06/2021 LQ 264,95 264,95"
"Pago título: 2113000456 5183 - PARQUE TUR STICO SE 30/06/2021 LQ 243,97 243,97"
"Pago título: 2113000459 5219 - TECELAGEM PANAMERIC 30/06/2021 LQ 235,62 235,62"
"Pago título: 2113000465 5364 - MOACIR TORETI 30/06/2021 LQ 251,68 251,68"
"Pago título: 2113000471 5390 - LOLLY BABY PRODUTOS 30/06/2021 LQ 264,95 264,95"
"Pago título: 2113000474 5419 - TECTEXTIL EMBALAGEN 30/06/2021 LQ 210,35 210,35"
"Pago título: 2113000477 5422 - SMART SOLU  ES IMOB 30/06/2021 LQ 204,66 204,66"
"Pago título: 2113000480 5428 - TECTEXTIL EMBALAGEN 30/06/2021 LQ 210,35 210,35"
"Pago título: 2113000486 5439 - ASSOCIA  O DOS MORA 30/06/2021 LQ 220,79 220,79"
"Pago título: 2113000492 5537 - SILAS J. TRINDADE 30/06/2021 LQ 243,97 243,97"
"Pago título: 2113000498 5564 - ASSOC DOS PROPRIT R 30/06/2021 LQ 255,03 255,03"
"Pago título: 2113000504 5587 - KANIA INDUSTRIA E C 30/06/2021 LQ 264,95 264,95"
"Pago título: 2113000522 5782 - PAULO HENRIQUE BION 30/06/2021 LQ 219,07 219,07"
"Pago título: 2113000540 6961 - ASSOCIA  O DE MORAD 30/06/2021 LQ 230,47 230,47"
"Pago título: 2113000558 7323 - WWCE INVESTIMENTOS 30/06/2021 LQ 226,62 226,62"
"Pago título: 2113000564 7382 - EMBALIXO INDUSTRIA 30/06/2021 LQ 222,66 222,66"
"Pago título: 2113000567 7422 - DANIEL CARDOSO MEND 30/06/2021 LQ 210,09 210,09"
"Pago título: 2113000570 7611 - ANGELO ANTONIO BUCI 30/06/2021 LQ 238,62 238,62"
"Pago título: 2114000007 222 - NOTRE DAME INTERMEDI 30/06/2021 LQ 208,09 208,09"
"Pago título: 2114000015 260 - SERVI O DE SA DE DR. 30/06/2021 LQ 223,97 223,97"
"Pago título: 2114000031 450 - CONDOMINIO CHACARAS 30/06/2021 LQ 229,09 229,09"
"Pago título: 2114000035 522 - CONDOMINIO RESIDENCI 30/06/2021 LQ 241,13 241,13"
"Pago título: 2114000043 579 - CPQ BRASIL S/A 30/06/2021 LQ 215,1 215,1"
"Pago título: 2114000055 837 - CLICK AUTOMOTIVA IND 30/06/2021 LQ 213,45 213,45"
"Pago título: 2114000059 949 - DANA IND STRIAS LTDA 30/06/2021 LQ 203,46 203,46"
"Pago título: 2114000063 969 - PRALANA INDUSTRIA E 30/06/2021 LQ 227,07 227,07"
"Pago título: 2114000071 975 - BANN QUIMICA LTDA 30/06/2021 LQ 206,76 206,76"
"Pago título: 2114000075 996 - AGROCERES MULTIMIX N 30/06/2021 LQ 229,75 229,75"
"Pago título: 2114000079 997 - CEDASA INDUSTRIA E C 30/06/2021 LQ 230,56 230,56"
"Pago título: 2114000095 1204 - PLASCAR INDUSTRIA D 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000107 1258 - STEFAN ANTONIO SLEU 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000143 1905 - ITUPEVA HOTEIS, CON 30/06/2021 LQ 202,35 202,35"
"Pago título: 2114000147 1945 - G-KT DO BRASIL LTDA 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000151 1967 - PLASTICOS SANTANA L 30/06/2021 LQ 232,38 232,38"
"Pago título: 2114000155 2051 - BISCOITONE IND STRI 30/06/2021 LQ 244,19 244,19"
"Pago título: 2114000175 2594 - A A DE MELO & CIA L 30/06/2021 LQ 226,23 226,23"
"Pago título: 2114000187 2798 - MINERADORA  GUA BRA 30/06/2021 LQ 234,21 234,21"
"Pago título: 2114000195 2833 - CONDAT LUBRIFICANTE 30/06/2021 LQ 214,4 214,4"
"Pago título: 2114000203 2871 - CER MICA PALMA DE O 30/06/2021 LQ 210,79 210,79"
"Pago título: 2114000207 2926 - R M DE BARROS T XTI 30/06/2021 LQ 226,69 226,69"
"Pago título: 2114000211 2959 - ALIMENTOS DALLAS IN 30/06/2021 LQ 207,22 207,22"
"Pago título: 2114000219 3030 - T XTIL GL LTDA 30/06/2021 LQ 204,6 204,6"
"Pago título: 2114000223 3065 - ELETROMEI IND STRIA 30/06/2021 LQ 224,75 224,75"
"Pago título: 2114000227 3162 - CONGE FRUTAS LTDA E 30/06/2021 LQ 234,65 234,65"
"Pago título: 2114000231 3244 - PLANMAR IND STRIA E 30/06/2021 LQ 202,14 202,14"
"Pago título: 2114000235 3298 - ASSOC DO CONJUNTO R 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000247 3340 - FRIGOGIL INDUSTRIAL 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000251 3391 - PREFEITURA MUNICIPA 30/06/2021 LQ 225,6 225,6"
"Pago título: 2114000263 3541 - ASSOCIA  O DE AMIGO 30/06/2021 LQ 202,57 202,57"
"Pago título: 2114000279 3726 - SATOSHI ITO E OUTRO 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000287 3771 - IND STRIA E COM RCI 30/06/2021 LQ 233,04 233,04"
"Pago título: 2114000291 3819 - ASSOCIA  O ADMINIST 30/06/2021 LQ 215,39 215,39"
"Pago título: 2114000295 3856 - BRASPARK ADMINISTRA 30/06/2021 LQ 201,02 201,02"
"Pago título: 2114000299 3862 - ROSANA CASERTA CARN 30/06/2021 LQ 213,59 213,59"
"Pago título: 2114000303 3927 - FLAMBOI  ALIMENTOS 30/06/2021 LQ 230,55 230,55"
"Pago título: 2114000307 3946 - CAMPE O 68 POSTO DE 30/06/2021 LQ 210,33 210,33"
"Pago título: 2114000311 4093 - UNIVERSAL IND STRIA 30/06/2021 LQ 232,92 232,92"
"Pago título: 2114000319 4148 - CHRISTEYNS BRASIL P 30/06/2021 LQ 236,04 236,04"
"Pago título: 2114000335 4509 - EXTRACAO E COMERCIO 30/06/2021 LQ 210,79 210,79"
"Pago título: 2114000343 4596 - POLIMIX CONCRETO LT 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000347 4650 - ABATEDOURO DE AVES 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000351 4668 - IDEIA NOVA EMPREEND 30/06/2021 LQ 205,16 205,16"
"Pago título: 2114000371 4835 - TRANSPORTES GABARDO 30/06/2021 LQ 210,79 210,79"
"Pago título: 2114000375 4976 - ASTRA S/A IND STRIA 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000383 5468 - LUCIANO TORELLI E C 30/06/2021 LQ 211,76 211,76"
"Pago título: 2114000391 5510 - LEONARDO SEGEREN 30/06/2021 LQ 219,57 219,57"
"Pago título: 2114000399 5616 - TRADECORP DO BRASIL 30/06/2021 LQ 248,67 248,67"
"Pago título: 2114000403 5621 - CENTERANEL 1 PARTIC 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000407 5635 - RECAP CONSTRUTORA E 30/06/2021 LQ 216,57 216,57"
"Pago título: 2114000415 5947 - SERVI O SOCIAL DO C 30/06/2021 LQ 201,64 201,64"
"Pago título: 2114000431 6793 - SUPERMERCADOS DALBE 30/06/2021 LQ 215,69 215,69"
"Pago título: 2114000435 6875 - FUNDA  O CENTRO DE 30/06/2021 LQ 210,73 210,73"
"Pago título: 2114000439 6912 - CPE PL STICOS LTDA 30/06/2021 LQ 243,31 243,31"
"Pago título: 2114000443 6994 - ESPORTE CLUBE PRIMA 30/06/2021 LQ 234,47 234,47"
"Pago título: 2114000447 7257 - LEONEL FRANZOI 30/06/2021 LQ 231,11 231,11"
"Pago título: 2114000451 7309 - PROJESAN SANEMENTO 30/06/2021 LQ 241,13 241,13"
"Pago título: 2114000459 7327 - SUPERMERCADOS DALBE 30/06/2021 LQ 205,02 205,02"
"Pago título: 2114000463 7344 - ASSOCIA  O DISTRIBU 30/06/2021 LQ 215,43 215,43"
"Pago título: 2114000471 7370 - GRECO & GUERREIRO L 30/06/2021 LQ 208,63 208,63"
"Pago título: 2115000003 86 - PROMOCAO DO ENSINO DE 30/06/2021 LQ 234,21 234,21"
"Pago título: 2115000019 302 - TEXTIL IRINEU MENEGH 30/07/2021 LQ 234,3 234,3"
"Pago título: 2115000023 617 - JOAO BOZZA JUNIOR 30/06/2021 LQ 204,94 204,94"
"Pago título: 2115000043 894 - DAUNE TRAVESSEIROS D 30/06/2021 LQ 221,45 221,45"
"Pago título: 2115000048 953 - MAHLE COMPRESSORES D 30/06/2021 LQ 206,82 206,82"
"Pago título: 2115000058 1340 - IND STRIA DE BEBIDA 30/06/2021 LQ 215,79 215,79"
"Pago título: 2115000063 1367 - ASSOCIA  O DE MELHO 30/06/2021 LQ 229,04 229,04"
"Pago título: 2115000068 1383 - MAQUINAS FURLAN LTD 30/06/2021 LQ 222,5 222,5"
"Pago título: 2115000073 1572 - ETAPA EDUCACIONAL L 30/06/2021 LQ 204,82 204,82"
"Pago título: 2115000078 1774 - MINERACAO SAARA EXT 30/06/2021 LQ 237,45 237,45"
"Pago título: 2115000083 2137 - PREFEITURA MUNICIPA 30/06/2021 LQ 209,96 209,96"
"Pago título: 2115000088 2367 - IND STRIA DE FRIOS 30/06/2021 LQ 202,64 202,64"
"Pago título: 2115000098 2719 - E-TECNO EMPREENDIME 30/06/2021 LQ 227,17 227,17"
"Pago título: 2115000103 2800 - CHENDEL PARTICIPACO 30/06/2021 LQ 232,75 232,75"
"Pago título: 2115000128 3292 - JARDIM S O GERALDO 30/06/2021 LQ 216,06 216,06"
"Pago título: 2115000133 3312 - KESTRA UNIVERSAL SO 30/06/2021 LQ 208,37 208,37"
"Pago título: 2115000138 3399 - EDENA MARIA PECHIO 30/06/2021 LQ 216,61 216,61"
"Pago título: 2115000148 3615 - IMOBILI RIA HELV TI 30/06/2021 LQ 234,21 234,21"
"Pago título: 2115000158 3656 - FAZENDA TOZAN DO BR 30/06/2021 LQ 204,93 204,93"
"Pago título: 2115000168 3719 - CPD LOCADORA DE VEI 30/06/2021 LQ 221,33 221,33"
"Pago título: 2115000173 3729 - NP EMPREENDIMENTOS 30/06/2021 LQ 210,79 210,79"
"Pago título: 2115000183 3803 - ASSOCIA  O ALPHAVIL 30/06/2021 LQ 235,21 235,21"
"Pago título: 2115000188 3822 - PEDREIRA REMANSO LT 30/06/2021 LQ 200,25 200,25"
"Pago título: 2115000198 3860 - VECCON EMPREENDIMEN 30/06/2021 LQ 221,52 221,52"
"Pago título: 2115000203 3945 - BRASA BURGER IND E 30/06/2021 LQ 205,86 205,86"
"Pago título: 2115000218 4053 - ASSOCIA  O DOS PROP 30/06/2021 LQ 237,14 237,14"
"Pago título: 2115000223 4136 - STORAGE ADMINISTRA 30/06/2021 LQ 210,79 210,79"
"Pago título: 2115000228 4327 - CEETEPS-CENTRO ESTA 30/06/2021 LQ 216,65 216,65"
"Pago título: 2115000263 5250 - PEDREIRA MOGIANA LT 30/06/2021 LQ 219,57 219,57"
"Pago título: 2115000288 5446 - ESMERALDA INDUSTRIA 30/06/2021 LQ 210,89 210,89"
"Pago título: 2115000318 6886 - CONDOM NIO RESIDENC 30/06/2021 LQ 227,64 227,64"
"Pago título: 2115000323 7218 - PROGEREN ARQUITETUR 30/06/2021 LQ 203,22 203,22"
"Pago título: 2116000003 5 - AMCOR RIGID PLASTICS D 30/06/2021 LQ 216,43 216,43"
"Pago título: 2116000021 135 - CONDOMINIO RESIDENCI 30/06/2021 LQ 209,32 209,32"
"Pago título: 2116000027 155 - AUTO POSTO AMIGAO DA 30/06/2021 LQ 205,17 205,17"
"Pago título: 2116000045 286 - T.F.T. TECIDOS E FIO 30/06/2021 LQ 201,13 201,13"
"Pago título: 2116000051 289 - INDUSTRIA CERAMICA F 30/06/2021 LQ 209,81 209,81"
"Pago título: 2116000057 391 - CONDOMINIO EDIFICIO 30/06/2021 LQ 232,33 232,33"
"Pago título: 2116000063 413 - INDUSTRIAS ROMI S/A 30/06/2021 LQ 220,54 220,54"
"Pago título: 2116000069 470 - CBC INDUSTRIAS PESAD 30/06/2021 LQ 229,66 229,66"
"Pago título: 2116000075 473 - TECELAGEM CHUAHY LTD 30/06/2021 LQ 213,04 213,04"
"Pago título: 2116000087 495 - NEUMAYER TEKFOR AUTO 30/06/2021 LQ 226,22 226,22"
"Pago título: 2116000093 521 - SPG PRINTS BRASIL LT 30/06/2021 LQ 228,11 228,11"
"Pago título: 2116000099 561 - JULIMAR LAVANDERIA L 30/06/2021 LQ 221,78 221,78"
"Pago título: 2116000105 760 - LETICIA APARECIDA MA 30/06/2021 LQ 217,47 217,47"
"Pago título: 2116000111 890 - LABORATORIO TAYUYNA 30/06/2021 LQ 207,52 207,52"
"Pago título: 2116000117 993 - RIGESA CELULOSE PAPE 30/06/2021 LQ 207,78 207,78"
"Pago título: 2116000123 1097 - TERRAR INDUSTRIA E 30/06/2021 LQ 229,5 229,5"
"Pago título: 2116000135 1415 - DPV PRODUTOS QUIMIC 30/06/2021 LQ 218,63 218,63"
"Pago título: 2116000141 1430 - ASSOCIACAO DOS MORA 30/06/2021 LQ 209,82 209,82"
"Pago título: 2116000165 1558 - CONDOMINIO CHACARAS 30/06/2021 LQ 209,81 209,81"
"Pago título: 2116000183 1832 - LANMAR IND STRIA ME 30/06/2021 LQ 215,19 215,19"
"Pago título: 2116000189 1892 - INBRA INDUSTRIAS QU 30/06/2021 LQ 206,2 206,2"
"Pago título: 2116000195 2227 - COMSAPE EXTRA AO E 30/06/2021 LQ 214,03 214,03"
"Pago título: 2116000213 2389 - JOFEGE CONCRETO LTD 30/06/2021 LQ 218,65 218,65"
"Pago título: 2116000225 2469 - RICLAN S/A 30/06/2021 LQ 211,5 211,5"
"Pago título: 2116000231 2528 - MULTILOG BRASIL S.A 30/06/2021 LQ 219,58 219,58"
"Pago título: 2116000243 2610 - HELIO DE ATHAYDE VA 30/06/2021 LQ 218,68 218,68"
"Pago título: 2116000249 2653 - TANQUE MATERIAS PAR 30/06/2021 LQ 219,24 219,24"
"Pago título: 2116000255 2686 - BOM PEIXE INDUSTRIA 30/06/2021 LQ 226,77 226,77"
"Pago título: 2116000261 2687 - ROTOCROM INDUSTRIA 30/06/2021 LQ 201,58 201,58"
"Pago título: 2116000267 2935 - CER MICA ALMEIDA LT 30/06/2021 LQ 219,58 219,58"
"Pago título: 2116000273 2943 - VTR VETOR EQUIPAMEN 30/06/2021 LQ 202,93 202,93"
"Pago título: 2116000279 3022 - BROGWARNER BRASIL L 30/06/2021 LQ 200,21 200,21"
"Pago título: 2116000291 3221 - LIMEIRENSE FERTILIZ 30/06/2021 LQ 230,72 230,72"
"Pago título: 2116000297 3230 - CSC SERVICES LAVAND 30/06/2021 LQ 225,98 225,98"
"Pago título: 2116000321 3424 - ASSOCIA  O DOS PROP 30/06/2021 LQ 219,24 219,24"
"Pago título: 2116000327 3461 - CONFEC  ES CAPRICHO 30/06/2021 LQ 208,01 208,01"
"Pago título: 2116000333 3516 - JOS  JORGE BERARDIN 30/06/2021 LQ 214,7 214,7"
"Pago título: 2116000339 3518 - SANTISTA WORK SOLUT 30/06/2021 LQ 214,2 214,2"
"Pago título: 2116000345 3547 - NEO RODAS S.A. 30/06/2021 LQ 224,46 224,46"
"Pago título: 2116000351 3594 - CPM CONCRETO DE PR 30/06/2021 LQ 218,04 218,04"
"Pago título: 2116000357 3616 - CONCREMIX S/A 30/06/2021 LQ 230,44 230,44"
"Pago título: 2116000363 3670 - TRANS KOTHE TRANSPO 30/06/2021 LQ 200,3 200,3"
"Pago título: 2116000369 3853 - MONTE COR PROTE  O 30/06/2021 LQ 221,25 221,25"
"Pago título: 2116000417 4584 - CONJUNTO RESIDENCIA 30/06/2021 LQ 220,55 220,55"
"Pago título: 2116000429 4829 - CLUBE RECREATIVO SU 30/06/2021 LQ 222,02 222,02"
"Pago título: 2116000435 4840 - CIALENE INDUSTRIA E 30/06/2021 LQ 219,58 219,58"
"Pago título: 2116000441 4895 - VYLLA EMPREENDIMENT 30/06/2021 LQ 200,06 200,06"
"Pago título: 2116000447 4938 - MOMBUCA BENEFICIADO 30/06/2021 LQ 219,58 219,58"
"Pago título: 2116000459 5575 - FONTE GELO LTDA 30/06/2021 LQ 220,54 220,54"
"Pago título: 2116000465 5608 - ASSOCIA  O DE MORAD 30/06/2021 LQ 202,01 202,01"
"Pago título: 2116000471 5622 - CLEUSA TERESINHA PI 30/06/2021 LQ 200,35 200,35"
"Pago título: 2116000489 7360 - CAMPMIX CONCRETO US 30/06/2021 LQ 200,11 200,11"
"Pago título: 2117000003 202 - NOVA PLAST IND E COM 30/06/2021 LQ 224,64 224,64"
"Pago título: 2117000010 381 - INSTITUTO EDUCACIONA 30/06/2021 LQ 227,1 227,1"
"Pago título: 2117000024 604 - ASSOCIA  O RESIDENCI 30/06/2021 LQ 210,16 210,16"
"Pago título: 2117000045 680 - JOSE EDUARDO ANNICCH 30/06/2021 LQ 209,12 209,12"
"Pago título: 2117000052 875 - RICHARD KLINGER INDU 30/06/2021 LQ 200,88 200,88"
"Pago título: 2117000073 1113 - PPC SANTANA EQUIPAM 30/06/2021 LQ 205,2 205,2"
"Pago título: 2117000080 1130 - BRASALIMENT INDUSTR 30/06/2021 LQ 205,77 205,77"
"Pago título: 2117000094 1308 - INDUSTRIA DE BEBIDA 30/06/2021 LQ 203,28 203,28"
"Pago título: 2117000101 1426 - WEIDMANN TECNOLOGIA 30/06/2021 LQ 208,41 208,41"
"Pago título: 2117000108 1652 - RICLAN S/A 30/06/2021 LQ 212,8 212,8"
"Pago título: 2117000115 1870 - MALIBER INDUSTRIA E 30/06/2021 LQ 213,3 213,3"
"Pago título: 2117000129 1993 - CABLENA DO BRASIL L 30/06/2021 LQ 220 220"
"Pago título: 2117000136 2028 - TERMOTECNICA LTDA 30/06/2021 LQ 209,12 209,12"
"Pago título: 2117000157 2082 - COLORFLEX ESTAMPARI 30/06/2021 LQ 224,86 224,86"
"Pago título: 2117000164 2126 - TIETZ EXTRA  O E CO 30/06/2021 LQ 224,23 224,23"
"Pago título: 2117000171 2140 - INDUSTRIAS ROMI S/A 30/06/2021 LQ 221,38 221,38"
"Pago título: 2117000185 2229 - AUDAX QUIMICA IND E 30/06/2021 LQ 225,03 225,03"
"Pago título: 2117000192 2362 - ASSOCIA  O  PROPRIE 30/06/2021 LQ 221,74 221,74"
"Pago título: 2117000199 2407 - FERRASPARI S/A INDU 30/06/2021 LQ 201,64 201,64"
"Pago título: 2117000220 3059 - VIC 01 SBO EMPREEND 30/06/2021 LQ 208,41 208,41"
"Pago título: 2117000234 3212 - PEDREIRA NOGUEIRENS 30/06/2021 LQ 209,12 209,12"
"Pago título: 2117000248 3259 - BAG CLEANER COM RCI 30/06/2021 LQ 208,86 208,86"
"Pago título: 2117000276 3463 - PREFEITURA MUNICIPA 30/06/2021 LQ 209,12 209,12"
"Pago título: 2117000283 3468 - VOTORANTIM CIMENTOS 30/06/2021 LQ 204,2 204,2"
"Pago título: 2117000290 3474 - ASSOCIA  O FILOS FI 30/06/2021 LQ 203,26 203,26"
"Pago título: 2117000297 3592 - CONDOMINIO LAGOS SH 30/06/2021 LQ 208,91 208,91"
"Pago título: 2117000318 4132 - MRGM PARTICIPA  ES 30/06/2021 LQ 203,26 203,26"
"Pago título: 2117000325 4479 - PERFORM PARTICIPA 30/06/2021 LQ 225,63 225,63"
"Pago título: 2117000332 4512 - INSTITUTO DE ENSINO 30/06/2021 LQ 209,12 209,12"
"Pago título: 2117000339 4615 - RAIZEN ENERGIA S.A. 30/06/2021 LQ 211,82 211,82"
"Pago título: 2117000346 4674 - L'OCCITANE OPERA IN 30/06/2021 LQ 200,75 200,75"
"Pago título: 2117000360 5303 - ASSOCIA  O DOS MORA 30/06/2021 LQ 225,85 225,85"
"Pago título: 2117000367 5318 - SERRANO EMPREENDIME 30/06/2021 LQ 208,55 208,55"
"Pago título: 2117000409 5492 - BUONO GEL INDUSTRIA 30/06/2021 LQ 209,12 209,12"
"Pago título: 2117000423 5633 - IBIS AGR RIA LTDA 30/06/2021 LQ 203,28 203,28"
"Pago título: 2117000444 6982 - ASSOCIA  O DOS MORA 30/06/2021 LQ 214,16 214,16"
"Pago título: 2117000445 6982 - ASSOCIA  O DOS MORA 30/07/2021 LQ 214,16 214,16"
"Pago título: 2117000446 6982 - ASSOCIA  O DOS MORA 31/08/2021 LQ 214,16 214,16"
"Pago título: 2117000447 6982 - ASSOCIA  O DOS MORA 30/09/2021 LQ 214,16 214,16"
"Pago título: 2117000448 6982 - ASSOCIA  O DOS MORA 29/10/2021 LQ 214,16 214,16"
"Pago título: 2118000011 12 - AGUAJATO TRANSPORTES 30/06/2021 LQ 1908,15 1908,15"
"Pago título: 2118000027 22 - HONDA AUTOMOVEIS DO B 30/06/2021 LQ 1170,59 1170,59"
"Pago título: 2118000035 24 - ASSOCIACAO DOS PROPRI 30/06/2021 LQ 384,32 384,32"
"Pago título: 2118000043 25 - EXTRACAO E COMERCIO D 30/06/2021 LQ 553,25 553,25"
"Pago título: 2118000051 26 - CERAMICA FORMIGRES LT 30/06/2021 LQ 546,99 546,99"
"Pago título: 2118000075 34 - CONDOMINIO BOUGAINVIL 30/06/2021 LQ 228,32 228,32"
"Pago título: 2118000107 52 - ASSOCIACAO DOS PROPRI 30/06/2021 LQ 586,91 586,91"
"Pago título: 2118000147 68 - ASSOCIACAO GREEN VILL 30/06/2021 LQ 257,17 257,17"
"Pago título: 2118000155 69 - PLASTEK DO BRASIL IND 30/06/2021 LQ 292,33 292,33"
"Pago título: 2118000163 72 - ANTENOR MAXIMIANO PAR 30/06/2021 LQ 434,76 434,76"
"Pago título: 2118000171 73 - NARDINI PISOS E REVES 30/06/2021 LQ 219,58 219,58"
"Pago título: 2118000187 85 - ASSOCIACAO PROPRIETAR 30/06/2021 LQ 355,24 355,24"
"Pago título: 2118000195 94 - SERVICO SOCIAL DA IND 30/06/2021 LQ 365,96 365,96"
"Pago título: 2118000203 96 - TAGMA BRASIL IND STRI 30/06/2021 LQ 530,64 530,64"
"Pago título: 2118000219 111 - ASSOCIACAO MORADORES 30/06/2021 LQ 585,53 585,53"
"Pago título: 2118000227 112 - LUME CERAMICA LTDA 30/06/2021 LQ 270,81 270,81"
"Pago título: 2118000243 136 - M RCIA REGINA PEZZEN 30/06/2021 LQ 329,36 329,36"
"Pago título: 2118000251 142 - SOCIEDADE DE MELHORA 30/06/2021 LQ 454,89 454,89"
"Pago título: 2118000259 149 - GREEN GOLF CLUB 30/06/2021 LQ 222,98 222,98"
"Pago título: 2118000267 152 - SOCIEDADE AMIGOS DO 30/06/2021 LQ 393,41 393,41"
"Pago título: 2118000283 160 - ASSOCIA  O RESIDENCI 30/06/2021 LQ 2252,3 2252,3"
"Pago título: 2118000291 163 - SABARA QUIMICOS E IN 30/06/2021 LQ 565,63 565,63"
"Pago título: 2118000307 182 - UNIPEL INDUSTRIA E C 30/06/2021 LQ 325,18 325,18"
"Pago título: 2118000323 184 - TECELAGEM JOLITEX LT 30/06/2021 LQ 1428,73 1428,73"
"Pago título: 2118000331 191 - COOPERATIVA NOVA ESP 30/06/2021 LQ 847,97 847,97"
"Pago título: 2118000347 203 - TINTURARIA E ESTAMPA 30/06/2021 LQ 1007,28 1007,28"
"Pago título: 2118000371 219 - SI GROUP CRIOS RESIN 30/06/2021 LQ 1763,16 1763,16"
"Pago título: 2118000379 223 - VIVA PISOS E REVESTI 30/06/2021 LQ 775,53 775,53"
