"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448112907202212850.ret"
""
"Cadastrado título novo: 9000006977 521 - SPG PRINTS BRASIL LTD 31/08/2022 RG 237,31 0"
"Cadastrado título novo: 9000006978 7722 - ASSOC DE PROP DO LOT 30/09/2022 RG 207,04 0"
"Cadastrado título novo: 9000006979 7722 - ASSOC DE PROP DO LOT 31/10/2022 RG 207,05 0"
"Cadastrado título novo: 9000006980 7722 - ASSOC DE PROP DO LOT 30/11/2022 RG 207,05 0"
"Cadastrado título novo: 9000006981 5417 - TCP SALTO INDUSTRIAL 31/08/2022 RG 700,64 0"
"Cadastrado título novo: 9000006982 2239 - CERAMICA RAMOS LTDA 31/08/2022 RG 467,14 0"
"Pago título: 2220005280 1846 - COMPANHIA NACIONAL D 29/07/2022 LQ 611,93 611,93"
"Pago título: 2220005287 2088 - ASSOCIACAO DE PROPRI 29/07/2022 LQ 610,63 610,63"
"Pago título: 2220005294 6849 - ASSOCIACAO DOS MORAD 29/07/2022 LQ 606,45 606,45"
"Pago título: 2220005301 482 - TAVARES PINHEIRO INDU 29/07/2022 LQ 606,44 606,44"
"Pago título: 2220005322 497 - ALCOOL FERREIRA S/A 29/07/2022 LQ 598,71 598,71"
"Pago título: 2220005336 244 - CONFIBRA INDUSTRIA E 29/07/2022 LQ 594,27 594,27"
"Pago título: 2220005357 2464 - SPARTAN DO BRASIL PR 29/07/2022 LQ 586,79 586,79"
"Pago título: 2220005378 2474 - DE MARCHI INDUSTRIA 29/07/2022 LQ 573,19 573,19"
"Pago título: 2220005392 5418 - SAMUEL SAMPAIO TOCAL 29/07/2022 LQ 567,91 567,91"
"Pago título: 2220005420 163 - SABARA QUIMICOS E ING 29/07/2022 LQ 555,44 555,44"
"Pago título: 2220005427 892 - A. AZEVEDO INDUSTRIA 29/07/2022 LQ 553,36 553,36"
"Pago título: 2220005434 5560 - WT NEGOCIOS IMOBILIA 29/07/2022 LQ 550,4 550,4"
"Pago título: 2220005448 2348 - RAUL FERREIRA LEITE 29/07/2022 LQ 543,71 543,71"
"Pago título: 2220005455 4116 - TARTALIA EMPREENDIME 29/07/2022 LQ 543,71 543,71"
"Pago título: 2220005469 4288 - PTM AGRICOLA E PARTI 29/07/2022 LQ 539,18 539,18"
"Pago título: 2220005476 6995 - SPAL INDUSTRIA BRASI 29/07/2022 LQ 532,77 532,77"
"Pago título: 2220005483 2889 - I & M PAPEIS E EMBAL 29/07/2022 LQ 529,65 529,65"
"Pago título: 2220005504 432 - ASSOCIACAO PROPRIETAR 29/07/2022 LQ 523,95 523,95"
"Pago título: 2220005511 1689 - AJINOMOTO DO BRASIL 29/07/2022 LQ 522,81 522,81"
"Pago título: 2220005517 1786 - AREIALEX EXTRACAO E 30/06/2022 LQ 522,72 538,1"
"Pago título: 2220005532 142 - SOCIEDADE DE MELHORAM 29/07/2022 LQ 519,87 519,87"
"Pago título: 2220005539 1274 - GUAINUMBY TEXTIL LTD 29/07/2022 LQ 517,54 517,54"
"Pago título: 2220005546 3413 - TUIUTI ECO PARK EMPR 29/07/2022 LQ 517,14 517,14"
"Pago título: 2220005553 24 - ASSOCIACAO DOS PROPRIE 29/07/2022 LQ 515,75 515,75"
"Pago título: 2220005560 2952 - EXTRACAO E COMERCIO 29/07/2022 LQ 509,07 509,07"
"Pago título: 2220005574 4697 - MARFRIG GLOBAL FOODS 29/07/2022 LQ 507,56 507,56"
"Pago título: 2220005581 237 - IPLASA - INDUSTRIA E 29/07/2022 LQ 501,89 501,89"
"Pago título: 2220005588 3637 - PICOLI & CARRARA COM 29/07/2022 LQ 501,89 501,89"
"Pago título: 2220005609 4862 - PSS DE CAMARGO SERVI 29/07/2022 LQ 501,89 501,89"
"Pago título: 2220005644 3992 - HOTEL FAZENDA HARAS 29/07/2022 LQ 489,34 489,34"
"Pago título: 2220005665 7252 - CRJP LOTEAMENTOS SPE 29/07/2022 LQ 481,91 481,91"
"Pago título: 2220005672 3666 - RAUL FERREIRA LEITE 29/07/2022 LQ 480,97 480,97"
"Pago título: 2220005679 4784 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 480,45 480,45"
"Pago título: 2220005686 844 - COIM BRASIL LTDA 29/07/2022 LQ 477,53 477,53"
"Pago título: 2220005693 3365 - MALIBER INDUSTRIA E 29/07/2022 LQ 476,26 476,26"
"Pago título: 2220005700 2590 - DIERBERGER OLEOS ESS 29/07/2022 LQ 475,75 475,75"
"Pago título: 2220005707 5539 - SPEEDY INCORPORACOES 29/07/2022 LQ 463,31 463,31"
"Pago título: 2220005728 2478 - ASSOC DOS PROPRIETAR 29/07/2022 LQ 462,04 462,04"
"Pago título: 2220005735 4361 - RAUL FERREIRA LEITE 29/07/2022 LQ 460,06 460,06"
"Pago título: 2220005742 3453 - CERAMICA SAVANE LTDA 29/07/2022 LQ 457,72 457,72"
"Pago título: 2220005749 1859 - CWS CABLE PARKS LTDA 29/07/2022 LQ 455,53 455,53"
"Pago título: 2220005763 1618 - NAZATO PIRACICABA TR 29/07/2022 LQ 452,33 452,33"
"Pago título: 2220005777 4641 - DYNATECH INDUSTRIAS 29/07/2022 LQ 450,77 450,77"
"Pago título: 2220005784 1148 - ARCELOR MITTAL GONVA 29/07/2022 LQ 450,46 450,46"
"Pago título: 2220005819 3253 - COPASIL QUIMICA INDU 29/07/2022 LQ 443,16 443,16"
"Pago título: 2220005826 2981 - VIVA PISOS E REVESTI 29/07/2022 LQ 439,15 439,15"
"Pago título: 2220005833 7129 - POUSADA CHALES DO TH 29/07/2022 LQ 438,11 438,11"
"Pago título: 2220005854 7159 - FLAVOUR MIX INDUSTRI 29/07/2022 LQ 432,25 432,25"
"Pago título: 2220005868 4779 - FUNDACAO CENTRO DE A 29/07/2022 LQ 429,53 429,53"
"Pago título: 2220005875 152 - SOCIEDADE AMIGOS DO R 29/07/2022 LQ 428,69 428,69"
"Pago título: 2220005889 1091 - DEPARTAMENTO DE AGUA 29/07/2022 LQ 422,33 422,33"
"Pago título: 2220005896 7329 - ESPACO GAIA EMPREEND 29/07/2022 LQ 419,01 419,01"
"Pago título: 2220005903 6034 - ESPACO GAIA EMPREEND 29/07/2022 LQ 419,01 419,01"
"Pago título: 2220005910 6035 - ESPACO GAIA EMPREEND 29/07/2022 LQ 419,01 419,01"
"Pago título: 2220005917 1692 - LALLEMAND SOLUCOES B 29/07/2022 LQ 418,84 418,84"
"Pago título: 2220005945 2684 - ANTONIO SERGIO LEITE 29/07/2022 LQ 418,24 418,24"
"Pago título: 2220005973 4631 - AGROPECUARIA CAPUAVA 29/07/2022 LQ 418,24 418,24"
"Pago título: 2220006050 2083 - HANIER ESPECIALIDADE 29/07/2022 LQ 408,38 408,38"
"Pago título: 2220006064 4762 - MINERACAO ANGICO LTD 29/07/2022 LQ 407,35 407,35"
"Pago título: 2220006071 938 - MIRACEMA NUODEX INDUS 29/07/2022 LQ 407,01 407,01"
"Pago título: 2220006085 3163 - RESIDENCIAL FAZENDA 29/07/2022 LQ 405,96 405,96"
"Pago título: 2220006092 2773 - SOCIEDADE DE ARMAZEN 29/07/2022 LQ 403,01 403,01"
"Pago título: 2220006099 3660 - SO AGUA COMERCIAL E 29/07/2022 LQ 401,51 401,51"
"Pago título: 2220006106 1465 - BBC INDUSTRIA E COME 29/07/2022 LQ 400,99 400,99"
"Pago título: 2220006120 1456 - ASSOC DOS PROP DO LO 29/07/2022 LQ 397,33 397,33"
"Pago título: 2220006127 1862 - DOR RIO CONFECCAO LT 29/07/2022 LQ 395,98 395,98"
"Pago título: 2220006155 1477 - JETFIO INDUSTRIA TEX 29/07/2022 LQ 386,16 386,16"
"Pago título: 2220006169 2324 - BASF S/A 29/07/2022 LQ 381,43 381,43"
"Pago título: 2220006183 1813 - MAXLAV LAVANDERIA ES 29/07/2022 LQ 379,53 379,53"
"Pago título: 2220006204 265 - ADERE PRODUTOS AUTO-A 29/07/2022 LQ 377,81 377,81"
"Pago título: 2220006211 136 - MARCIA REGINA PEZZENT 29/07/2022 LQ 376,41 376,41"
"Pago título: 2220006218 5487 - ASSOC DOS PROPR DE L 29/07/2022 LQ 376,41 376,41"
"Pago título: 2220006225 5652 - CONDOMINIO D. PEDRO 29/07/2022 LQ 376,41 376,41"
"Pago título: 2220006239 426 - RUY R. DA ROCHA PRODU 29/07/2022 LQ 376,41 376,41"
"Pago título: 2220006253 1243 - ASSOCIACAO PROPRIETA 29/07/2022 LQ 376,41 376,41"
"Pago título: 2220006260 5580 - IRMAOS SEGEREN AGROP 29/07/2022 LQ 376,41 376,41"
"Pago título: 2220006274 545 - SOCIEDADE DE PROPRIET 29/07/2022 LQ 376,36 376,36"
"Pago título: 2220006309 1972 - SINDICATO DOS TRAB I 29/07/2022 LQ 366,21 366,21"
"Pago título: 2220006330 1082 - LENA & CIA LTDA 29/07/2022 LQ 364,66 364,66"
"Pago título: 2220006344 69 - PLASTEK DO BRASIL INDU 29/07/2022 LQ 363,24 363,24"
"Pago título: 2220006358 1425 - TRANSPORTE E COMERCI 29/07/2022 LQ 359,68 359,68"
"Pago título: 2220006386 5323 - ERCA INDUSTRIA E COM 29/07/2022 LQ 357,42 357,42"
"Pago título: 2220006393 2172 - FARMINA PET FOODS BR 29/07/2022 LQ 356,68 356,68"
"Pago título: 2220006400 3221 - LIMEIRENSE FERTILIZA 29/07/2022 LQ 356,28 356,28"
"Pago título: 2220006407 1591 - TQA INDUSTRIA E COME 29/07/2022 LQ 355,5 355,5"
"Pago título: 2220006428 931 - CENTRO CULTURAL E REC 29/07/2022 LQ 353,34 353,34"
"Pago título: 2220006435 5654 - FUNDICAO REGALI BRAS 29/07/2022 LQ 352,26 352,26"
"Pago título: 2220006442 17 - LEDERVIN INDUSTRIA E C 29/07/2022 LQ 351,32 351,32"
"Pago título: 2220006477 182 - UNIPEL INDUSTRIA E CO 29/07/2022 LQ 345,95 345,95"
"Pago título: 2220006484 293 - OMAMORI INDUSTRIA DE 29/07/2022 LQ 344,85 344,85"
"Pago título: 2220006512 4129 - TERRAPLANAGEM PARAIZ 29/07/2022 LQ 340,65 340,65"
"Pago título: 2220006540 5938 - CLAUDETE APARECIDA G 29/07/2022 LQ 338,04 338,04"
"Pago título: 2220006547 2114 - MAXLAV LAVANDERIA ES 29/07/2022 LQ 336,68 336,68"
"Pago título: 2220006554 2949 - INSTITUTO ADVENTISTA 29/07/2022 LQ 335,22 335,22"
"Pago título: 2220006561 985 - CONDOMINIO FAZENDA DU 29/07/2022 LQ 335,06 335,06"
"Pago título: 2220006589 7322 - CAMARGO COMPANHIA DE 29/07/2022 LQ 334,59 334,59"
"Pago título: 2220006610 1122 - PPC SANTANA EQUIPAME 29/07/2022 LQ 333,42 333,42"
"Pago título: 2220006617 3480 - MEDI HOUSE IND E COM 29/07/2022 LQ 332,65 332,65"
"Pago título: 2220006624 1902 - KENJI EXTRACAO E COM 29/07/2022 LQ 331,5 331,5"
"Pago título: 2220006631 3366 - TECHIMPORT TECNOLOGI 29/07/2022 LQ 331,37 331,37"
"Pago título: 2220006652 3327 - INPAR PROJETO 86 SPE 29/07/2022 LQ 327,09 327,09"
"Pago título: 2220006666 2745 - CONDOMINIO DO SHOPPI 29/07/2022 LQ 326,44 326,44"
"Pago título: 2220006673 965 - IGARATIBA INDUSTRIA E 29/07/2022 LQ 324,15 324,15"
"Pago título: 2220006687 2094 - ASSOCIACAO DE PROPRI 29/07/2022 LQ 323,18 323,18"
"Pago título: 2220006736 852 - ECOFABRIL INDUSTRIA E 29/07/2022 LQ 318 318"
"Pago título: 2220006743 851 - KROMBERG & SCHUBERT D 29/07/2022 LQ 316,39 316,39"
"Pago título: 2220006757 5803 - ASSOCIACAO DOS AMIGO 29/07/2022 LQ 313,68 313,68"
"Pago título: 2220006764 4600 - ALMEIDA PISOS E REVE 29/07/2022 LQ 313,68 313,68"
"Pago título: 2220006771 5306 - ASSOCIACAO DE AMIGOS 29/07/2022 LQ 313,68 313,68"
"Pago título: 2220006778 1144 - ASSOCIACAO PROPRIET. 29/07/2022 LQ 313,68 313,68"
"Pago título: 2220006792 5161 - MISTER GELO IND. DE 29/07/2022 LQ 313,13 313,13"
"Pago título: 2220006799 3679 - CMR INDUSTRIA E COME 29/07/2022 LQ 311 311"
"Pago título: 2220006820 6918 - RAMOS & RIBEIRO EMPR 29/07/2022 LQ 307,55 307,55"
"Pago título: 2220006862 3514 - CERAMICA GRESCA G3 L 29/07/2022 LQ 301,13 301,13"
"Pago título: 2220006890 166 - BRF - BRASIL FOODS S/ 29/07/2022 LQ 296,69 296,69"
"Pago título: 2220006891 166 - BRF - BRASIL FOODS S/ 31/08/2022 LQ 296,69 296,69"
"Pago título: 2220006892 166 - BRF - BRASIL FOODS S/ 30/09/2022 LQ 296,69 296,69"
"Pago título: 2220006893 166 - BRF - BRASIL FOODS S/ 31/10/2022 LQ 296,69 296,69"
"Pago título: 2220006894 166 - BRF - BRASIL FOODS S/ 30/11/2022 LQ 296,69 296,69"
"Pago título: 2220006895 166 - BRF - BRASIL FOODS S/ 26/12/2022 LQ 296,69 296,69"
"Pago título: 2220006897 1701 - TINTURARIA E ESTAMPA 29/07/2022 LQ 294,55 294,55"
"Pago título: 2220006911 68 - ASSOCIACAO GREEN VILLA 29/07/2022 LQ 293,91 293,91"
"Pago título: 2220006939 2814 - REAL INDUSTRIA E COM 29/07/2022 LQ 290,85 290,85"
"Pago título: 2220006953 3352 - CP KELCO BRASIL S/A 29/07/2022 LQ 290 290"
"Pago título: 2220006988 6366 - SOCIEDADE AGOSTINIAN 29/07/2022 LQ 288,85 288,85"
"Pago título: 2220006995 2897 - REQUIPH METALURGICA 29/07/2022 LQ 288,76 288,76"
"Pago título: 2220007016 7716 - EXTRAMIX CONCRETO LT 29/07/2022 LQ 288 288"
"Pago título: 2220007023 1830 - SUOMINEN BRASIL INDU 29/07/2022 LQ 285,87 285,87"
"Pago título: 2220007030 1705 - SAINT-GOBAIN DO BRAS 29/07/2022 LQ 285,75 285,75"
"Pago título: 2220007044 7710 - WLM PART E COMERCIO 29/07/2022 LQ 284,39 284,39"
"Pago título: 2220007065 3 - CONDOMINIO RESIDENCIAL 29/07/2022 LQ 281,35 281,35"
"Pago título: 2220007072 5443 - ASSOC DOS PROP E MOR 29/07/2022 LQ 276,01 276,01"
"Pago título: 2220007100 4385 - MATEUS CAVALCANTI IZ 29/07/2022 LQ 271,86 271,86"
"Pago título: 2220007128 4827 - BOM PEIXE INDUSTRIA 29/07/2022 LQ 267,67 267,67"
"Pago título: 2220007177 2575 - LUBRASIL LUBRIFICANT 29/07/2022 LQ 256,28 256,28"
"Pago título: 2220007198 3720 - J.L. PAULO & CIA LTD 29/07/2022 LQ 253,58 253,58"
"Pago título: 2220007219 1603 - OLIVEIRA & LOPES LTD 29/07/2022 LQ 251,13 251,13"
"Pago título: 2220007226 3971 - VIEIRA E RODRIGUES T 29/07/2022 LQ 250,94 250,94"
"Pago título: 2220007240 112 - LUME CERAMICA LTDA 29/07/2022 LQ 250,94 250,94"
"Pago título: 2220007247 5079 - CONDOMINIO EDIFICIO 29/07/2022 LQ 250,94 250,94"
"Pago título: 2220007254 3107 - RUY R. DA ROCHA PROD 29/07/2022 LQ 250,94 250,94"
"Pago título: 2220007261 73 - NARDINI PISOS E REVEST 29/07/2022 LQ 250,94 250,94"
"Pago título: 2220007282 1173 - MASTERCOR BENEFICIAM 29/07/2022 LQ 250,74 250,74"
"Pago título: 2220007289 183 - TEXTIL BASSETO LTDA 29/07/2022 LQ 248,81 248,81"
"Pago título: 2220007303 4916 - CLUBE ATLETICO VALIN 29/07/2022 LQ 246,87 246,87"
"Pago título: 2220007324 2956 - CENTER GIRO TRANSPOR 29/07/2022 LQ 246,21 246,21"
"Pago título: 2220007345 1266 - ASSOCIACAO COMUNITAR 29/07/2022 LQ 244,67 244,67"
"Pago título: 2220007352 563 - PLAZA INDUSTRIA E COM 29/07/2022 LQ 244,5 244,5"
"Pago título: 2220007359 1609 - GRANITEC IND E COM D 29/07/2022 LQ 244,32 244,32"
"Pago título: 2220007366 4783 - CORREIAS MERCURIO S/ 29/07/2022 LQ 243,41 243,41"
"Pago título: 2220007373 855 - LOG & PRINT GRAFICA E 29/07/2022 LQ 243 243"
"Pago título: 2220007380 2293 - BRUNO NICOLETTI TECI 29/07/2022 LQ 242,62 242,62"
"Pago título: 2220007394 5606 - AROMA BIOENERGIA LTD 29/07/2022 LQ 241,16 241,16"
"Pago título: 2220007401 1885 - A PRESS TRANSPORTES 29/07/2022 LQ 240,9 240,9"
"Pago título: 2220007408 604 - ASSOCIACAO RESIDENCIA 29/07/2022 LQ 239,96 239,96"
"Pago título: 2220007422 6889 - EXTRAMIX CONCRETO LT 29/07/2022 LQ 236,58 236,58"
"Pago título: 2220007436 4059 - ATI GEL FRUTAS CONGE 29/07/2022 LQ 234,94 234,94"
"Pago título: 2220007464 3097 - CISOL DO BRASIL EXPO 29/07/2022 LQ 230,55 230,55"
"Pago título: 2220007471 2988 - K & G INDUSTRIA E CO 29/07/2022 LQ 230,26 230,26"
"Pago título: 2220007485 2168 - EMEPE INDUSTRIA GRAF 29/07/2022 LQ 230,03 230,03"
"Pago título: 2220007492 1137 - SICAD DO BRASIL FITA 29/07/2022 LQ 227,84 227,84"
"Pago título: 2220007513 5303 - ASSOCIACAO DOS MORAD 29/07/2022 LQ 225,85 225,85"
"Pago título: 2220007520 1742 - CONDOMINIO SERANILA 29/07/2022 LQ 225,85 225,85"
"Pago título: 2220007527 4479 - PERFORM PARTICIPACOE 29/07/2022 LQ 225,63 225,63"
"Pago título: 2220007541 5409 - TATIANA CRISTINA DE 29/07/2022 LQ 225,32 225,32"
"Pago título: 2220007548 2229 - AUDAX QUIMICA IND E 29/07/2022 LQ 225,03 225,03"
"Pago título: 2220007555 202 - NOVA PLAST IND E COM 29/07/2022 LQ 224,64 224,64"
"Pago título: 2220007569 2196 - ASSOCIACAO CIVIL PAR 29/07/2022 LQ 223,22 223,22"
"Pago título: 2220007590 2140 - INDUSTRIAS ROMI S/A 29/07/2022 LQ 221,38 221,38"
"Pago título: 2220007611 1993 - CABLENA DO BRASIL LT 29/07/2022 LQ 220 220"
"Pago título: 2220007618 2082 - COLORFLEX ESTAMPARIA 29/07/2022 LQ 219,63 219,63"
"Pago título: 2220007639 5575 - FONTE GELO LTDA 29/07/2022 LQ 218,83 218,83"
"Pago título: 2220007646 5350 - CONDOMINIO RESERVA D 29/07/2022 LQ 218,42 218,42"
"Pago título: 2220007653 1130 - BRASALIMENT INDUSTRI 29/07/2022 LQ 218,23 218,23"
"Pago título: 2220007674 1077 - DP & LF TRANSPORTES 29/07/2022 LQ 214,56 214,56"
"Pago título: 2220007681 1870 - MALIBER INDUSTRIA E 29/07/2022 LQ 213,3 213,3"
"Pago título: 2220007688 1652 - RICLAN S/A 29/07/2022 LQ 212,81 212,81"
"Pago título: 2220007694 4615 - RAIZEN ENERGIA S.A. 25/07/2022 LQ 211,81 216,32"
"Pago título: 2220007695 4615 - RAIZEN ENERGIA S.A. 29/07/2022 LQ 211,82 211,82"
"Pago título: 2220007702 1750 - PREFEITURA MUNICIPAL 29/07/2022 LQ 210,7 210,7"
"Pago título: 2220007737 680 - JOSE EDUARDO ANNICCHI 29/07/2022 LQ 209,12 209,12"
"Pago título: 2220007751 3212 - PEDREIRA NOGUEIRENSE 29/07/2022 LQ 209,12 209,12"
"Pago título: 2220007758 5436 - ANSELMO AGUAS E TRAN 29/07/2022 LQ 209,12 209,12"
"Pago título: 2220007765 2881 - SERVICO DE AGUA E ES 29/07/2022 LQ 209,12 209,12"
"Pago título: 2220007772 4512 - INSTITUTO DE ENSINO 29/07/2022 LQ 209,12 209,12"
"Pago título: 2220007793 2028 - TERMOTECNICA LTDA 29/07/2022 LQ 209,12 209,12"
"Pago título: 2220007800 3170 - MAURICIO ROBERTO FOR 29/07/2022 LQ 209,12 209,12"
"Pago título: 2220007807 3094 - RENATO PASSARIN & FI 29/07/2022 LQ 209,12 209,12"
"Pago título: 2220007814 3592 - CONDOMINIO LAGOS SHA 29/07/2022 LQ 208,91 208,91"
"Pago título: 2220007835 3059 - VIC 01 SBO EMPREENDI 29/07/2022 LQ 208,41 208,41"
"Pago título: 2220007870 7051 - IRMAOS SEGEREN AGROP 29/07/2022 LQ 206,52 206,52"
"Pago título: 2220007884 3423 - A. A. DE MELO & CIA 29/07/2022 LQ 206,16 206,16"
"Pago título: 2220007912 1308 - INDUSTRIA DE BEBIDAS 29/07/2022 LQ 203,28 203,28"
"Pago título: 2220007919 4132 - MRGM PARTICIPACOES E 29/07/2022 LQ 203,26 203,26"
"Pago título: 2220007933 1936 - IVO ZARZUR ADMINISTR 29/07/2022 LQ 202,8 202,8"
"Pago título: 2220007940 2407 - FERRASPARI S/A INDUS 29/07/2022 LQ 201,64 201,64"
"Pago título: 2220007954 4315 - AGE DO BRASIL INDUST 29/07/2022 LQ 200,75 200,75"
"Pago título: 2220007961 5449 - CONDOMINIO HOTEL INT 29/07/2022 LQ 200,75 200,75"
"Pago título: 2220007968 4674 - L'OCCITANE OPERA IND 29/07/2022 LQ 200,75 200,75"
"Pago título: 2220007975 2069 - TRANSPORTES  21 LTDA 29/07/2022 LQ 200,75 200,75"
"Pago título: 2220007991 2042 - CATION INDUSTRIA E C 29/07/2022 LQ 200,66 200,66"
"Pago título: 9000006608 2757 - CARAVITA EMPRESA DE 29/07/2022 LQ 829,16 829,16"
"Pago título: 9000006711 2691 - PAULO LUCIO FILHO ME 29/07/2022 LQ 299,81 299,81"
"Pago título: 9000006748 3947 - A. FRIEDBERG DO BRAS 29/07/2022 LQ 301,24 301,24"
"Pago título: 9000006765 3486 - ASSOCIACAO DOS PROP 29/07/2022 LQ 298,85 298,85"
"Pago título: 9000006786 4992 - AGUA NOGUEIRENSE LTD 29/07/2022 LQ 744,87 744,87"
"Pago título: 9000006870 943 - RAIZEN ENERGIA S/A 29/07/2022 LQ 10581,41 10581,41"
"Pago título: 9000006884 381 - INSTITUTO EDUCACIONAL 30/06/2022 LQ 462,42 476,13"
"Pago título: 9000006893 1112 - CIA SANEAMENTO BASIC 29/07/2022 LQ 17306,52 17306,52"
"Pago título: 9000006900 3316 - CONCESSIONARIA  DO S 29/07/2022 LQ 601,78 601,78"
"Pago título: 9000006901 3318 - CONCESSIONARIA  DO S 29/07/2022 LQ 273,74 273,74"
"Pago título: 9000006902 1427 - CONCESSIONARIA  DO S 29/07/2022 LQ 875,04 875,04"
"Pago título: 9000006903 3317 - CONCESSIONARIA  DO S 29/07/2022 LQ 607,59 607,59"
"Pago título: 9000006907 1163 - CORREIO POPULAR S/A 29/07/2022 LQ 71,43 71,43"
"Pago título: 9000006918 896 - PREFEITURA MUNICIPAL 29/07/2022 LQ 5498,83 5498,83"
"Pago título: 9000006925 6935 - ALTO DO SION EMPREEN 29/07/2022 LQ 376,41 376,41"
"Pago título: 9000006931 1313 - KIKKOMAN DO BRASIL I 29/07/2022 LQ 350,38 350,38"
"Cadastrado título pago: 9000006938 3054 - RENOVIAS CONCESSIONA 29/07/2022 LQ 365,96 365,96"
"Cadastrado título pago: 9000006939 5527 - RENOVIAS CONCESSIONA 29/07/2022 LQ 398,16 398,16"
"Pago título: 9000006942 4887 - RAIZEN ENERGIA S.A. 29/07/2022 LQ 431,36 431,36"
"Pago título: 9000006956 6738 - VIDA NOVA ATIBAIA I 29/07/2022 LQ 229,99 229,99"
"Pago título: 9000006972 3333 - AUREO ALESSANDRO DA 29/07/2022 LQ 434,67 434,67"
"Cancelado título: 2220001841 2444 - TNT MERCURIO CARGAS 13/07/2022 BX 219,57 0"
"Cancelado título: 2220001842 2444 - TNT MERCURIO CARGAS 29/07/2022 BX 219,58 0"
"Cancelado título: 2220001843 2444 - TNT MERCURIO CARGAS 31/08/2022 BX 219,58 0"
"Cancelado título: 2220003172 3385 - S.ZANARDI EMPREENDIM 30/09/2022 BX 207,41 0"
"Cancelado título: 2220003173 3385 - S.ZANARDI EMPREENDIM 31/10/2022 BX 207,41 0"
"Cancelado título: 2220003174 3385 - S.ZANARDI EMPREENDIM 30/11/2022 BX 207,41 0"
"Cancelado título: 2220003977 1090 - CITROSUCO S/A AGROIN 30/06/2022 BX 1962,24 0"
"Cancelado título: 2220003978 1090 - CITROSUCO S/A AGROIN 29/07/2022 BX 1962,21 0"
"Cancelado título: 2220003979 1090 - CITROSUCO S/A AGROIN 31/08/2022 BX 1962,21 0"
"Cancelado título: 2220003980 1090 - CITROSUCO S/A AGROIN 30/09/2022 BX 1962,21 0"
"Cancelado título: 2220003981 1090 - CITROSUCO S/A AGROIN 31/10/2022 BX 1962,21 0"
"Cancelado título: 2220003982 1090 - CITROSUCO S/A AGROIN 30/11/2022 BX 1962,21 0"
"Cancelado título: 2220003983 1090 - CITROSUCO S/A AGROIN 26/12/2022 BX 1962,21 0"
"ERRO! Operação desconhecida: 2220005797 2239 - CERAMICA RAMOS LTDA 30/06/2022 IN 448,96 0"
