"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448993009202214600.ret"
""
"Cadastrado título novo: 9000007117 6729 - ANTONIO RENAN FERRO 31/10/2022 RG 401,05 0"
"Cadastrado título novo: 9000007118 6729 - ANTONIO RENAN FERRO 30/11/2022 RG 401,05 0"
"Cadastrado título novo: 9000007119 6729 - ANTONIO RENAN FERRO 26/12/2022 RG 401,05 0"
"Cadastrado título novo: 9000007121 5035 - CLOSURE SYSTEMS INTE 31/10/2022 RG 1186,79 0"
"Cadastrado título novo: 9000007122 78 - RESTAURANTE IRMAOS MAR 31/10/2022 RG 383,11 0"
"Pago título: 9000006989 1047 - QUIMICA AMPARO LTDA 30/09/2022 LQ 10335,76 10335,76"
"Pago título: 9000006990 1979 - QUIMICA AMPARO LTDA 30/09/2022 LQ 1487,02 1487,02"
"Pago título: 9000007007 3954 - MARCO ANTONIO TONOLI 30/09/2022 LQ 435,18 435,18"
"Pago título: 9000007043 516 - TETRA PAK LTDA 30/09/2022 LQ 5138,25 5138,25"
"Pago título: 9000007049 1676 - CASSOL PRE  FABRICAD 30/09/2022 LQ 672,91 672,91"
"Pago título: 9000007060 1786 - AREIALEX EXTRACAO E 30/09/2022 LQ 543,89 543,89"
"Pago título: 9000007064 7731 - ASSOC DOS MORADORES 30/09/2022 LQ 515,9 515,9"
"Pago título: 9000007068 7733 - ASSOC PROP LOT FECH 30/09/2022 LQ 431,13 431,13"
"Pago título: 9000007072 464 - NESTLE BRASIL LTDA 30/09/2022 LQ 722,57 722,57"
"Pago título: 9000007079 3662 - ASSOCIACAO RESIDENCI 30/09/2022 LQ 2199,91 2199,91"
"Pago título: 9000007083 3819 - ASSOCIACAO ADMINISTR 30/09/2022 LQ 672,36 672,36"
"Pago título: 9000007084 1065 - CIA SANEAMENTO BASIC 30/09/2022 LQ 46888,9 46888,9"
"Pago título: 9000007088 1103 - ASSOCIACAO FAZENDA C 30/09/2022 LQ 2487,13 2487,13"
"Pago título: 9000007092 4654 - ASSOC DOS PROP DE LO 30/09/2022 LQ 1305,57 1305,57"
"Pago título: 9000007103 5168 - NEMPOP INDUSTRIA QUI 30/09/2022 LQ 2051,37 2051,37"
"Pago título: 9000007104 2846 - AGUAS DAS TERRAS SOL 30/09/2022 LQ 1827,82 1827,82"
"Pago título: 9000007106 5694 - R. BOQUINO TRANSPORT 30/09/2022 LQ 404,03 404,03"
"Cancelado título: 2220005142 5577 - HM 33 EMPREENDIMENTO 30/09/2022 BX 657,16 0"
"Cancelado título: 2220005143 5577 - HM 33 EMPREENDIMENTO 31/10/2022 BX 657,16 0"
"Cancelado título: 2220005144 5577 - HM 33 EMPREENDIMENTO 30/11/2022 BX 657,16 0"
"Cancelado título: 2220005145 5577 - HM 33 EMPREENDIMENTO 26/12/2022 BX 657,16 0"
"Cancelado título: 9000007100 5577 - HM 33 EMPREENDIMENTO 31/10/2022 BX 2071,89 0"
