"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443353007202114046.ret"
""
"Cadastrado título novo: 9000006337 6876 - CONDOMINIO EDIFICIO 31/08/2021 RG 442,04 0"
"Cadastrado título novo: 9000006338 5490 - CARMONA CERVEJARIA A 31/08/2021 RG 430,66 0"
"Cadastrado título novo: 9000006339 7069 - SANTO GEROLAMO BERTO 31/08/2021 RG 355,77 0"
"Cadastrado título novo: 9000006340 4845 - BARDUCHI BARDUCHI LT 31/08/2021 RG 222,5 0"
"Cadastrado título novo: 9000006341 329 - SILCON AMBIENTAL LTDA 31/08/2021 RG 225,34 0"
"Cadastrado título novo: 9000006342 2467 - DANIEL PICCOLOMINI O 31/08/2021 RG 578,58 0"
"Pago título: 2118004796 5907 - TSI - EMPREENDIMENT 30/07/2021 LQ 248,85 248,85"
"Pago título: 2118004804 5938 - CLAUDETE APARECIDA 30/07/2021 LQ 289,83 289,83"
"Pago título: 2118004844 6490 - USINA IRB S.A. 30/07/2021 LQ 10793,41 10793,41"
"Pago título: 2118004868 6729 - ANTONIO RENAN FERRO 30/07/2021 LQ 731,92 731,92"
"Pago título: 2118004892 6849 - ASSOCIACAO DOS MORA 30/07/2021 LQ 895,55 895,55"
"Pago título: 2118004900 6889 - EXTRAMIX CONCRETO L 30/07/2021 LQ 376,46 376,46"
"Pago título: 2118004924 6918 - RAMOS & RIBEIRO EMP 30/07/2021 LQ 489,4 489,4"
"Pago título: 2118004932 6923 - PAULO CASTEJON GUER 30/07/2021 LQ 2788,6 2788,6"
"Pago título: 2118004948 6962 - BRAVO ARMAZ NS GERA 30/07/2021 LQ 209,15 209,15"
"Pago título: 2118004956 6966 - TONINPAR EMPREENDIM 30/07/2021 LQ 564,21 564,21"
"Pago título: 2118004964 6995 - SPAL IND STRIA BRAS 30/07/2021 LQ 688,28 688,28"
"Pago título: 2118004972 7002 - R PIDO LUXO CAMPINA 30/07/2021 LQ 421,1 421,1"
"Pago título: 2118004988 7011 - JS ESPUMAS FLEX VEI 30/07/2021 LQ 259,08 259,08"
"Pago título: 2118005004 7051 - IRM OS SEGEREN AGRO 30/07/2021 LQ 307,79 307,79"
"Pago título: 2118005012 7129 - POUSADA CHALES DO T 30/07/2021 LQ 588,28 588,28"
"Pago título: 2118005036 7159 - FLAVOUR MIX INDUSTR 30/07/2021 LQ 540,88 540,88"
"Pago título: 2118005060 7226 - ASSOCIA  O DE MORAD 30/07/2021 LQ 1303,27 1303,27"
"Pago título: 2118005076 7294 - ASSOCIA  O DE PROPR 30/07/2021 LQ 249,86 249,86"
"Pago título: 2118005084 7298 - J. ANDRADE EMPREEND 30/07/2021 LQ 470,63 470,63"
"Pago título: 2118005092 7306 - TRANSPORTADORA FREZ 30/07/2021 LQ 454,76 454,76"
"Pago título: 2118005108 7321 - COMPANHIA DE SANEAM 30/07/2021 LQ 605,83 605,83"
"Pago título: 2118005116 7322 - CAMARGO COMPANHIA D 30/07/2021 LQ 400,25 400,25"
"Pago título: 2118005212 7379 - AGROPLANTAS FLORES 30/07/2021 LQ 319,35 319,35"
"Pago título: 2118005220 7444 - THAIS REGINA ROCHIT 30/07/2021 LQ 248,48 248,48"
"Pago título: 2118005236 7659 - LUIZ BAS LIO REANI 30/07/2021 LQ 321,25 321,25"
"Pago título: 9000005818 984 - DOM PEDRO EMPREENDIME 30/07/2021 LQ 290 290"
"Pago título: 9000005866 3984 - BELEM TRANSPORTES E 30/07/2021 LQ 359,9 359,9"
"Pago título: 9000005993 2359 - AGROPECUARIA TUIUTI 30/07/2021 LQ 3712,5 3712,5"
"Pago título: 9000006003 3951 - ARCELORMITTAL S.A. 30/07/2021 LQ 8980,46 8980,46"
"Pago título: 9000006011 828 - SERVICO AUTONOMO DE A 30/07/2021 LQ 49153,61 49153,61"
"Pago título: 9000006023 822 - AGUAS DE HOLAMBRA SAN 30/07/2021 LQ 9511,91 9511,91"
"Pago título: 9000006029 1134 - MUNICIPIO DE SUMARE 30/07/2021 LQ 220417,23 220417,23"
"Pago título: 9000006039 1173 - MASTERCOR BENEFICIAM 30/07/2021 LQ 224,71 224,71"
"Pago título: 9000006053 2655 - JOAO CARLOS LEME RIB 30/07/2021 LQ 588,98 588,98"
"Pago título: 9000006061 1862 - DOR RIO CONFECCAO LT 30/07/2021 LQ 395,99 395,99"
"Pago título: 9000006088 3491 - H2ORA DISTRIBUIDORA 30/07/2021 LQ 2213,14 2213,14"
"Pago título: 9000006109 974 - WHITE MARTINS GASES I 30/07/2021 LQ 186,12 186,12"
"Pago título: 9000006122 7213 - AGUAS DE MAIRIPORA L 30/07/2021 LQ 975,89 975,89"
"Pago título: 9000006190 4336 - VETOQUINOL SAUDE ANI 30/07/2021 LQ 457,36 457,36"
"Pago título: 9000006209 4862 - PSS DE CAMARGO SERVI 30/07/2021 LQ 434,48 434,48"
"Pago título: 9000006219 3342 - XERIUM TECHNOLOGIES 30/07/2021 LQ 435,56 435,56"
"Pago título: 9000006220 5212 - SUPERMERCADO DELTA M 30/07/2021 LQ 121,62 121,62"
"Pago título: 9000006221 194 - CRUZEIRO DO SUL INDUS 30/07/2021 LQ 1838,18 1838,18"
"Pago título: 9000006226 6793 - SUPERMERCADOS DALBEN 30/07/2021 LQ 451,11 451,11"
"Pago título: 9000006228 3991 - HIGIBRAG TRANSPORTE 30/07/2021 LQ 731,14 731,14"
"Pago título: 9000006230 3701 - ASSOCIACAO DE SOCIOS 30/07/2021 LQ 1256,58 1256,58"
"Pago título: 9000006231 1935 - MINERGUITA MINERACAO 30/07/2021 LQ 495,9 495,9"
"Pago título: 9000006232 3229 - PLASTCOR DO BRASIL L 30/07/2021 LQ 319,67 319,67"
"Pago título: 9000006233 4523 - ASSOCIACAO DOS PROPR 30/07/2021 LQ 235,37 235,37"
"Pago título: 9000006234 4762 - MINERACAO ANGICO LTD 30/07/2021 LQ 884,76 884,76"
"Pago título: 9000006235 4046 - PAULO CESAR RODRIGUE 30/07/2021 LQ 726,52 726,52"
"Pago título: 9000006237 4254 - NTA NOVAS TECNICAS D 30/07/2021 LQ 645,8 645,8"
"Pago título: 9000006240 1666 - VOTORANTIM CIMENTOS 30/07/2021 LQ 348,46 348,46"
"Pago título: 9000006241 3468 - VOTORANTIM CIMENTOS 30/07/2021 LQ 212,47 212,47"
"Pago título: 9000006244 301 - CRIA SIM PRODUTOS DE 30/07/2021 LQ 744,76 744,76"
"Pago título: 9000006248 452 - WHIRLPOOL S/A 30/07/2021 LQ 2092,04 2092,04"
"Pago título: 9000006254 4016 - ITA - AREIA COMERCIO 30/07/2021 LQ 1113,38 1113,38"
"Pago título: 9000006256 3679 - CMR INDUSTRIA E COME 30/07/2021 LQ 408,91 408,91"
"Pago título: 9000006260 7689 - WICKBOLD e NOSSO PAO 30/07/2021 LQ 1065,9 1065,9"
"Pago título: 9000006271 3847 - IRMAO RUSSI LTDA. 30/07/2021 LQ 542,37 542,37"
"Pago título: 9000006282 4809 - MANETONI DISTRIBUIDO 30/07/2021 LQ 301,61 301,61"
"Pago título: 9000006283 166 - BRF - BRASIL FOODS S/ 30/07/2021 LQ 537,58 537,58"
"Pago título: 9000006286 1649 - CONDOMINIO CASA GRAN 30/07/2021 LQ 440,86 440,86"
"Pago título: 9000006288 5938 - CLAUDETE APARECIDA G 30/07/2021 LQ 904,77 904,77"
"Pago título: 9000006291 564 - LOGISPOT ARMAZENS GER 30/07/2021 LQ 3317,68 3317,68"
"Pago título: 9000006292 5346 - CINTRATOR - COM DE P 30/07/2021 LQ 525,88 525,88"
"Pago título: 9000006293 17 - LEDERVIN INDUSTRIA E C 30/07/2021 LQ 959,58 959,58"
"Pago título: 9000006295 6849 - ASSOCIACAO DOS MORAD 30/07/2021 LQ 2795,52 2795,52"
"Pago título: 9000006309 4846 - CONDOMINIO RESIDENCI 30/07/2021 LQ 304,62 304,62"
"Pago título: 9000006310 2881 - SERVICO DE AGUA E ES 30/07/2021 LQ 652,78 652,78"
"Pago título: 9000006312 7648 - MARCOS MONTANARO 30/07/2021 LQ 2179,84 2179,84"
"Pago título: 9000006313 5606 - AROMA BIOENERGIA LTD 30/07/2021 LQ 658,7 658,7"
"Pago título: 9000006322 3160 - VIA APPIA FESTAS E E 30/07/2021 LQ 646,45 646,45"
"Pago título: 9000006324 4463 - CONSTRUCAO E COMERCI 30/07/2021 LQ 109,23 109,23"
"Pago título: 9000006325 2714 - LAMBERTI BRASIL PROD 30/07/2021 LQ 637,86 637,86"
"Pago título: 9000006326 7002 - RAPIDO LUXO CAMPINAS 30/07/2021 LQ 1314,53 1314,53"
"Pago título: 9000006328 4793 - AZS INDUSTRIA E COME 30/07/2021 LQ 703,08 703,08"
"Pago título: 9000006334 5446 - ESMERALDA INDUSTRIA 30/07/2021 LQ 441,06 441,06"
"Pago título: 9000006335 1354 - ALBEA DO BRASIL EMBA 30/07/2021 LQ 488,86 488,86"
"Cancelado título: 2114000315 4108 - PROLOGIS SERRA DO J 30/06/2021 BX 229,51 0"
"Cancelado título: 2114000316 4108 - PROLOGIS SERRA DO J 30/07/2021 BX 229,51 0"
"Cancelado título: 2118002363 1830 - SUOMINEN BRASIL IND 30/06/2021 BX 202,7 0"
"Cancelado título: 2118002364 1830 - SUOMINEN BRASIL IND 30/07/2021 BX 202,7 0"
