"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72457743009202421819.ret"
""
"Cadastrado título novo: 9000008246 5565 - WHITE MARTINS GASES 31/10/2024 RG 590,29 0"
"Cadastrado título novo: 9000008247 3701 - ASSOCIACAO DE SOCIOS 31/10/2024 RG 2274,67 0"
"Pago título: 2400001881 156 - EMBRASATEC INDUSTRIA 30/09/2024 LQ 216,96 216,96"
"Pago título: 2400001890 1554 - TRANSPORTADORA CONTA 30/09/2024 LQ 214,55 214,55"
"Pago título: 2400001893 2435 - ASSOCIACAO DO SENHOR 30/09/2024 LQ 214,52 214,52"
"Pago título: 2400001896 2582 - TEXTIL OMBORGO LTDA 30/09/2024 LQ 213,6 213,6"
"Pago título: 2400001917 2979 - J ARANTES CONSTRUCOE 30/09/2024 LQ 211,7 211,7"
"Pago título: 2400001926 1317 - SUPERMERCADO TAQUARA 30/09/2024 LQ 210,17 210,17"
"Pago título: 2400001929 3171 - ANDORINHA COMERCIO E 30/09/2024 LQ 210,14 210,14"
"Pago título: 2400001932 4254 - NTA NOVAS TECNICAS D 30/09/2024 LQ 206,88 206,88"
"Pago título: 2400001944 1198 - ZUCOLLORS INDUSTRIA 30/09/2024 LQ 205,37 205,37"
"Pago título: 2400001947 4056 - ASSOCIACAO DOS PROPR 30/09/2024 LQ 204,94 204,94"
"Pago título: 2400001956 2866 - CELSO LUIS BELLINI E 30/09/2024 LQ 203,41 203,41"
"Pago título: 2400001959 6912 - CPE PLASTICOS LTDA 30/09/2024 LQ 202,71 202,71"
"Pago título: 2400001962 3448 - CONDOMINIO CENTER LO 30/09/2024 LQ 202,43 202,43"
"Pago título: 2400001977 7795 - SALTORELLI DO BRASIL 30/09/2024 LQ 200,47 200,47"
"Pago título: 2400001983 384 - PRO-METAL BENEFICIAME 30/09/2024 LQ 200,17 200,17"
"Pago título: 2400001986 1111 - CIA SANEAMENTO BASIC 30/09/2024 LQ 1023347,14 1023347,14"
"Pago título: 2400001990 898 - SERVICO MUNICIPAL DE 30/09/2024 LQ 276377,56 276377,56"
"Pago título: 2400001994 1078 - DAE S/A AGUA E ESGOT 30/09/2024 LQ 239150,7 239150,7"
"Pago título: 2400001998 826 - DEPARTAMENTO AUTONOMO 30/09/2024 LQ 178611,17 178611,17"
"Pago título: 2400002002 882 - SERVICO AUTONOMO DE A 30/09/2024 LQ 173838,89 173838,89"
"Pago título: 2400002006 828 - SERVICO AUTONOMO DE A 30/09/2024 LQ 156985,74 156985,74"
"Pago título: 2400002010 1052 - DEPARTAMENTO DE AGUA 30/09/2024 LQ 140527,21 140527,21"
"Pago título: 2400002022 962 - SAO MARTINHO S.A. 30/09/2024 LQ 98133,62 98133,62"
"Pago título: 2400002030 1035 - RAIZEN ENERGIA S/A 30/09/2024 LQ 86017,92 86017,92"
"Pago título: 2400002034 919 - COMPANHIA DE DESENVOL 30/09/2024 LQ 81000,55 81000,55"
"Pago título: 2400002038 831 - DEPARTAMENTO DE AGUAS 30/09/2024 LQ 70421,98 70421,98"
"Pago título: 2400002042 832 - SANEAMENTO BASICO VIN 30/09/2024 LQ 57378,15 57378,15"
"Pago título: 2400002046 986 - PREFEITURA MUNICIPAL 30/09/2024 LQ 53365,95 53365,95"
"Pago título: 2400002054 1065 - CIA SANEAMENTO BASIC 30/09/2024 LQ 48344,69 48344,69"
"Pago título: 2400002058 1057 - CIA SANEAMENTO BASIC 30/09/2024 LQ 47290,89 47290,89"
"Pago título: 2400002062 951 - SERVICO AUTONOMO DE A 30/09/2024 LQ 44088,82 44088,82"
"Pago título: 2400002070 487 - USINA ACUCAREIRA ESTE 30/09/2024 LQ 41341,33 41341,33"
"Pago título: 2400002074 867 - EUCATEX INDUSTRIA E C 30/09/2024 LQ 39375,3 39375,3"
"Pago título: 2400002082 1084 - COMPANHIA DE SANEAME 30/09/2024 LQ 37541,26 37541,26"
"Pago título: 2400002090 829 - SERVICO AUTONOMO DE A 30/09/2024 LQ 33632,4 33632,4"
"Pago título: 2400002098 944 - PREFEITURA MUNICIPAL 30/09/2024 LQ 31811,36 31811,36"
"Pago título: 2400002134 1231 - COVOLAN INDUSTRIA TE 30/09/2024 LQ 16938,51 16938,51"
"Pago título: 2400002142 1484 - DELTA INDUSTRIA CERA 30/09/2024 LQ 16389,61 16389,61"
"Pago título: 2400002146 1073 - CIA SANEAMENTO BASIC 30/09/2024 LQ 15943,26 15943,26"
"Pago título: 2400002150 1058 - CIA SANEAMENTO BASIC 30/09/2024 LQ 15627,2 15627,2"
"Pago título: 2400002154 1110 - SERVICO AUTONOMO DE 30/09/2024 LQ 14662,49 14662,49"
"Pago título: 2400002158 1066 - CIA SANEAMENTO BASIC 30/09/2024 LQ 13860,44 13860,44"
"Pago título: 2400002162 1000 - CIA SANEAMENTO BASIC 30/09/2024 LQ 13269,3 13269,3"
"Pago título: 2400002170 845 - THYSSENKRUPP METALURG 30/09/2024 LQ 12470,87 12470,87"
"Pago título: 2400002174 332 - CRS BRANDS INDUSTRIA 30/09/2024 LQ 11239,41 11239,41"
"Pago título: 2400002178 6490 - USINA IRB S.A. 30/09/2024 LQ 10829,73 10829,73"
"Pago título: 2400002182 1064 - CIA SANEAMENTO BASIC 30/09/2024 LQ 10641,03 10641,03"
"Pago título: 2400002186 5355 - CIA DE SANEAMENTO BA 30/09/2024 LQ 10373,94 10373,94"
"Pago título: 2400002190 878 - PREFEITURA MUNICIPAL 30/09/2024 LQ 10206,92 10206,92"
"Pago título: 2400002194 5050 - CIA DE SANEAMENTO BA 30/09/2024 LQ 9236,29 9236,29"
"Pago título: 2400002206 868 - PREFEITURA MUNICIPAL 30/09/2024 LQ 8438,28 8438,28"
"Pago título: 2400002210 1070 - CIA SANEAMENTO BASIC 30/09/2024 LQ 8276,25 8276,25"
"Pago título: 2400002214 3683 - NOVAPORCELANATO INDU 30/09/2024 LQ 8151,12 8151,12"
"Pago título: 2400002222 1060 - CIA SANEAMENTO BASIC 30/09/2024 LQ 8067,22 8067,22"
"Pago título: 2400002226 1047 - QUIMICA AMPARO LTDA 30/09/2024 LQ 7535,73 7535,73"
"Pago título: 2400002230 1169 - MINERACAO JUNDU LTDA 30/09/2024 LQ 7317,44 7317,44"
"Pago título: 2400002234 839 - BUTILAMIL INDUSTRIAS 30/09/2024 LQ 7188,86 7188,86"
"Pago título: 2400002238 891 - TIMAVO DO BRASIL S/A 30/09/2024 LQ 6629,88 6629,88"
"Pago título: 2400002254 1063 - CIA SANEAMENTO BASIC 30/09/2024 LQ 5879,04 5879,04"
"Pago título: 2400002258 7817 - DELTA INDUSTRIA CERA 30/09/2024 LQ 5857,17 5857,17"
"Pago título: 2400002266 948 - QUINTA DA BARONEZA GO 30/09/2024 LQ 5823,13 5823,13"
"Pago título: 2400002270 1067 - CIA SANEAMENTO BASIC 30/09/2024 LQ 5682,8 5682,8"
"Pago título: 2400002274 880 - MD PAPEIS LTDA 30/09/2024 LQ 5614,82 5614,82"
"Pago título: 2400002286 2289 - ADVANCE INDUSTRIA TE 30/09/2024 LQ 5166,36 5166,36"
"Pago título: 2400002290 1087 - TOYOTA DO BRASIL LTD 30/09/2024 LQ 5133,35 5133,35"
"Pago título: 2400002294 448 - INDUSTRIA DE PAPEL R. 30/09/2024 LQ 5028,29 5028,29"
"Pago título: 2400002298 7745 - AGUAS DE TUIUTI SPE 30/09/2024 LQ 4990,44 4990,44"
"Pago título: 2400002302 529 - OWENS CORNING FIBERGL 30/09/2024 LQ 4954,07 4954,07"
"Pago título: 2400002306 219 - ASK CRIOS PRODUTOS QU 30/09/2024 LQ 4926,55 4926,55"
"Pago título: 2400002310 160 - ASSOCIACAO RESIDENCIA 30/09/2024 LQ 4918,47 4918,47"
"Pago título: 2400002314 2497 - CARVALHEIRA INDUSTRI 30/09/2024 LQ 4893,93 4893,93"
"Pago título: 2400002318 7351 - COMPANHIA DE SANEAME 30/09/2024 LQ 4808,68 4808,68"
"Pago título: 2400002322 1112 - CIA SANEAMENTO BASIC 30/09/2024 LQ 4509,11 4509,11"
"Pago título: 2400002330 1575 - SO AGUA COMERCIO E S 30/09/2024 LQ 4389,96 4389,96"
"Pago título: 2400002334 98 - SOCIEDADE RESIDENCIAL 30/09/2024 LQ 4388,55 4388,55"
"Pago título: 2400002342 1195 - TEXTIL CANATIBA LTDA 30/09/2024 LQ 4317,63 4317,63"
"Pago título: 2400002346 1054 - CIA SANEAMENTO BASIC 30/09/2024 LQ 4236,19 4236,19"
"Pago título: 2400002350 1848 - PREFEITURA MUNICIPAL 30/09/2024 LQ 4223,15 4223,15"
"Pago título: 2400002358 3384 - FRIGODELISS LTDA 30/09/2024 LQ 4103,9 4103,9"
"Pago título: 2400002362 4519 - IVO ZARZUR ADMINISTR 30/09/2024 LQ 3979,59 3979,59"
"Pago título: 2400002370 1743 - EDSON CHINARELLI TRA 30/09/2024 LQ 3923,08 3923,08"
"Pago título: 2400002374 842 - REGIMAR COMERCIAL S/A 30/09/2024 LQ 3914,39 3914,39"
"Pago título: 2400002378 476 - CLUBE DE CAMPO VALINH 30/09/2024 LQ 3911,05 3911,05"
"Pago título: 2400002390 1075 - TINTEX TINTURARIA TE 30/09/2024 LQ 3821,83 3821,83"
"Pago título: 2400002394 12 - AGUAJATO TRANSPORTES L 30/09/2024 LQ 3816,94 3816,94"
"Pago título: 2400002406 906 - TINTURARIA E ESTAMPAR 30/09/2024 LQ 3614,97 3614,97"
"Pago título: 2400002410 2861 - KORIN AGROPECUARIA L 30/09/2024 LQ 3611,26 3611,26"
"Pago título: 2400002414 462 - AD ORO S/A 30/09/2024 LQ 3522,34 3522,34"
"Pago título: 2400002418 3196 - CEDASA INDUSTRIA E C 30/09/2024 LQ 3494,75 3494,75"
"Pago título: 2400002422 1194 - TEXTIL CANATIBA LTDA 30/09/2024 LQ 3452,27 3452,27"
"Pago título: 2400002426 2361 - TECELAGEM JOLITEX LT 30/09/2024 LQ 3432,18 3432,18"
"Pago título: 2400002430 26 - CERAMICA FORMIGRES LTD 30/09/2024 LQ 3424,46 3424,46"
"Pago título: 2400002454 5076 - CLUBE DE CAMPO FAZEN 30/09/2024 LQ 3235,06 3235,06"
"Pago título: 2400002458 1086 - ENGENHO SAO PEDRO AG 30/09/2024 LQ 3223,99 3223,99"
"Pago título: 2400002462 895 - FRIGORIFICO ANGELELLI 30/09/2024 LQ 3221,73 3221,73"
"Pago título: 2400002466 1002 - CIA SANEAMENTO BASIC 30/09/2024 LQ 3208,61 3208,61"
"Pago título: 2400002470 3851 - USINA GRANELLI LTDA. 30/09/2024 LQ 3187,34 3187,34"
"Pago título: 2400002474 1116 - CROWN  EMBALAGENS ME 30/09/2024 LQ 3167,21 3167,21"
"Pago título: 2400002490 257 - PASTIFICIO SELMI S/A 30/09/2024 LQ 3006,07 3006,07"
"Pago título: 2400002494 43 - CONDOMINIO RESIDENCIAL 30/09/2024 LQ 2964,25 2964,25"
"Pago título: 2400002502 246 - 3M DO BRASIL LTDA 30/09/2024 LQ 2937,85 2937,85"
"Pago título: 2400002510 357 - CONDOMINIO VILLE DE C 30/09/2024 LQ 2886,35 2886,35"
"Pago título: 2400002514 7812 - TEXTIL OMBORGO LTDA 30/09/2024 LQ 2881,11 2881,11"
"Pago título: 2400002518 184 - TECELAGEM JOLITEX LTD 30/09/2024 LQ 2857,44 2857,44"
"Pago título: 2400002522 1055 - CARTONIFICIO VALINHO 30/09/2024 LQ 2769,31 2769,31"
"Pago título: 2400002538 3535 - JOFEGE FIACAO E TECE 30/09/2024 LQ 2668,05 2668,05"
"Pago título: 2400002546 1074 - CIA SANEAMENTO BASIC 30/09/2024 LQ 2579,01 2579,01"
"Pago título: 2400002554 7778 - SSB ENERGIA RENOVAVE 30/09/2024 LQ 2508,96 2508,96"
"Pago título: 2400002558 2750 - SERVICO AUTONOMO DE 30/09/2024 LQ 2496,01 2496,01"
"Pago título: 2400002562 7792 - AGUA FACIL DISTRIBUI 30/09/2024 LQ 2466,46 2466,46"
"Pago título: 2400002566 358 - ASSOCIACAO AMIGOS MAR 30/09/2024 LQ 2438,58 2438,58"
"Pago título: 2400002598 903 - MINASA TRADING INTERN 30/09/2024 LQ 2335,72 2335,72"
"Pago título: 2400002606 7782 - BRAND TEXTIL LTDA 30/09/2024 LQ 2314,54 2314,54"
"Pago título: 2400002610 3491 - H2ORA DISTRIBUIDORA 30/09/2024 LQ 2260,95 2260,95"
"Pago título: 2400002614 505 - ASSOCIACAO AMIGOS DO 30/09/2024 LQ 2240,96 2240,96"
"Pago título: 2400002618 559 - BENEFICIADORA DE TECI 30/09/2024 LQ 2226,36 2226,36"
"Pago título: 2400002630 923 - EMS S/A 30/09/2024 LQ 2184,99 2184,99"
"Pago título: 2400002642 507 - TINTURARIA UNIVERSO L 30/09/2024 LQ 2146,02 2146,02"
"Pago título: 2400002650 2740 - EUCATEX INDUSTRIA E 30/09/2024 LQ 2109,64 2109,64"
"Pago título: 2400002662 7834 - N.L.P.S.P.E. EMPREEN 30/09/2024 LQ 2074,25 2074,25"
"Pago título: 2400002666 1001 - CIA SANEAMENTO BASIC 30/09/2024 LQ 2063,87 2063,87"
"Pago título: 2400002670 452 - WHIRLPOOL S/A 30/09/2024 LQ 2060,91 2060,91"
"Pago título: 2400002674 2019 - BAERLOCHER DO BRASIL 30/09/2024 LQ 2058,49 2058,49"
"Pago título: 2400002690 203 - TINTURARIA E ESTAMPAR 30/09/2024 LQ 2014,55 2014,55"
"Pago título: 2400002694 970 - SERVICO AUTONOMO DE A 30/09/2024 LQ 2005,45 2005,45"
"Pago título: 2400002698 1143 - CASTELO ALIMENTOS S/ 30/09/2024 LQ 2004,56 2004,56"
"Pago título: 2400002706 3111 - BRASWELL PAPEL E CEL 30/09/2024 LQ 1979,67 1979,67"
"Pago título: 2400002710 1638 - LEITESOL INDUSTRIA E 30/09/2024 LQ 1962,49 1962,49"
"Pago título: 2400002718 7373 - LEVISSIMA DISTRIBUIC 30/09/2024 LQ 1932,26 1932,26"
"Pago título: 2400002722 5628 - SAFRA INDUSTRIA E CO 30/09/2024 LQ 1902,99 1902,99"
"Pago título: 2400002730 383 - EATON LTDA 30/09/2024 LQ 1895,19 1895,19"
"Pago título: 2400002734 7226 - ASSOCIACAO DE MORADO 30/09/2024 LQ 1842,59 1842,59"
"Pago título: 2400002738 1105 - RECAM RC LTDA 30/09/2024 LQ 1829,8 1829,8"
"Pago título: 2400002750 1567 - RPR CAPTACAO E TRANS 30/09/2024 LQ 1825,31 1825,31"
"Pago título: 2400002758 1004 - BRANYL COMERCIO E IN 30/09/2024 LQ 1799,33 1799,33"
"Pago título: 2400002762 892 - A. AZEVEDO INDUSTRIA 30/09/2024 LQ 1792,03 1792,03"
"Pago título: 2400002766 888 - INCOPISOS INDUSTRIA E 30/09/2024 LQ 1776,33 1776,33"
"Pago título: 2400002778 421 - MARTINREA HONSEL BRAS 30/09/2024 LQ 1734,66 1734,66"
"Pago título: 2400002790 1120 - MOTOROLA MOBILITY CO 30/09/2024 LQ 1690,73 1690,73"
"Pago título: 2400002806 375 - CAPUAVA S/A INDUSTRIA 30/09/2024 LQ 1632,72 1632,72"
"Pago título: 2400002810 480 - PAPIRUS INDUSTRIA DE 30/09/2024 LQ 1631,34 1631,34"
"Pago título: 2400002818 7809 - FONTE CIDADE AZUL DE 30/09/2024 LQ 1628,22 1628,22"
"Pago título: 2400002834 191 - COOPERATIVA NOVA ESPE 30/09/2024 LQ 1621,77 1621,77"
"Pago título: 2400002846 2747 - SINTO BRASIL PRODUTO 30/09/2024 LQ 1562,64 1562,64"
"Pago título: 2400002854 939 - LEF PISOS E REVESTIME 30/09/2024 LQ 1539,92 1539,92"
"Pago título: 2400002862 861 - HUDTELFA TEXTILE TECH 30/09/2024 LQ 1517,59 1517,59"
"Pago título: 2400002870 7321 - COMPANHIA DE SANEAME 30/09/2024 LQ 1493,11 1493,11"
"Pago título: 2400002874 946 - HOTEL CAMPING ESTANCI 30/09/2024 LQ 1493,11 1493,11"
"Pago título: 2400002878 461 - J.R.M. - PARTICIPACOE 30/09/2024 LQ 1491,71 1491,71"
"Pago título: 2400002882 1429 - ASSOCIACAO ADMINISTR 30/09/2024 LQ 1485,78 1485,78"
"Pago título: 2400002886 1592 - MICROSAL INDUSTRIA E 30/09/2024 LQ 1485,05 1485,05"
"Pago título: 2400002894 7689 - WICKBOLD & NOSSO PAO 30/09/2024 LQ 1479,87 1479,87"
"Pago título: 2400002906 3449 - CERAMICA CARMELO FIO 30/09/2024 LQ 1463,82 1463,82"
"Pago título: 2400002914 7213 - AGUAS DE MAIRIPORA L 30/09/2024 LQ 1463,84 1463,84"
"Pago título: 2400002918 4891 - LOTEAMENTO IMPERIAL 30/09/2024 LQ 1463,84 1463,84"
"Pago título: 2400002950 1423 - TASA TINTURARIA AMER 30/09/2024 LQ 1402,7 1402,7"
"Pago título: 2400002954 909 - FLEX PARQUE EMPRESARI 30/09/2024 LQ 1401,63 1401,63"
"Pago título: 2400002966 981 - PIRACAIA IND E COM EX 30/09/2024 LQ 1371,96 1371,96"
"Pago título: 2400002970 2337 - CERAMICA CARMELO FIO 30/09/2024 LQ 1328,97 1328,97"
"Pago título: 2400002990 7308 - MARIA CRISTINA RODRI 30/09/2024 LQ 1317,43 1317,43"
"Pago título: 2400002994 2910 - CHACARAS LONG ISLAND 30/09/2024 LQ 1315,71 1315,71"
"Pago título: 2400002998 2175 - INDUSTRIA E COMERCIO 30/09/2024 LQ 1314,37 1314,37"
"Pago título: 2400003014 1193 - TEXTIL CANATIBA LTDA 30/09/2024 LQ 1303,83 1303,83"
"Pago título: 2400003018 223 - VIVA PISOS E REVESTIM 30/09/2024 LQ 1294,03 1294,03"
"Pago título: 2400003022 324 - DEDINI S/A INDUSTRIAS 30/09/2024 LQ 1287,85 1287,85"
"Pago título: 2400003046 7707 - SORVETES JUNDIA INDU 30/09/2024 LQ 1271,04 1271,04"
"Pago título: 2400003062 7841 - COND CIVIL VOLUNTARI 30/09/2024 LQ 1251,29 1251,29"
"Pago título: 2400003074 7838 - BLUE STONE BRASIL LT 30/09/2024 LQ 1240,15 1240,15"
"Pago título: 2400003102 5416 - ZARAPLAST S.A 30/09/2024 LQ 1193,05 1193,05"
"Pago título: 2400003106 411 - IOCHPE-MAXION S/A 30/09/2024 LQ 1188,94 1188,94"
"Pago título: 2400003118 2284 - AGUA VIDA TRANSPORTE 30/09/2024 LQ 1171,06 1171,06"
"Pago título: 2400003122 7839 - ASSOCIACAO DE MORADO 30/09/2024 LQ 1171,05 1171,05"
"Pago título: 2400003126 7880 - RR DISTRIBUIDORA DE 30/09/2024 LQ 1169,46 1169,46"
"Pago título: 2400003130 3899 - ASSOCIACAO RESIDENCI 30/09/2024 LQ 1158,01 1158,01"
"Pago título: 2400003134 3119 - FDC - EMPREENDIMENTO 30/09/2024 LQ 1138,33 1138,33"
"Pago título: 2400003135 3119 - FDC - EMPREENDIMENTO 31/10/2024 LQ 1138,35 1138,35"
"Pago título: 2400003136 3119 - FDC - EMPREENDIMENTO 29/11/2024 LQ 1138,35 1138,35"
"Pago título: 2400003137 3119 - FDC - EMPREENDIMENTO 19/12/2024 LQ 1138,35 1138,35"
"Pago título: 2400003142 4786 - SEARA ALIMENTOS LTDA 30/09/2024 LQ 1134,46 1134,46"
"Pago título: 2400003146 455 - TBK MINERACAO LTDA 30/09/2024 LQ 1132,26 1132,26"
"Pago título: 2400003150 52 - ASSOCIACAO DOS PROPRIE 30/09/2024 LQ 1125,33 1125,33"
"Pago título: 2400003174 2331 - STONE BUILDING INDUS 30/09/2024 LQ 1118,63 1118,63"
"Pago título: 2400003178 3345 - SAO PAULO SECRETARIA 30/09/2024 LQ 1114,03 1114,03"
"Pago título: 2400003186 356 - ESTANCIA ARVORE DA VI 30/09/2024 LQ 1110,27 1110,27"
"Pago título: 2400003194 1495 - STORAGE ADMINISTRACA 30/09/2024 LQ 1106,29 1106,29"
"Pago título: 2400003210 7768 - ASSOC DOS PROPRIETAR 30/09/2024 LQ 1097,86 1097,86"
"Pago título: 2400003218 1123 - CIA SANEAMENTO BASIC 30/09/2024 LQ 1087,86 1087,86"
"Pago título: 2400003222 1139 - HOPI HARI S/A 30/09/2024 LQ 1081,35 1081,35"
"Pago título: 2400003238 1846 - COMPANHIA NACIONAL D 30/09/2024 LQ 1070,87 1070,87"
"Pago título: 2400003246 6849 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 1061,28 1061,28"
"Pago título: 2400003250 477 - TERRA DO PARAISO LTDA 30/09/2024 LQ 1053,96 1053,96"
"Pago título: 2400003254 7126 - ASSOCIACAO DOS PROPR 30/09/2024 LQ 1053,96 1053,96"
"Pago título: 2400003274 2655 - JOAO CARLOS LEME RIB 30/09/2024 LQ 1030,72 1030,72"
"Pago título: 2400003282 2464 - SPARTAN DO BRASIL PR 30/09/2024 LQ 1026,88 1026,88"
"Pago título: 2400003294 2474 - DE MARCHI INDUSTRIA 30/09/2024 LQ 1003,09 1003,09"
"Pago título: 2400003314 5560 - WT NEGOCIOS IMOBILIA 30/09/2024 LQ 963,2 963,2"
"Pago título: 2400003326 4116 - TARTALIA EMPREENDIME 30/09/2024 LQ 951,49 951,49"
"Pago título: 2400003334 4288 - PTM AGRICOLA E PARTI 30/09/2024 LQ 943,57 943,57"
"Pago título: 2400003338 2889 - I & M PAPEIS E EMBAL 30/09/2024 LQ 926,89 926,89"
"Pago título: 2400003342 432 - ASSOCIACAO PROPRIETAR 30/09/2024 LQ 916,9 916,9"
"Pago título: 2400003346 1689 - AJINOMOTO DO BRASIL 30/09/2024 LQ 914,93 914,93"
"Pago título: 2400003354 924 - CONDOMINIO CHACARAS M 30/09/2024 LQ 909,87 909,87"
"Pago título: 2400003358 142 - SOCIEDADE DE MELHORAM 30/09/2024 LQ 909,78 909,78"
"Pago título: 2400003362 5418 - SAMUEL SAMPAIO TOCAL 30/09/2024 LQ 906,23 906,23"
"Pago título: 2400003366 1274 - GUAINUMBY TEXTIL LTD 04/10/2024 LQ 905,69 905,69"
"Pago título: 2400003370 3413 - TUIUTI ECO PARK EMPR 30/09/2024 LQ 904,99 904,99"
"Pago título: 2400003374 24 - ASSOCIACAO DOS PROPRIE 30/09/2024 LQ 902,54 902,54"
"Pago título: 2400003378 2952 - EXTRACAO E COMERCIO 30/09/2024 LQ 890,88 890,88"
"Pago título: 2400003382 1154 - GREENBRIER MAXION EQ 30/09/2024 LQ 888,45 888,45"
"Pago título: 2400003390 237 - IPLASA - INDUSTRIA E 30/09/2024 LQ 878,3 878,3"
"Pago título: 2400003394 3637 - PICOLI & CARRARA COM 30/09/2024 LQ 878,3 878,3"
"Pago título: 2400003414 4862 - PSS DE CAMARGO SERVI 30/09/2024 LQ 878,3 878,3"
"Pago título: 2400003418 3333 - AUREO ALESSANDRO DA 30/09/2024 LQ 875,7 875,7"
"Pago título: 2400003426 72 - ANTENOR MAXIMIANO PART 30/09/2024 LQ 869,5 869,5"
"Pago título: 2400003430 163 - SABARA QUIMICOS E ING 30/09/2024 LQ 864,05 864,05"
"Pago título: 2400003438 3992 - HOTEL FAZENDA HARAS 30/09/2024 LQ 856,35 856,35"
"Pago título: 2400003442 7860 - R & S EMPREENDIMENTO 30/09/2024 LQ 849,01 849,01"
"Pago título: 2400003450 3666 - RAUL FERREIRA LEITE 30/09/2024 LQ 841,71 841,71"
"Pago título: 2400003454 7822 - ASSOC CONDOMINIOS RE 30/09/2024 LQ 836,86 836,86"
"Pago título: 2400003462 3365 - MALIBER INDUSTRIA E 30/09/2024 LQ 833,45 833,45"
"Pago título: 2400003474 4784 - ASSOCIACAO DOS PROPR 30/09/2024 LQ 823,39 823,39"
"Pago título: 2400003490 4361 - RAUL FERREIRA LEITE 30/09/2024 LQ 805,1 805,1"
"Pago título: 2400003502 3453 - CERAMICA SAVANE LTDA 30/09/2024 LQ 801,01 801,01"
"Pago título: 2400003514 211 - FERNANDEZ S.A. INDUST 30/09/2024 LQ 793,67 793,67"
"Pago título: 2400003538 3253 - COPASIL QUIMICA INDU 30/09/2024 LQ 775,53 775,53"
"Pago título: 2400003542 2981 - VIVA PISOS E REVESTI 30/09/2024 LQ 768,51 768,51"
"Pago título: 2400003550 1618 - NAZATO PIRACICABA TR 30/09/2024 LQ 765,49 765,49"
"Pago título: 2400003566 4779 - FUNDACAO CENTRO DE A 30/09/2024 LQ 751,67 751,67"
"Pago título: 2400003570 152 - SOCIEDADE AMIGOS DO R 30/09/2024 LQ 750,2 750,2"
"Pago título: 2400003586 1692 - LALLEMAND SOLUCOES B 30/09/2024 LQ 732,97 732,97"
"Pago título: 2400003590 3954 - MARCO ANTONIO TONOLI 30/09/2024 LQ 731,91 731,91"
"Pago título: 2400003602 2684 - ANTONIO SERGIO LEITE 30/09/2024 LQ 731,91 731,91"
"Pago título: 2400003610 7367 - CONDOMINIO RESIDENCI 30/09/2024 LQ 731,91 731,91"
"Pago título: 2400003618 4631 - AGROPECUARIA CAPUAVA 30/09/2024 LQ 731,91 731,91"
"Pago título: 2400003626 2113 - ASSOCIACAO DOS PROPR 30/09/2024 LQ 731,07 731,07"
"Pago título: 2400003650 2906 - TRANSPORTADORA H2O L 30/09/2024 LQ 724,58 724,58"
"Pago título: 2400003654 6966 - TONINPAR EMPREENDIME 30/09/2024 LQ 723,86 723,86"
"Pago título: 2400003658 7159 - FLAVOUR MIX INDUSTRI 30/09/2024 LQ 721,67 721,67"
"Pago título: 2400003666 2083 - HANIER ESPECIALIDADE 30/09/2024 LQ 714,68 714,68"
"Pago título: 2400003670 1459 - CIA SANEAMENTO BASIC 30/09/2024 LQ 713,93 713,93"
"Pago título: 2400003674 3961 - INSTITUTO EDUCACIONA 30/09/2024 LQ 713,22 713,22"
"Pago título: 2400003690 3221 - LIMEIRENSE FERTILIZA 30/09/2024 LQ 706,43 706,43"
"Pago título: 2400003694 2773 - SOCIEDADE DE ARMAZEN 30/09/2024 LQ 705,27 705,27"
"Pago título: 2400003702 3660 - SO AGUA COMERCIAL E 30/09/2024 LQ 702,64 702,64"
"Pago título: 2400003706 1456 - ASSOC DOS PROP DO LO 30/09/2024 LQ 695,33 695,33"
"Pago título: 2400003714 932 - GREMIO RECR EMPREGADO 30/09/2024 LQ 692,44 692,44"
"Pago título: 2400003718 7878 - CINEXPAN IND. E COME 30/09/2024 LQ 681,27 681,27"
"Pago título: 2400003722 62 - GKN SINTER METALS LTDA 30/09/2024 LQ 678,27 678,27"
"Pago título: 2400003730 500 - BIGNARDI IND E COM DE 30/09/2024 LQ 675,2 675,2"
"Pago título: 2400003766 265 - ADERE PRODUTOS AUTO-A 30/09/2024 LQ 660,76 660,76"
"Pago título: 2400003770 1477 - JETFIO INDUSTRIA TEX 30/09/2024 LQ 660,12 660,12"
"Pago título: 2400003778 5487 - ASSOC DOS PROPR DE L 30/09/2024 LQ 658,71 658,71"
"Pago título: 2400003786 426 - RUY R. DA ROCHA PRODU 30/09/2024 LQ 658,71 658,71"
"Pago título: 2400003794 1243 - ASSOCIACAO PROPRIETA 30/09/2024 LQ 658,71 658,71"
"Pago título: 2400003810 917 - BMB BELGO MINEIRA BEK 30/09/2024 LQ 654,28 654,28"
"Pago título: 2400003818 2665 - ASSOC DOS PROPRIET D 30/09/2024 LQ 646,55 646,55"
"Pago título: 2400003834 7871 - ASS PROP LOT CONDOMI 30/09/2024 LQ 639,16 639,16"
"Pago título: 2400003846 1420 - MIRVI BRASIL LTDA 30/09/2024 LQ 638,8 638,8"
"Pago título: 2400003850 1082 - LENA & CIA LTDA 30/09/2024 LQ 638,15 638,15"
"Pago título: 2400003882 2172 - FARMINA PET FOODS BR 30/09/2024 LQ 624,19 624,19"
